timeslice,commodity,year,asset,region,technology,installed,month,day,hour,supply
0,heat,2025,0,R1,gasboiler,2020,all-year,all-week,night,0.27780000000
0,heat,2025,2,R1,heatpump,2020,all-year,all-week,night,1.05560000000
0,heat,2030,1,R1,gasboiler,2025,all-year,all-week,night,0.22780000000
0,heat,2030,2,R1,heatpump,2020,all-year,all-week,night,1.05560000000
0,heat,2030,3,R1,heatpump,2025,all-year,all-week,night,0.38330000000
0,CO2f,2025,0,R1,gasboiler,2020,all-year,all-week,night,17.97500000000
0,CO2f,2030,1,R1,gasboiler,2025,all-year,all-week,night,14.73950000000
1,heat,2025,0,R1,gasboiler,2020,all-year,all-week,morning,0.41670000000
1,heat,2025,2,R1,heatpump,2020,all-year,all-week,morning,1.58330000000
1,heat,2030,1,R1,gasboiler,2025,all-year,all-week,morning,0.34170000000
1,heat,2030,2,R1,heatpump,2020,all-year,all-week,morning,1.58330000000
1,heat,2030,3,R1,heatpump,2025,all-year,all-week,morning,0.57500000000
1,CO2f,2025,0,R1,gasboiler,2020,all-year,all-week,morning,26.96250000000
1,CO2f,2030,1,R1,gasboiler,2025,all-year,all-week,morning,22.10920000000
2,heat,2025,0,R1,gasboiler,2020,all-year,all-week,afternoon,0.27780000000
2,heat,2025,2,R1,heatpump,2020,all-year,all-week,afternoon,1.05560000000
2,heat,2030,1,R1,gasboiler,2025,all-year,all-week,afternoon,0.22780000000
2,heat,2030,2,R1,heatpump,2020,all-year,all-week,afternoon,1.05560000000
2,heat,2030,3,R1,heatpump,2025,all-year,all-week,afternoon,0.38330000000
2,CO2f,2025,0,R1,gasboiler,2020,all-year,all-week,afternoon,17.97500000000
2,CO2f,2030,1,R1,gasboiler,2025,all-year,all-week,afternoon,14.73950000000
3,heat,2025,0,R1,gasboiler,2020,all-year,all-week,early-peak,0.41670000000
3,heat,2025,2,R1,heatpump,2020,all-year,all-week,early-peak,1.58330000000
3,heat,2030,1,R1,gasboiler,2025,all-year,all-week,early-peak,0.34170000000
3,heat,2030,2,R1,heatpump,2020,all-year,all-week,early-peak,1.58330000000
3,heat,2030,3,R1,heatpump,2025,all-year,all-week,early-peak,0.57500000000
3,CO2f,2025,0,R1,gasboiler,2020,all-year,all-week,early-peak,26.96250000000
3,CO2f,2030,1,R1,gasboiler,2025,all-year,all-week,early-peak,22.10920000000
4,heat,2025,0,R1,gasboiler,2020,all-year,all-week,late-peak,0.83330000000
4,heat,2025,2,R1,heatpump,2020,all-year,all-week,late-peak,3.16670000000
4,heat,2030,1,R1,gasboiler,2025,all-year,all-week,late-peak,0.68330000000
4,heat,2030,2,R1,heatpump,2020,all-year,all-week,late-peak,3.16670000000
4,heat,2030,3,R1,heatpump,2025,all-year,all-week,late-peak,1.15000000000
4,CO2f,2025,0,R1,gasboiler,2020,all-year,all-week,late-peak,53.92500000000
4,CO2f,2030,1,R1,gasboiler,2025,all-year,all-week,late-peak,44.21850000000
5,heat,2025,0,R1,gasboiler,2020,all-year,all-week,evening,0.55560000000
5,heat,2025,2,R1,heatpump,2020,all-year,all-week,evening,2.11110000000
5,heat,2030,1,R1,gasboiler,2025,all-year,all-week,evening,0.45560000000
5,heat,2030,2,R1,heatpump,2020,all-year,all-week,evening,2.11110000000
5,heat,2030,3,R1,heatpump,2025,all-year,all-week,evening,0.76670000000
5,CO2f,2025,0,R1,gasboiler,2020,all-year,all-week,evening,35.95000000000
5,CO2f,2030,1,R1,gasboiler,2025,all-year,all-week,evening,29.47900000000
