commodity,region,year,asset,installed,technology,supply
electricity,USA,2050,0,2035,gasboiler,0.00000000000
electricity,USA,2050,1,2035,heatpump,0.00000000000
electricity,USA,2050,2,2040,gasboiler,0.00000000000
electricity,USA,2050,3,2040,heatpump,0.00000000000
electricity,USA,2050,4,2045,gasboiler,0.00000000000
electricity,USA,2050,5,2045,heatpump,0.00000000000
electricity,USA,2050,6,2050,gasboiler,0.00000000000
electricity,USA,2050,7,2050,heatpump,0.00000000000
electricity,USA,2055,0,2035,gasboiler,0.00000000000
electricity,USA,2055,1,2035,heatpump,0.00000000000
electricity,USA,2055,2,2040,gasboiler,0.00000000000
electricity,USA,2055,3,2040,heatpump,0.00000000000
electricity,USA,2055,4,2045,gasboiler,0.00000000000
electricity,USA,2055,5,2045,heatpump,0.00000000000
electricity,USA,2055,6,2050,gasboiler,0.00000000000
electricity,USA,2055,7,2050,heatpump,0.00000000000
gas,USA,2050,0,2035,gasboiler,0.00000000000
gas,USA,2050,1,2035,heatpump,0.00000000000
gas,USA,2050,2,2040,gasboiler,0.00000000000
gas,USA,2050,3,2040,heatpump,0.00000000000
gas,USA,2050,4,2045,gasboiler,0.00000000000
gas,USA,2050,5,2045,heatpump,0.00000000000
gas,USA,2050,6,2050,gasboiler,0.00000000000
gas,USA,2050,7,2050,heatpump,0.00000000000
gas,USA,2055,0,2035,gasboiler,0.00000000000
gas,USA,2055,1,2035,heatpump,0.00000000000
gas,USA,2055,2,2040,gasboiler,0.00000000000
gas,USA,2055,3,2040,heatpump,0.00000000000
gas,USA,2055,4,2045,gasboiler,0.00000000000
gas,USA,2055,5,2045,heatpump,0.00000000000
gas,USA,2055,6,2050,gasboiler,0.00000000000
gas,USA,2055,7,2050,heatpump,0.00000000000
heat,USA,2050,0,2035,gasboiler,0.00000000000
heat,USA,2050,1,2035,heatpump,0.00000000000
heat,USA,2050,2,2040,gasboiler,0.00000000355
heat,USA,2050,3,2040,heatpump,17.22222233942
heat,USA,2050,4,2045,gasboiler,0.00000000158
heat,USA,2050,5,2045,heatpump,12.77777765545
heat,USA,2050,6,2050,gasboiler,0.00000000000
heat,USA,2050,7,2050,heatpump,0.00000000000
heat,USA,2055,0,2035,gasboiler,0.00000000000
heat,USA,2055,1,2035,heatpump,0.00000000000
heat,USA,2055,2,2040,gasboiler,0.00000000000
heat,USA,2055,3,2040,heatpump,0.00000000000
heat,USA,2055,4,2045,gasboiler,0.00000000158
heat,USA,2055,5,2045,heatpump,12.77777764465
heat,USA,2055,6,2050,gasboiler,0.00000000018
heat,USA,2055,7,2050,heatpump,17.22222235359
CO2f,USA,2050,0,2035,gasboiler,0.00000000000
CO2f,USA,2050,1,2035,heatpump,0.00000000000
CO2f,USA,2050,2,2040,gasboiler,0.00000022978
CO2f,USA,2050,3,2040,heatpump,0.00000000000
CO2f,USA,2050,4,2045,gasboiler,0.00000010229
CO2f,USA,2050,5,2045,heatpump,0.00000000000
CO2f,USA,2050,6,2050,gasboiler,0.00000000000
CO2f,USA,2050,7,2050,heatpump,0.00000000000
CO2f,USA,2055,0,2035,gasboiler,0.00000000000
CO2f,USA,2055,1,2035,heatpump,0.00000000000
CO2f,USA,2055,2,2040,gasboiler,0.00000000000
CO2f,USA,2055,3,2040,heatpump,0.00000000000
CO2f,USA,2055,4,2045,gasboiler,0.00000010229
CO2f,USA,2055,5,2045,heatpump,0.00000000000
CO2f,USA,2055,6,2050,gasboiler,0.00000001171
CO2f,USA,2055,7,2050,heatpump,0.00000000000
