timeslice,commodity,year,asset,region,technology,installed,month,day,hour,supply
0,heat,2040,0,R1,gasboiler,2035,all-year,all-week,night,0.05060000000
0,heat,2040,1,R1,heatpump,2030,all-year,all-week,night,1.38890000000
0,heat,2040,2,R1,heatpump,2035,all-year,all-week,night,0.89390000000
0,heat,2045,0,R1,gasboiler,2035,all-year,all-week,night,0.05060000000
0,heat,2045,2,R1,heatpump,2035,all-year,all-week,night,0.89390000000
0,heat,2045,3,R1,heatpump,2040,all-year,all-week,night,1.72220000000
0,CO2f,2040,0,R1,gasboiler,2035,all-year,all-week,night,3.27140000000
0,CO2f,2045,0,R1,gasboiler,2035,all-year,all-week,night,3.27140000000
1,heat,2040,0,R1,gasboiler,2035,all-year,all-week,morning,0.07580000000
1,heat,2040,1,R1,heatpump,2030,all-year,all-week,morning,2.08330000000
1,heat,2040,2,R1,heatpump,2035,all-year,all-week,morning,1.34080000000
1,heat,2045,0,R1,gasboiler,2035,all-year,all-week,morning,0.07580000000
1,heat,2045,2,R1,heatpump,2035,all-year,all-week,morning,1.34080000000
1,heat,2045,3,R1,heatpump,2040,all-year,all-week,morning,2.58330000000
1,CO2f,2040,0,R1,gasboiler,2035,all-year,all-week,morning,4.90720000000
1,CO2f,2045,0,R1,gasboiler,2035,all-year,all-week,morning,4.90720000000
2,heat,2040,0,R1,gasboiler,2035,all-year,all-week,afternoon,0.05060000000
2,heat,2040,1,R1,heatpump,2030,all-year,all-week,afternoon,1.38890000000
2,heat,2040,2,R1,heatpump,2035,all-year,all-week,afternoon,0.89390000000
2,heat,2045,0,R1,gasboiler,2035,all-year,all-week,afternoon,0.05060000000
2,heat,2045,2,R1,heatpump,2035,all-year,all-week,afternoon,0.89390000000
2,heat,2045,3,R1,heatpump,2040,all-year,all-week,afternoon,1.72220000000
2,CO2f,2040,0,R1,gasboiler,2035,all-year,all-week,afternoon,3.27140000000
2,CO2f,2045,0,R1,gasboiler,2035,all-year,all-week,afternoon,3.27140000000
3,heat,2040,0,R1,gasboiler,2035,all-year,all-week,early-peak,0.07580000000
3,heat,2040,1,R1,heatpump,2030,all-year,all-week,early-peak,2.08330000000
3,heat,2040,2,R1,heatpump,2035,all-year,all-week,early-peak,1.34080000000
3,heat,2045,0,R1,gasboiler,2035,all-year,all-week,early-peak,0.07580000000
3,heat,2045,2,R1,heatpump,2035,all-year,all-week,early-peak,1.34080000000
3,heat,2045,3,R1,heatpump,2040,all-year,all-week,early-peak,2.58330000000
3,CO2f,2040,0,R1,gasboiler,2035,all-year,all-week,early-peak,4.90720000000
3,CO2f,2045,0,R1,gasboiler,2035,all-year,all-week,early-peak,4.90720000000
4,heat,2040,0,R1,gasboiler,2035,all-year,all-week,late-peak,0.15170000000
4,heat,2040,1,R1,heatpump,2030,all-year,all-week,late-peak,4.16670000000
4,heat,2040,2,R1,heatpump,2035,all-year,all-week,late-peak,2.68170000000
4,heat,2045,0,R1,gasboiler,2035,all-year,all-week,late-peak,0.15170000000
4,heat,2045,2,R1,heatpump,2035,all-year,all-week,late-peak,2.68170000000
4,heat,2045,3,R1,heatpump,2040,all-year,all-week,late-peak,5.16670000000
4,CO2f,2040,0,R1,gasboiler,2035,all-year,all-week,late-peak,9.81430000000
4,CO2f,2045,0,R1,gasboiler,2035,all-year,all-week,late-peak,9.81430000000
5,heat,2040,0,R1,gasboiler,2035,all-year,all-week,evening,0.10110000000
5,heat,2040,1,R1,heatpump,2030,all-year,all-week,evening,2.77780000000
5,heat,2040,2,R1,heatpump,2035,all-year,all-week,evening,1.78780000000
5,heat,2045,0,R1,gasboiler,2035,all-year,all-week,evening,0.10110000000
5,heat,2045,2,R1,heatpump,2035,all-year,all-week,evening,1.78780000000
5,heat,2045,3,R1,heatpump,2040,all-year,all-week,evening,3.44440000000
5,CO2f,2040,0,R1,gasboiler,2035,all-year,all-week,evening,6.54290000000
5,CO2f,2045,0,R1,gasboiler,2035,all-year,all-week,evening,6.54290000000
