,asset,year,region,installed,technology,capacity
16,1,2060,R1,2025,gasCCGT,0.38000000000
17,1,2064,R1,2025,gasCCGT,0.38000000000
44,3,2060,R1,2045,windturbine,3.12000000000
45,3,2064,R1,2045,windturbine,3.12000000000
46,3,2065,R1,2045,windturbine,3.12000000000
47,3,2070,R1,2045,windturbine,3.12000000000
48,3,2074,R1,2045,windturbine,3.12000000000
58,4,2060,R1,2050,windturbine,1.77500000000
59,4,2064,R1,2050,windturbine,1.77500000000
60,4,2065,R1,2050,windturbine,1.77500000000
61,4,2070,R1,2050,windturbine,1.77500000000
62,4,2074,R1,2050,windturbine,1.77500000000
63,4,2075,R1,2050,windturbine,1.77500000000
64,4,2079,R1,2050,windturbine,1.77500000000
72,5,2060,R1,2055,windturbine,9.25000000000
73,5,2064,R1,2055,windturbine,9.25000000000
74,5,2065,R1,2055,windturbine,9.25000000000
75,5,2070,R1,2055,windturbine,9.25000000000
76,5,2074,R1,2055,windturbine,9.25000000000
77,5,2075,R1,2055,windturbine,9.25000000000
78,5,2079,R1,2055,windturbine,9.25000000000
79,5,2080,R1,2055,windturbine,9.25000000000
80,5,2084,R1,2055,windturbine,9.25000000000
88,6,2065,R1,2060,windturbine,0.85500000000
89,6,2070,R1,2060,windturbine,0.85500000000
90,6,2074,R1,2060,windturbine,0.85500000000
91,6,2075,R1,2060,windturbine,0.85500000000
92,6,2079,R1,2060,windturbine,0.85500000000
93,6,2080,R1,2060,windturbine,0.85500000000
94,6,2084,R1,2060,windturbine,0.85500000000
95,6,2085,R1,2060,windturbine,0.85500000000
96,6,2089,R1,2060,windturbine,0.85500000000
