asset,year,technology,region,installed,capacity
0,2035,estove,R1,2025,8.57170000000
0,2039,estove,R1,2025,8.57170000000
1,2035,estove,R1,2030,23.57330000000
1,2039,estove,R1,2030,23.57330000000
1,2040,estove,R1,2030,23.57330000000
1,2044,estove,R1,2030,23.57330000000
2,2040,estove,R1,2035,16.42930000000
2,2044,estove,R1,2035,16.42930000000
2,2045,estove,R1,2035,16.42930000000
2,2049,estove,R1,2035,16.42930000000
3,2035,estove,R2,2025,8.57170000000
3,2039,estove,R2,2025,8.57170000000
4,2035,estove,R2,2030,23.57330000000
4,2039,estove,R2,2030,23.57330000000
4,2040,estove,R2,2030,23.57330000000
4,2044,estove,R2,2030,23.57330000000
5,2040,estove,R2,2035,16.42930000000
5,2044,estove,R2,2035,16.42930000000
5,2045,estove,R2,2035,16.42930000000
5,2049,estove,R2,2035,16.42930000000
6,2035,gas_stove,R1,2025,2.14290000000
6,2039,gas_stove,R1,2025,2.14290000000
7,2035,gas_stove,R2,2025,2.14290000000
7,2039,gas_stove,R2,2025,2.14290000000
8,2035,gasboiler,R1,2025,2.14290000000
8,2039,gasboiler,R1,2025,2.14290000000
9,2035,gasboiler,R2,2025,2.14290000000
9,2039,gasboiler,R2,2025,2.14290000000
10,2035,heatpump,R1,2025,8.57170000000
10,2039,heatpump,R1,2025,8.57170000000
11,2035,heatpump,R1,2030,23.57330000000
11,2039,heatpump,R1,2030,23.57330000000
11,2040,heatpump,R1,2030,23.57330000000
11,2044,heatpump,R1,2030,23.57330000000
12,2040,heatpump,R1,2035,16.42930000000
12,2044,heatpump,R1,2035,16.42930000000
12,2045,heatpump,R1,2035,16.42930000000
12,2049,heatpump,R1,2035,16.42930000000
13,2035,heatpump,R2,2025,8.57170000000
13,2039,heatpump,R2,2025,8.57170000000
14,2035,heatpump,R2,2030,23.57330000000
14,2039,heatpump,R2,2030,23.57330000000
14,2040,heatpump,R2,2030,23.57330000000
14,2044,heatpump,R2,2030,23.57330000000
15,2040,heatpump,R2,2035,16.42930000000
15,2044,heatpump,R2,2035,16.42930000000
15,2045,heatpump,R2,2035,16.42930000000
15,2049,heatpump,R2,2035,16.42930000000
