,asset,year,region,installed,technology,capacity
30,2,2050,R1,2025,gasCCGT,2.16860000000
31,2,2055,R1,2025,gasCCGT,2.16860000000
32,2,2059,R1,2025,gasCCGT,2.16860000000
33,2,2060,R1,2025,gasCCGT,2.16860000000
34,2,2064,R1,2025,gasCCGT,2.16860000000
44,3,2050,R1,2030,solarPV,0.65820000000
45,3,2055,R1,2030,solarPV,0.65820000000
46,3,2059,R1,2030,solarPV,0.65820000000
58,4,2050,R1,2035,solarPV,2.73310000000
59,4,2055,R1,2035,solarPV,2.73310000000
60,4,2059,R1,2035,solarPV,2.73310000000
61,4,2060,R1,2035,solarPV,2.73310000000
62,4,2064,R1,2035,solarPV,2.73310000000
72,5,2050,R1,2040,solarPV,0.42270000000
73,5,2055,R1,2040,solarPV,0.42270000000
74,5,2059,R1,2040,solarPV,0.42270000000
75,5,2060,R1,2040,solarPV,0.42270000000
76,5,2064,R1,2040,solarPV,0.42270000000
77,5,2065,R1,2040,solarPV,0.42270000000
78,5,2069,R1,2040,solarPV,0.42270000000
86,6,2050,R1,2045,solarPV,11.59550000000
87,6,2055,R1,2045,solarPV,11.59550000000
88,6,2059,R1,2045,solarPV,11.59550000000
89,6,2060,R1,2045,solarPV,11.59550000000
90,6,2064,R1,2045,solarPV,11.59550000000
91,6,2065,R1,2045,solarPV,11.59550000000
92,6,2069,R1,2045,solarPV,11.59550000000
93,6,2070,R1,2045,solarPV,11.59550000000
94,6,2074,R1,2045,solarPV,11.59550000000
100,7,2050,R1,2045,windturbine,5.23430000000
101,7,2055,R1,2045,windturbine,5.23430000000
102,7,2059,R1,2045,windturbine,5.23430000000
103,7,2060,R1,2045,windturbine,5.23430000000
104,7,2064,R1,2045,windturbine,5.23430000000
105,7,2065,R1,2045,windturbine,5.23430000000
106,7,2069,R1,2045,windturbine,5.23430000000
107,7,2070,R1,2045,windturbine,5.23430000000
108,7,2074,R1,2045,windturbine,5.23430000000
115,8,2055,R1,2050,solarPV,0.17050000000
116,8,2059,R1,2050,solarPV,0.17050000000
117,8,2060,R1,2050,solarPV,0.17050000000
118,8,2064,R1,2050,solarPV,0.17050000000
119,8,2065,R1,2050,solarPV,0.17050000000
120,8,2069,R1,2050,solarPV,0.17050000000
121,8,2070,R1,2050,solarPV,0.17050000000
122,8,2074,R1,2050,solarPV,0.17050000000
123,8,2075,R1,2050,solarPV,0.17050000000
124,8,2079,R1,2050,solarPV,0.17050000000
