,asset,year,region,installed,technology,capacity
37,3,2055,R1,2045,gasboiler,2.59650000000
38,3,2059,R1,2045,gasboiler,2.59650000000
48,4,2055,R1,2045,heatpump,7.03510000000
49,4,2059,R1,2045,heatpump,7.03510000000
59,5,2055,R1,2050,heatpump,6.15790000000
60,5,2059,R1,2050,heatpump,6.15790000000
61,5,2060,R1,2050,heatpump,6.15790000000
62,5,2064,R1,2050,heatpump,6.15790000000
72,6,2060,R1,2055,heatpump,9.63160000000
73,6,2064,R1,2055,heatpump,9.63160000000
74,6,2065,R1,2055,heatpump,9.63160000000
75,6,2069,R1,2055,heatpump,9.63160000000
