,asset,year,region,technology,installed,capacity
8,1,2045,R1,gasboiler,2035,8.75440000000
9,1,2049,R1,gasboiler,2035,8.75440000000
18,2,2050,R1,gasboiler,2045,2.59650000000
19,2,2054,R1,gasboiler,2045,2.59650000000
20,2,2055,R1,gasboiler,2045,2.59650000000
21,2,2059,R1,gasboiler,2045,2.59650000000
24,3,2045,R1,heatpump,2040,6.15790000000
25,3,2049,R1,heatpump,2040,6.15790000000
26,3,2050,R1,heatpump,2040,6.15790000000
27,3,2054,R1,heatpump,2040,6.15790000000
34,4,2050,R1,heatpump,2045,7.03510000000
35,4,2054,R1,heatpump,2045,7.03510000000
36,4,2055,R1,heatpump,2045,7.03510000000
37,4,2059,R1,heatpump,2045,7.03510000000
