asset,year,region,technology,installed,capacity
0,2022,R1,gasboiler,2020,5.00000000000
0,2024,R1,gasboiler,2020,5.00000000000
0,2025,R1,gasboiler,2020,5.00000000000
1,2024,R1,gasboiler,2022,0.55520000000
1,2025,R1,gasboiler,2022,0.55520000000
1,2030,R1,gasboiler,2022,0.55520000000
1,2031,R1,gasboiler,2022,0.55520000000
1,2032,R1,gasboiler,2022,0.55520000000
1,2033,R1,gasboiler,2022,0.55520000000
2,2022,R1,heatpump,2020,14.04000000000
2,2024,R1,heatpump,2020,14.04000000000
2,2025,R1,heatpump,2020,14.04000000000
2,2030,R1,heatpump,2020,14.04000000000
2,2031,R1,heatpump,2020,14.04000000000
3,2024,R1,heatpump,2022,1.68480000000
3,2025,R1,heatpump,2022,1.68480000000
3,2030,R1,heatpump,2022,1.68480000000
3,2031,R1,heatpump,2022,1.68480000000
3,2032,R1,heatpump,2022,1.68480000000
3,2033,R1,heatpump,2022,1.68480000000
4,2022,R2,gasboiler,2020,5.00000000000
4,2024,R2,gasboiler,2020,5.00000000000
4,2025,R2,gasboiler,2020,5.00000000000
5,2024,R2,gasboiler,2022,0.55520000000
5,2025,R2,gasboiler,2022,0.55520000000
5,2030,R2,gasboiler,2022,0.55520000000
5,2031,R2,gasboiler,2022,0.55520000000
5,2032,R2,gasboiler,2022,0.55520000000
5,2033,R2,gasboiler,2022,0.55520000000
6,2022,R2,heatpump,2020,14.04000000000
6,2024,R2,heatpump,2020,14.04000000000
6,2025,R2,heatpump,2020,14.04000000000
6,2030,R2,heatpump,2020,14.04000000000
6,2031,R2,heatpump,2020,14.04000000000
7,2024,R2,heatpump,2022,1.68480000000
7,2025,R2,heatpump,2022,1.68480000000
7,2030,R2,heatpump,2022,1.68480000000
7,2031,R2,heatpump,2022,1.68480000000
7,2032,R2,heatpump,2022,1.68480000000
7,2033,R2,heatpump,2022,1.68480000000
