,asset,year,region,installed,technology,capacity
12,1,2030,R1,2020,solarPV,10.00000000000
13,1,2035,R1,2020,solarPV,10.00000000000
14,1,2040,R1,2020,solarPV,10.00000000000
15,1,2045,R1,2020,solarPV,10.00000000000
16,1,2049,R1,2020,solarPV,10.00000000000
23,2,2030,R1,2020,windturbine,6.75000000000
24,2,2035,R1,2020,windturbine,6.75000000000
25,2,2040,R1,2020,windturbine,6.75000000000
26,2,2045,R1,2020,windturbine,6.75000000000
27,2,2049,R1,2020,windturbine,6.75000000000
34,3,2030,R1,2025,gasCCGT,4.06670000000
35,3,2035,R1,2025,gasCCGT,4.06670000000
36,3,2040,R1,2025,gasCCGT,4.06670000000
37,3,2045,R1,2025,gasCCGT,4.06670000000
38,3,2049,R1,2025,gasCCGT,4.06670000000
39,3,2050,R1,2025,gasCCGT,4.06670000000
40,3,2059,R1,2025,gasCCGT,4.06670000000
41,3,2060,R1,2025,gasCCGT,4.06670000000
42,3,2064,R1,2025,gasCCGT,4.06670000000
46,4,2035,R1,2030,solarPV,6.00000000000
47,4,2040,R1,2030,solarPV,6.00000000000
48,4,2045,R1,2030,solarPV,6.00000000000
49,4,2049,R1,2030,solarPV,6.00000000000
50,4,2050,R1,2030,solarPV,6.00000000000
51,4,2059,R1,2030,solarPV,6.00000000000
