,asset,year,region,installed,technology,capacity
0,0,2020,R1,2020,gasCCGT,1.00000000000
1,0,2025,R1,2020,gasCCGT,1.00000000000
9,1,2025,R1,2020,solarPV,10.00000000000
10,1,2030,R1,2020,solarPV,10.00000000000
11,1,2035,R1,2020,solarPV,10.00000000000
12,1,2040,R1,2020,solarPV,10.00000000000
13,1,2045,R1,2020,solarPV,10.00000000000
14,1,2049,R1,2020,solarPV,10.00000000000
17,2,2025,R1,2020,windturbine,6.75000000000
18,2,2030,R1,2020,windturbine,6.75000000000
19,2,2035,R1,2020,windturbine,6.75000000000
20,2,2040,R1,2020,windturbine,6.75000000000
21,2,2045,R1,2020,windturbine,6.75000000000
22,2,2049,R1,2020,windturbine,6.75000000000
