,timeslice,region,technology,year,agent,category,sector,LCOE
0,"('all-year', 'all-week', 'night')",R1,gasboiler,2020,A1,retrofit,residential,9.65083808832
1,"('all-year', 'all-week', 'night')",R1,heatpump,2020,A1,retrofit,residential,17.47714079292
2,"('all-year', 'all-week', 'morning')",R1,gasboiler,2020,A1,retrofit,residential,10.77838526301
3,"('all-year', 'all-week', 'morning')",R1,heatpump,2020,A1,retrofit,residential,17.68934918192
4,"('all-year', 'all-week', 'afternoon')",R1,gasboiler,2020,A1,retrofit,residential,9.65083808832
5,"('all-year', 'all-week', 'afternoon')",R1,heatpump,2020,A1,retrofit,residential,17.47714079292
6,"('all-year', 'all-week', 'early-peak')",R1,gasboiler,2020,A1,retrofit,residential,10.77838526301
7,"('all-year', 'all-week', 'early-peak')",R1,heatpump,2020,A1,retrofit,residential,17.68934918192
8,"('all-year', 'all-week', 'late-peak')",R1,gasboiler,2020,A1,retrofit,residential,16.84401697395
9,"('all-year', 'all-week', 'late-peak')",R1,heatpump,2020,A1,retrofit,residential,18.54460297277
10,"('all-year', 'all-week', 'evening')",R1,gasboiler,2020,A1,retrofit,residential,12.35309746885
11,"('all-year', 'all-week', 'evening')",R1,heatpump,2020,A1,retrofit,residential,17.93799567490
12,"('all-year', 'all-week', 'night')",R1,gasboiler,2020,A2,retrofit,residential,9.65083808832
13,"('all-year', 'all-week', 'night')",R1,heatpump,2020,A2,retrofit,residential,17.47714079292
14,"('all-year', 'all-week', 'morning')",R1,gasboiler,2020,A2,retrofit,residential,10.77838526301
15,"('all-year', 'all-week', 'morning')",R1,heatpump,2020,A2,retrofit,residential,17.68934918192
16,"('all-year', 'all-week', 'afternoon')",R1,gasboiler,2020,A2,retrofit,residential,9.65083808832
17,"('all-year', 'all-week', 'afternoon')",R1,heatpump,2020,A2,retrofit,residential,17.47714079292
18,"('all-year', 'all-week', 'early-peak')",R1,gasboiler,2020,A2,retrofit,residential,10.77838526301
19,"('all-year', 'all-week', 'early-peak')",R1,heatpump,2020,A2,retrofit,residential,17.68934918192
20,"('all-year', 'all-week', 'late-peak')",R1,gasboiler,2020,A2,retrofit,residential,16.84401697395
21,"('all-year', 'all-week', 'late-peak')",R1,heatpump,2020,A2,retrofit,residential,18.54460297277
22,"('all-year', 'all-week', 'evening')",R1,gasboiler,2020,A2,retrofit,residential,12.35309746885
23,"('all-year', 'all-week', 'evening')",R1,heatpump,2020,A2,retrofit,residential,17.93799567490
24,"('all-year', 'all-week', 'night')",R1,gasCCGT,2020,A1,retrofit,power,0.00000000000
25,"('all-year', 'all-week', 'night')",R1,windturbine,2020,A1,retrofit,power,0.00000000000
26,"('all-year', 'all-week', 'morning')",R1,gasCCGT,2020,A1,retrofit,power,0.00000000000
27,"('all-year', 'all-week', 'morning')",R1,windturbine,2020,A1,retrofit,power,0.00000000000
28,"('all-year', 'all-week', 'afternoon')",R1,gasCCGT,2020,A1,retrofit,power,0.00000000000
29,"('all-year', 'all-week', 'afternoon')",R1,windturbine,2020,A1,retrofit,power,0.00000000000
30,"('all-year', 'all-week', 'early-peak')",R1,gasCCGT,2020,A1,retrofit,power,0.00000000000
31,"('all-year', 'all-week', 'early-peak')",R1,windturbine,2020,A1,retrofit,power,0.00000000000
32,"('all-year', 'all-week', 'late-peak')",R1,gasCCGT,2020,A1,retrofit,power,0.00000000000
33,"('all-year', 'all-week', 'late-peak')",R1,windturbine,2020,A1,retrofit,power,0.00000000000
34,"('all-year', 'all-week', 'evening')",R1,gasCCGT,2020,A1,retrofit,power,0.00000000000
35,"('all-year', 'all-week', 'evening')",R1,windturbine,2020,A1,retrofit,power,0.00000000000
36,"('all-year', 'all-week', 'night')",R1,gassupply1,2020,A1,retrofit,gas,74.57362870357
37,"('all-year', 'all-week', 'night')",R1,gassupply2,2020,A1,retrofit,gas,133.03898319114
38,"('all-year', 'all-week', 'night')",R1,gassupply3,2020,A1,retrofit,gas,191.50433765750
39,"('all-year', 'all-week', 'morning')",R1,gassupply1,2020,A1,retrofit,gas,74.57362870357
40,"('all-year', 'all-week', 'morning')",R1,gassupply2,2020,A1,retrofit,gas,133.03898319114
41,"('all-year', 'all-week', 'morning')",R1,gassupply3,2020,A1,retrofit,gas,191.50433765750
42,"('all-year', 'all-week', 'afternoon')",R1,gassupply1,2020,A1,retrofit,gas,74.57362870357
43,"('all-year', 'all-week', 'afternoon')",R1,gassupply2,2020,A1,retrofit,gas,133.03898319114
44,"('all-year', 'all-week', 'afternoon')",R1,gassupply3,2020,A1,retrofit,gas,191.50433765750
45,"('all-year', 'all-week', 'early-peak')",R1,gassupply1,2020,A1,retrofit,gas,74.57362870357
46,"('all-year', 'all-week', 'early-peak')",R1,gassupply2,2020,A1,retrofit,gas,133.03898319114
47,"('all-year', 'all-week', 'early-peak')",R1,gassupply3,2020,A1,retrofit,gas,191.50433765750
48,"('all-year', 'all-week', 'late-peak')",R1,gassupply1,2020,A1,retrofit,gas,74.57362870357
49,"('all-year', 'all-week', 'late-peak')",R1,gassupply2,2020,A1,retrofit,gas,133.03898319114
50,"('all-year', 'all-week', 'late-peak')",R1,gassupply3,2020,A1,retrofit,gas,191.50433765750
51,"('all-year', 'all-week', 'evening')",R1,gassupply1,2020,A1,retrofit,gas,74.57362870357
52,"('all-year', 'all-week', 'evening')",R1,gassupply2,2020,A1,retrofit,gas,133.03898319114
53,"('all-year', 'all-week', 'evening')",R1,gassupply3,2020,A1,retrofit,gas,191.50433765750
54,"('all-year', 'all-week', 'night')",R1,gasboiler,2025,A1,retrofit,residential,9.36533266480
55,"('all-year', 'all-week', 'night')",R1,heatpump,2025,A1,retrofit,residential,17.52346305982
56,"('all-year', 'all-week', 'morning')",R1,gasboiler,2025,A1,retrofit,residential,10.49248912773
57,"('all-year', 'all-week', 'morning')",R1,heatpump,2025,A1,retrofit,residential,17.81083908012
58,"('all-year', 'all-week', 'afternoon')",R1,gasboiler,2025,A1,retrofit,residential,9.36533266480
59,"('all-year', 'all-week', 'afternoon')",R1,heatpump,2025,A1,retrofit,residential,17.52346305982
60,"('all-year', 'all-week', 'early-peak')",R1,gasboiler,2025,A1,retrofit,residential,10.49248912773
61,"('all-year', 'all-week', 'early-peak')",R1,heatpump,2025,A1,retrofit,residential,17.81083908012
62,"('all-year', 'all-week', 'late-peak')",R1,gasboiler,2025,A1,retrofit,residential,16.55694870339
63,"('all-year', 'all-week', 'late-peak')",R1,heatpump,2025,A1,retrofit,residential,19.43333913218
64,"('all-year', 'all-week', 'evening')",R1,gasboiler,2025,A1,retrofit,residential,12.06681062180
65,"('all-year', 'all-week', 'evening')",R1,heatpump,2025,A1,retrofit,residential,18.20640391139
66,"('all-year', 'all-week', 'night')",R1,gasboiler,2025,A2,retrofit,residential,9.36533266480
67,"('all-year', 'all-week', 'night')",R1,heatpump,2025,A2,retrofit,residential,17.52346305982
68,"('all-year', 'all-week', 'morning')",R1,gasboiler,2025,A2,retrofit,residential,10.49248912773
69,"('all-year', 'all-week', 'morning')",R1,heatpump,2025,A2,retrofit,residential,17.81083908012
70,"('all-year', 'all-week', 'afternoon')",R1,gasboiler,2025,A2,retrofit,residential,9.36533266480
71,"('all-year', 'all-week', 'afternoon')",R1,heatpump,2025,A2,retrofit,residential,17.52346305982
72,"('all-year', 'all-week', 'early-peak')",R1,gasboiler,2025,A2,retrofit,residential,10.49248912773
73,"('all-year', 'all-week', 'early-peak')",R1,heatpump,2025,A2,retrofit,residential,17.81083908012
74,"('all-year', 'all-week', 'late-peak')",R1,gasboiler,2025,A2,retrofit,residential,16.55694870339
75,"('all-year', 'all-week', 'late-peak')",R1,heatpump,2025,A2,retrofit,residential,19.43333913218
76,"('all-year', 'all-week', 'evening')",R1,gasboiler,2025,A2,retrofit,residential,12.06681062180
77,"('all-year', 'all-week', 'evening')",R1,heatpump,2025,A2,retrofit,residential,18.20640391139
78,"('all-year', 'all-week', 'night')",R1,gasCCGT,2025,A1,retrofit,power,17.82494466223
79,"('all-year', 'all-week', 'night')",R1,windturbine,2025,A1,retrofit,power,21.40572936318
80,"('all-year', 'all-week', 'morning')",R1,gasCCGT,2025,A1,retrofit,power,19.44766129420
81,"('all-year', 'all-week', 'morning')",R1,windturbine,2025,A1,retrofit,power,21.40572936318
82,"('all-year', 'all-week', 'afternoon')",R1,gasCCGT,2025,A1,retrofit,power,17.82494466223
83,"('all-year', 'all-week', 'afternoon')",R1,windturbine,2025,A1,retrofit,power,21.40572936318
84,"('all-year', 'all-week', 'early-peak')",R1,gasCCGT,2025,A1,retrofit,power,19.44766129420
85,"('all-year', 'all-week', 'early-peak')",R1,windturbine,2025,A1,retrofit,power,21.40572936318
86,"('all-year', 'all-week', 'late-peak')",R1,gasCCGT,2025,A1,retrofit,power,28.17839189019
87,"('all-year', 'all-week', 'late-peak')",R1,windturbine,2025,A1,retrofit,power,21.40572936318
88,"('all-year', 'all-week', 'evening')",R1,gasCCGT,2025,A1,retrofit,power,21.71414137619
89,"('all-year', 'all-week', 'evening')",R1,windturbine,2025,A1,retrofit,power,21.40572936318
90,"('all-year', 'all-week', 'night')",R1,gassupply1,2025,A1,retrofit,gas,74.56689229390
91,"('all-year', 'all-week', 'night')",R1,gassupply2,2025,A1,retrofit,gas,132.99858898631
92,"('all-year', 'all-week', 'night')",R1,gassupply3,2025,A1,retrofit,gas,191.43028565750
93,"('all-year', 'all-week', 'morning')",R1,gassupply1,2025,A1,retrofit,gas,74.56689229390
94,"('all-year', 'all-week', 'morning')",R1,gassupply2,2025,A1,retrofit,gas,132.99858898631
95,"('all-year', 'all-week', 'morning')",R1,gassupply3,2025,A1,retrofit,gas,191.43028565750
96,"('all-year', 'all-week', 'afternoon')",R1,gassupply1,2025,A1,retrofit,gas,74.56689229390
97,"('all-year', 'all-week', 'afternoon')",R1,gassupply2,2025,A1,retrofit,gas,132.99858898631
98,"('all-year', 'all-week', 'afternoon')",R1,gassupply3,2025,A1,retrofit,gas,191.43028565750
99,"('all-year', 'all-week', 'early-peak')",R1,gassupply1,2025,A1,retrofit,gas,74.56689229390
100,"('all-year', 'all-week', 'early-peak')",R1,gassupply2,2025,A1,retrofit,gas,132.99858898631
101,"('all-year', 'all-week', 'early-peak')",R1,gassupply3,2025,A1,retrofit,gas,191.43028565750
102,"('all-year', 'all-week', 'late-peak')",R1,gassupply1,2025,A1,retrofit,gas,74.56689229390
103,"('all-year', 'all-week', 'late-peak')",R1,gassupply2,2025,A1,retrofit,gas,132.99858898631
104,"('all-year', 'all-week', 'late-peak')",R1,gassupply3,2025,A1,retrofit,gas,191.43028565750
105,"('all-year', 'all-week', 'evening')",R1,gassupply1,2025,A1,retrofit,gas,74.56689229390
106,"('all-year', 'all-week', 'evening')",R1,gassupply2,2025,A1,retrofit,gas,132.99858898631
107,"('all-year', 'all-week', 'evening')",R1,gassupply3,2025,A1,retrofit,gas,191.43028565750
108,"('all-year', 'all-week', 'night')",R1,gasboiler,2030,A1,retrofit,residential,11.44173574496
109,"('all-year', 'all-week', 'night')",R1,heatpump,2030,A1,retrofit,residential,17.55494188404
110,"('all-year', 'all-week', 'morning')",R1,gasboiler,2030,A1,retrofit,residential,12.57173374796
111,"('all-year', 'all-week', 'morning')",R1,heatpump,2030,A1,retrofit,residential,17.85323929279
112,"('all-year', 'all-week', 'afternoon')",R1,gasboiler,2030,A1,retrofit,residential,11.44173574496
113,"('all-year', 'all-week', 'afternoon')",R1,heatpump,2030,A1,retrofit,residential,17.55494188404
114,"('all-year', 'all-week', 'early-peak')",R1,gasboiler,2030,A1,retrofit,residential,12.57173374796
115,"('all-year', 'all-week', 'early-peak')",R1,heatpump,2030,A1,retrofit,residential,17.85323929279
116,"('all-year', 'all-week', 'late-peak')",R1,gasboiler,2030,A1,retrofit,residential,18.64471794385
