,timeslice,commodity,region,installed,technology,year,agent,category,sector,consumption
0,"('all-year', 'all-week', 'night')",gas,R1,2020.00000000000,gasboiler,2020.00000000000,A1,retrofit,residential,0.34800000000
1,"('all-year', 'all-week', 'morning')",gas,R1,2020.00000000000,gasboiler,2020.00000000000,A1,retrofit,residential,0.52200000000
2,"('all-year', 'all-week', 'afternoon')",gas,R1,2020.00000000000,gasboiler,2020.00000000000,A1,retrofit,residential,0.34800000000
3,"('all-year', 'all-week', 'early-peak')",gas,R1,2020.00000000000,gasboiler,2020.00000000000,A1,retrofit,residential,0.52200000000
4,"('all-year', 'all-week', 'late-peak')",gas,R1,2020.00000000000,gasboiler,2020.00000000000,A1,retrofit,residential,1.04400000000
5,"('all-year', 'all-week', 'evening')",gas,R1,2020.00000000000,gasboiler,2020.00000000000,A1,retrofit,residential,0.69600000000
6,"('all-year', 'all-week', 'night')",gas,R1,2020.00000000000,gasboiler,2020.00000000000,A2,retrofit,residential,0.81200000000
7,"('all-year', 'all-week', 'morning')",gas,R1,2020.00000000000,gasboiler,2020.00000000000,A2,retrofit,residential,1.21800000000
8,"('all-year', 'all-week', 'afternoon')",gas,R1,2020.00000000000,gasboiler,2020.00000000000,A2,retrofit,residential,0.81200000000
9,"('all-year', 'all-week', 'early-peak')",gas,R1,2020.00000000000,gasboiler,2020.00000000000,A2,retrofit,residential,1.21800000000
10,"('all-year', 'all-week', 'late-peak')",gas,R1,2020.00000000000,gasboiler,2020.00000000000,A2,retrofit,residential,2.43600000000
11,"('all-year', 'all-week', 'evening')",gas,R1,2020.00000000000,gasboiler,2020.00000000000,A2,retrofit,residential,1.62400000000
12,"('all-year', 'all-week', 'night')",gas,R1,2020.00000000000,gasboiler,2025.00000000000,A1,retrofit,residential,0.37700000000
13,"('all-year', 'all-week', 'morning')",gas,R1,2020.00000000000,gasboiler,2025.00000000000,A1,retrofit,residential,0.56550000000
14,"('all-year', 'all-week', 'afternoon')",gas,R1,2020.00000000000,gasboiler,2025.00000000000,A1,retrofit,residential,0.37700000000
15,"('all-year', 'all-week', 'early-peak')",gas,R1,2020.00000000000,gasboiler,2025.00000000000,A1,retrofit,residential,0.56550000000
