,timeslice,region,installed,technology,year,agent,category,sector,emission_costs
59,"('all-year', 'all-week', 'evening')",R1,2020,gassupply2,2020,A1,retrofit,gas,0.00000000000
60,"('all-year', 'all-week', 'night')",R1,2025,gasboiler,2025,A1,newcapa,residential,0.00000000000
61,"('all-year', 'all-week', 'morning')",R1,2025,gasboiler,2025,A1,newcapa,residential,0.00000000000
62,"('all-year', 'all-week', 'afternoon')",R1,2025,gasboiler,2025,A1,newcapa,residential,0.00000000000
63,"('all-year', 'all-week', 'early-peak')",R1,2025,gasboiler,2025,A1,newcapa,residential,0.00000000000
64,"('all-year', 'all-week', 'late-peak')",R1,2025,gasboiler,2025,A1,newcapa,residential,0.00000000000
65,"('all-year', 'all-week', 'evening')",R1,2025,gasboiler,2025,A1,newcapa,residential,0.00000000000
66,"('all-year', 'all-week', 'night')",R1,2020,gasboiler,2025,A1,retrofit,residential,1.66503845025
67,"('all-year', 'all-week', 'night')",R1,2025,gasboiler,2025,A1,retrofit,residential,0.00000000000
68,"('all-year', 'all-week', 'night')",R1,2025,heatpump,2025,A1,retrofit,residential,0.00000000000
69,"('all-year', 'all-week', 'morning')",R1,2020,gasboiler,2025,A1,retrofit,residential,2.49755767537
70,"('all-year', 'all-week', 'morning')",R1,2025,gasboiler,2025,A1,retrofit,residential,0.00000000000
71,"('all-year', 'all-week', 'morning')",R1,2025,heatpump,2025,A1,retrofit,residential,0.00000000000
72,"('all-year', 'all-week', 'afternoon')",R1,2020,gasboiler,2025,A1,retrofit,residential,1.66503845025
73,"('all-year', 'all-week', 'afternoon')",R1,2025,gasboiler,2025,A1,retrofit,residential,0.00000000000
74,"('all-year', 'all-week', 'afternoon')",R1,2025,heatpump,2025,A1,retrofit,residential,0.00000000000
75,"('all-year', 'all-week', 'early-peak')",R1,2020,gasboiler,2025,A1,retrofit,residential,2.49755767537
76,"('all-year', 'all-week', 'early-peak')",R1,2025,gasboiler,2025,A1,retrofit,residential,0.00000000000
77,"('all-year', 'all-week', 'early-peak')",R1,2025,heatpump,2025,A1,retrofit,residential,0.00000000000
78,"('all-year', 'all-week', 'late-peak')",R1,2020,gasboiler,2025,A1,retrofit,residential,4.99511535075
79,"('all-year', 'all-week', 'late-peak')",R1,2025,gasboiler,2025,A1,retrofit,residential,0.00000000000
80,"('all-year', 'all-week', 'late-peak')",R1,2025,heatpump,2025,A1,retrofit,residential,0.00000000000
81,"('all-year', 'all-week', 'evening')",R1,2020,gasboiler,2025,A1,retrofit,residential,3.33007690050
82,"('all-year', 'all-week', 'evening')",R1,2025,gasboiler,2025,A1,retrofit,residential,0.00000000000
83,"('all-year', 'all-week', 'evening')",R1,2025,heatpump,2025,A1,retrofit,residential,0.00000000000
84,"('all-year', 'all-week', 'night')",R1,2025,heatpump,2025,A2,newcapa,residential,0.00000000000
85,"('all-year', 'all-week', 'morning')",R1,2025,heatpump,2025,A2,newcapa,residential,0.00000000000
86,"('all-year', 'all-week', 'afternoon')",R1,2025,heatpump,2025,A2,newcapa,residential,0.00000000000
87,"('all-year', 'all-week', 'early-peak')",R1,2025,heatpump,2025,A2,newcapa,residential,0.00000000000
88,"('all-year', 'all-week', 'late-peak')",R1,2025,heatpump,2025,A2,newcapa,residential,0.00000000000
89,"('all-year', 'all-week', 'evening')",R1,2025,heatpump,2025,A2,newcapa,residential,0.00000000000
90,"('all-year', 'all-week', 'night')",R1,2020,gasboiler,2025,A2,retrofit,residential,3.26829179250
91,"('all-year', 'all-week', 'night')",R1,2020,heatpump,2025,A2,retrofit,residential,0.00000000000
92,"('all-year', 'all-week', 'night')",R1,2025,gasboiler,2025,A2,retrofit,residential,0.00000000000
93,"('all-year', 'all-week', 'night')",R1,2025,heatpump,2025,A2,retrofit,residential,0.00000000000
94,"('all-year', 'all-week', 'morning')",R1,2020,gasboiler,2025,A2,retrofit,residential,4.90243768875
95,"('all-year', 'all-week', 'morning')",R1,2020,heatpump,2025,A2,retrofit,residential,0.00000000000
96,"('all-year', 'all-week', 'morning')",R1,2025,gasboiler,2025,A2,retrofit,residential,0.00000000000
97,"('all-year', 'all-week', 'morning')",R1,2025,heatpump,2025,A2,retrofit,residential,0.00000000000
98,"('all-year', 'all-week', 'afternoon')",R1,2020,gasboiler,2025,A2,retrofit,residential,3.26829179250
99,"('all-year', 'all-week', 'afternoon')",R1,2020,heatpump,2025,A2,retrofit,residential,0.00000000000
100,"('all-year', 'all-week', 'afternoon')",R1,2025,gasboiler,2025,A2,retrofit,residential,0.00000000000
101,"('all-year', 'all-week', 'afternoon')",R1,2025,heatpump,2025,A2,retrofit,residential,0.00000000000
102,"('all-year', 'all-week', 'early-peak')",R1,2020,gasboiler,2025,A2,retrofit,residential,4.90243768875
103,"('all-year', 'all-week', 'early-peak')",R1,2020,heatpump,2025,A2,retrofit,residential,0.00000000000
104,"('all-year', 'all-week', 'early-peak')",R1,2025,gasboiler,2025,A2,retrofit,residential,0.00000000000
105,"('all-year', 'all-week', 'early-peak')",R1,2025,heatpump,2025,A2,retrofit,residential,0.00000000000
106,"('all-year', 'all-week', 'late-peak')",R1,2020,gasboiler,2025,A2,retrofit,residential,9.80487537750
107,"('all-year', 'all-week', 'late-peak')",R1,2020,heatpump,2025,A2,retrofit,residential,0.00000000000
108,"('all-year', 'all-week', 'late-peak')",R1,2025,gasboiler,2025,A2,retrofit,residential,0.00000000000
109,"('all-year', 'all-week', 'late-peak')",R1,2025,heatpump,2025,A2,retrofit,residential,0.00000000000
110,"('all-year', 'all-week', 'evening')",R1,2020,gasboiler,2025,A2,retrofit,residential,6.53658358500
111,"('all-year', 'all-week', 'evening')",R1,2020,heatpump,2025,A2,retrofit,residential,0.00000000000
112,"('all-year', 'all-week', 'evening')",R1,2025,gasboiler,2025,A2,retrofit,residential,0.00000000000
113,"('all-year', 'all-week', 'evening')",R1,2025,heatpump,2025,A2,retrofit,residential,0.00000000000
114,"('all-year', 'all-week', 'night')",R1,2025,gasCCGT,2025,A1,newcapa,power,0.00000000000
115,"('all-year', 'all-week', 'night')",R1,2025,windturbine,2025,A1,newcapa,power,0.00000000000
116,"('all-year', 'all-week', 'morning')",R1,2025,gasCCGT,2025,A1,newcapa,power,0.00000000000
117,"('all-year', 'all-week', 'morning')",R1,2025,windturbine,2025,A1,newcapa,power,0.00000000000
118,"('all-year', 'all-week', 'afternoon')",R1,2025,gasCCGT,2025,A1,newcapa,power,0.00000000000
119,"('all-year', 'all-week', 'afternoon')",R1,2025,windturbine,2025,A1,newcapa,power,0.00000000000
120,"('all-year', 'all-week', 'early-peak')",R1,2025,gasCCGT,2025,A1,newcapa,power,0.00000000000
121,"('all-year', 'all-week', 'early-peak')",R1,2025,windturbine,2025,A1,newcapa,power,0.00000000000
122,"('all-year', 'all-week', 'late-peak')",R1,2025,gasCCGT,2025,A1,newcapa,power,0.00000000000
123,"('all-year', 'all-week', 'late-peak')",R1,2025,windturbine,2025,A1,newcapa,power,0.00000000000
124,"('all-year', 'all-week', 'evening')",R1,2025,gasCCGT,2025,A1,newcapa,power,0.00000000000
125,"('all-year', 'all-week', 'evening')",R1,2025,windturbine,2025,A1,newcapa,power,0.00000000000
126,"('all-year', 'all-week', 'night')",R1,2020,gasCCGT,2025,A1,retrofit,power,0.34950929230
127,"('all-year', 'all-week', 'night')",R1,2025,gasCCGT,2025,A1,retrofit,power,0.00000000000
128,"('all-year', 'all-week', 'night')",R1,2025,windturbine,2025,A1,retrofit,power,0.00000000000
129,"('all-year', 'all-week', 'morning')",R1,2020,gasCCGT,2025,A1,retrofit,power,0.52426393845
130,"('all-year', 'all-week', 'morning')",R1,2025,gasCCGT,2025,A1,retrofit,power,0.00000000000
131,"('all-year', 'all-week', 'morning')",R1,2025,windturbine,2025,A1,retrofit,power,0.00000000000
132,"('all-year', 'all-week', 'afternoon')",R1,2020,gasCCGT,2025,A1,retrofit,power,0.34950929230
133,"('all-year', 'all-week', 'afternoon')",R1,2025,gasCCGT,2025,A1,retrofit,power,0.00000000000
134,"('all-year', 'all-week', 'afternoon')",R1,2025,windturbine,2025,A1,retrofit,power,0.00000000000
