,region,installed,technology,year,agent,category,sector,capital_costs
0,R1,2020,gasboiler,2020,A1,retrofit,residential,1.65000000000
1,R1,2020,gasboiler,2020,A1,retrofit,residential,2.47500000000
2,R1,2020,gasboiler,2020,A1,retrofit,residential,1.65000000000
3,R1,2020,gasboiler,2020,A1,retrofit,residential,2.47500000000
4,R1,2020,gasboiler,2020,A1,retrofit,residential,4.95000000000
5,R1,2020,gasboiler,2020,A1,retrofit,residential,3.30000000000
6,R1,2020,gasboiler,2020,A2,retrofit,residential,3.85000000000
7,R1,2020,gasboiler,2020,A2,retrofit,residential,5.77500000000
8,R1,2020,gasboiler,2020,A2,retrofit,residential,3.85000000000
9,R1,2020,gasboiler,2020,A2,retrofit,residential,5.77500000000
10,R1,2020,gasboiler,2020,A2,retrofit,residential,11.55000000000
11,R1,2020,gasboiler,2020,A2,retrofit,residential,7.70000000000
12,R1,2020,gasCCGT,2020,A1,retrofit,power,2.37823439900
13,R1,2020,gasCCGT,2020,A1,retrofit,power,3.56735159850
14,R1,2020,gasCCGT,2020,A1,retrofit,power,2.37823439900
15,R1,2020,gasCCGT,2020,A1,retrofit,power,3.56735159850
16,R1,2020,gasCCGT,2020,A1,retrofit,power,7.13470319700
17,R1,2020,gasCCGT,2020,A1,retrofit,power,4.75646879800
18,R1,2020,gassupply1,2020,A1,retrofit,gas,163.41168000000
19,R1,2020,gassupply1,2020,A1,retrofit,gas,245.11752000000
20,R1,2020,gassupply1,2020,A1,retrofit,gas,163.41168000000
21,R1,2020,gassupply1,2020,A1,retrofit,gas,245.11752000000
22,R1,2020,gassupply1,2020,A1,retrofit,gas,490.23504000000
23,R1,2020,gassupply1,2020,A1,retrofit,gas,326.82336000000
24,R1,2020,gasboiler,2025,A1,retrofit,residential,1.71052631579
25,R1,2020,gasboiler,2025,A1,retrofit,residential,2.56578947368
26,R1,2020,gasboiler,2025,A1,retrofit,residential,1.71052631579
27,R1,2020,gasboiler,2025,A1,retrofit,residential,2.56578947368
28,R1,2020,gasboiler,2025,A1,retrofit,residential,5.13157894737
29,R1,2020,gasboiler,2025,A1,retrofit,residential,3.42105263158
30,R1,2020,gasboiler,2025,A2,retrofit,residential,2.45000000000
31,R1,2020,heatpump,2025,A2,retrofit,residential,15.41228070175
32,R1,2020,gasboiler,2025,A2,retrofit,residential,3.67500000000
33,R1,2020,heatpump,2025,A2,retrofit,residential,23.11842105263
34,R1,2020,gasboiler,2025,A2,retrofit,residential,2.45000000000
35,R1,2020,heatpump,2025,A2,retrofit,residential,15.41228070175
36,R1,2020,gasboiler,2025,A2,retrofit,residential,3.67500000000
37,R1,2020,heatpump,2025,A2,retrofit,residential,23.11842105263
38,R1,2020,gasboiler,2025,A2,retrofit,residential,7.35000000000
39,R1,2020,heatpump,2025,A2,retrofit,residential,46.23684210526
40,R1,2020,gasboiler,2025,A2,retrofit,residential,4.90000000000
41,R1,2020,heatpump,2025,A2,retrofit,residential,30.82456140351
42,R1,2020,gasCCGT,2025,A1,retrofit,power,1.18911719950
43,R1,2020,windturbine,2025,A1,retrofit,power,6.54749069821
44,R1,2020,gasCCGT,2025,A1,retrofit,power,1.78367579925
45,R1,2020,windturbine,2025,A1,retrofit,power,9.82123604731
46,R1,2020,gasCCGT,2025,A1,retrofit,power,1.18911719950
47,R1,2020,windturbine,2025,A1,retrofit,power,6.54749069821
48,R1,2020,gasCCGT,2025,A1,retrofit,power,1.78367579925
49,R1,2020,windturbine,2025,A1,retrofit,power,9.82123604731
50,R1,2020,gasCCGT,2025,A1,retrofit,power,3.56735159850
51,R1,2020,windturbine,2025,A1,retrofit,power,19.64247209462
52,R1,2020,gasCCGT,2025,A1,retrofit,power,2.37823439900
53,R1,2020,windturbine,2025,A1,retrofit,power,13.09498139641
54,R1,2020,gassupply1,2025,A1,retrofit,gas,60.04652965867
55,R1,2020,gassupply1,2025,A1,retrofit,gas,90.06979448800
56,R1,2020,gassupply1,2025,A1,retrofit,gas,60.04652965867
57,R1,2020,gassupply1,2025,A1,retrofit,gas,90.06979448800
58,R1,2020,gassupply1,2025,A1,retrofit,gas,180.13958897600
59,R1,2020,gassupply1,2025,A1,retrofit,gas,120.09305931733
60,R1,2020,gasboiler,2030,A1,retrofit,residential,0.66052633079
61,R1,2025,gasboiler,2030,A1,retrofit,residential,1.18157893237
62,R1,2020,gasboiler,2030,A1,retrofit,residential,0.99078949618
