timeslice,commodity,region,year,asset,month,day,hour,technology,installed,supply
0,heat,R1,2050,5,all-year,all-week,night,heatpump,2040,0.60990000000
0,heat,R1,2050,6,all-year,all-week,night,heatpump,2045,0.46110000000
0,heat,R1,2050,13,all-year,all-week,night,heatpump,2040,0.60990000000
0,heat,R1,2050,14,all-year,all-week,night,heatpump,2045,0.46110000000
0,heat,R1,2055,6,all-year,all-week,night,heatpump,2045,0.46110000000
0,heat,R1,2055,7,all-year,all-week,night,heatpump,2050,0.60990000000
0,heat,R1,2055,14,all-year,all-week,night,heatpump,2045,0.46110000000
0,heat,R1,2055,15,all-year,all-week,night,heatpump,2050,0.60990000000
0,heat,R2,2050,5,all-year,all-week,night,heatpump,2040,0.60990000000
0,heat,R2,2050,6,all-year,all-week,night,heatpump,2045,0.46110000000
0,heat,R2,2050,13,all-year,all-week,night,heatpump,2040,0.60990000000
0,heat,R2,2050,14,all-year,all-week,night,heatpump,2045,0.46110000000
0,heat,R2,2055,6,all-year,all-week,night,heatpump,2045,0.46110000000
0,heat,R2,2055,7,all-year,all-week,night,heatpump,2050,0.60990000000
0,heat,R2,2055,14,all-year,all-week,night,heatpump,2045,0.46110000000
0,heat,R2,2055,15,all-year,all-week,night,heatpump,2050,0.60990000000
0,cook,R1,2050,1,all-year,all-week,night,estove,2040,0.60990000000
0,cook,R1,2050,2,all-year,all-week,night,estove,2045,0.46110000000
0,cook,R1,2050,9,all-year,all-week,night,estove,2040,0.60990000000
0,cook,R1,2050,10,all-year,all-week,night,estove,2045,0.46110000000
0,cook,R1,2055,2,all-year,all-week,night,estove,2045,0.46110000000
0,cook,R1,2055,3,all-year,all-week,night,estove,2050,0.60990000000
0,cook,R1,2055,10,all-year,all-week,night,estove,2045,0.46110000000
0,cook,R1,2055,11,all-year,all-week,night,estove,2050,0.60990000000
0,cook,R2,2050,1,all-year,all-week,night,estove,2040,0.60990000000
0,cook,R2,2050,2,all-year,all-week,night,estove,2045,0.46110000000
0,cook,R2,2050,9,all-year,all-week,night,estove,2040,0.60990000000
0,cook,R2,2050,10,all-year,all-week,night,estove,2045,0.46110000000
0,cook,R2,2055,2,all-year,all-week,night,estove,2045,0.46110000000
0,cook,R2,2055,3,all-year,all-week,night,estove,2050,0.60990000000
0,cook,R2,2055,10,all-year,all-week,night,estove,2045,0.46110000000
0,cook,R2,2055,11,all-year,all-week,night,estove,2050,0.60990000000
1,heat,R1,2050,5,all-year,all-week,morning,heatpump,2040,0.91480000000
1,heat,R1,2050,6,all-year,all-week,morning,heatpump,2045,0.69170000000
1,heat,R1,2050,13,all-year,all-week,morning,heatpump,2040,0.91480000000
1,heat,R1,2050,14,all-year,all-week,morning,heatpump,2045,0.69170000000
1,heat,R1,2055,6,all-year,all-week,morning,heatpump,2045,0.69170000000
1,heat,R1,2055,7,all-year,all-week,morning,heatpump,2050,0.91480000000
1,heat,R1,2055,14,all-year,all-week,morning,heatpump,2045,0.69170000000
1,heat,R1,2055,15,all-year,all-week,morning,heatpump,2050,0.91480000000
1,heat,R2,2050,5,all-year,all-week,morning,heatpump,2040,0.91480000000
1,heat,R2,2050,6,all-year,all-week,morning,heatpump,2045,0.69170000000
1,heat,R2,2050,13,all-year,all-week,morning,heatpump,2040,0.91480000000
1,heat,R2,2050,14,all-year,all-week,morning,heatpump,2045,0.69170000000
1,heat,R2,2055,6,all-year,all-week,morning,heatpump,2045,0.69170000000
1,heat,R2,2055,7,all-year,all-week,morning,heatpump,2050,0.91480000000
1,heat,R2,2055,14,all-year,all-week,morning,heatpump,2045,0.69170000000
1,heat,R2,2055,15,all-year,all-week,morning,heatpump,2050,0.91480000000
1,cook,R1,2050,1,all-year,all-week,morning,estove,2040,0.91480000000
1,cook,R1,2050,2,all-year,all-week,morning,estove,2045,0.69170000000
1,cook,R1,2050,9,all-year,all-week,morning,estove,2040,0.91480000000
1,cook,R1,2050,10,all-year,all-week,morning,estove,2045,0.69170000000
1,cook,R1,2055,2,all-year,all-week,morning,estove,2045,0.69170000000
1,cook,R1,2055,3,all-year,all-week,morning,estove,2050,0.91480000000
1,cook,R1,2055,10,all-year,all-week,morning,estove,2045,0.69170000000
1,cook,R1,2055,11,all-year,all-week,morning,estove,2050,0.91480000000
1,cook,R2,2050,1,all-year,all-week,morning,estove,2040,0.91480000000
1,cook,R2,2050,2,all-year,all-week,morning,estove,2045,0.69170000000
1,cook,R2,2050,9,all-year,all-week,morning,estove,2040,0.91480000000
1,cook,R2,2050,10,all-year,all-week,morning,estove,2045,0.69170000000
1,cook,R2,2055,2,all-year,all-week,morning,estove,2045,0.69170000000
1,cook,R2,2055,3,all-year,all-week,morning,estove,2050,0.91480000000
1,cook,R2,2055,10,all-year,all-week,morning,estove,2045,0.69170000000
1,cook,R2,2055,11,all-year,all-week,morning,estove,2050,0.91480000000
2,heat,R1,2050,5,all-year,all-week,mid-afternoon,heatpump,2040,0.60990000000
2,heat,R1,2050,6,all-year,all-week,mid-afternoon,heatpump,2045,0.46110000000
2,heat,R1,2050,13,all-year,all-week,mid-afternoon,heatpump,2040,0.60990000000
