timeslice,commodity,region,year,asset,technology,installed,month,day,hour,supply
0,heat,R1,2045,6,heatpump,2035,all-year,all-week,night,0.34210000000
0,heat,R1,2045,7,heatpump,2040,all-year,all-week,night,0.60990000000
0,heat,R1,2045,9,heatpump,2035,all-year,all-week,night,0.34210000000
0,heat,R1,2045,10,heatpump,2040,all-year,all-week,night,0.60990000000
0,heat,R1,2050,7,heatpump,2040,all-year,all-week,night,0.60990000000
0,heat,R1,2050,8,heatpump,2045,all-year,all-week,night,0.46110000000
0,heat,R1,2050,10,heatpump,2040,all-year,all-week,night,0.60990000000
0,heat,R1,2050,11,heatpump,2045,all-year,all-week,night,0.46110000000
0,heat,R2,2045,6,heatpump,2035,all-year,all-week,night,0.34210000000
0,heat,R2,2045,7,heatpump,2040,all-year,all-week,night,0.60990000000
0,heat,R2,2045,9,heatpump,2035,all-year,all-week,night,0.34210000000
0,heat,R2,2045,10,heatpump,2040,all-year,all-week,night,0.60990000000
0,heat,R2,2050,7,heatpump,2040,all-year,all-week,night,0.60990000000
0,heat,R2,2050,8,heatpump,2045,all-year,all-week,night,0.46110000000
0,heat,R2,2050,10,heatpump,2040,all-year,all-week,night,0.60990000000
0,heat,R2,2050,11,heatpump,2045,all-year,all-week,night,0.46110000000
0,cook,R1,2045,0,estove,2035,all-year,all-week,night,0.34210000000
0,cook,R1,2045,1,estove,2040,all-year,all-week,night,0.60990000000
0,cook,R1,2045,3,estove,2035,all-year,all-week,night,0.34210000000
0,cook,R1,2045,4,estove,2040,all-year,all-week,night,0.60990000000
0,cook,R1,2050,1,estove,2040,all-year,all-week,night,0.60990000000
0,cook,R1,2050,2,estove,2045,all-year,all-week,night,0.46110000000
0,cook,R1,2050,4,estove,2040,all-year,all-week,night,0.60990000000
0,cook,R1,2050,5,estove,2045,all-year,all-week,night,0.46110000000
0,cook,R2,2045,0,estove,2035,all-year,all-week,night,0.34210000000
0,cook,R2,2045,1,estove,2040,all-year,all-week,night,0.60990000000
0,cook,R2,2045,3,estove,2035,all-year,all-week,night,0.34210000000
0,cook,R2,2045,4,estove,2040,all-year,all-week,night,0.60990000000
0,cook,R2,2050,1,estove,2040,all-year,all-week,night,0.60990000000
0,cook,R2,2050,2,estove,2045,all-year,all-week,night,0.46110000000
0,cook,R2,2050,4,estove,2040,all-year,all-week,night,0.60990000000
0,cook,R2,2050,5,estove,2045,all-year,all-week,night,0.46110000000
1,heat,R1,2045,6,heatpump,2035,all-year,all-week,morning,0.51320000000
1,heat,R1,2045,7,heatpump,2040,all-year,all-week,morning,0.91480000000
1,heat,R1,2045,9,heatpump,2035,all-year,all-week,morning,0.51320000000
1,heat,R1,2045,10,heatpump,2040,all-year,all-week,morning,0.91480000000
1,heat,R1,2050,7,heatpump,2040,all-year,all-week,morning,0.91480000000
1,heat,R1,2050,8,heatpump,2045,all-year,all-week,morning,0.69170000000
1,heat,R1,2050,10,heatpump,2040,all-year,all-week,morning,0.91480000000
1,heat,R1,2050,11,heatpump,2045,all-year,all-week,morning,0.69170000000
1,heat,R2,2045,6,heatpump,2035,all-year,all-week,morning,0.51320000000
1,heat,R2,2045,7,heatpump,2040,all-year,all-week,morning,0.91480000000
1,heat,R2,2045,9,heatpump,2035,all-year,all-week,morning,0.51320000000
1,heat,R2,2045,10,heatpump,2040,all-year,all-week,morning,0.91480000000
1,heat,R2,2050,7,heatpump,2040,all-year,all-week,morning,0.91480000000
1,heat,R2,2050,8,heatpump,2045,all-year,all-week,morning,0.69170000000
1,heat,R2,2050,10,heatpump,2040,all-year,all-week,morning,0.91480000000
1,heat,R2,2050,11,heatpump,2045,all-year,all-week,morning,0.69170000000
1,cook,R1,2045,0,estove,2035,all-year,all-week,morning,0.51320000000
1,cook,R1,2045,1,estove,2040,all-year,all-week,morning,0.91480000000
1,cook,R1,2045,3,estove,2035,all-year,all-week,morning,0.51320000000
1,cook,R1,2045,4,estove,2040,all-year,all-week,morning,0.91480000000
1,cook,R1,2050,1,estove,2040,all-year,all-week,morning,0.91480000000
1,cook,R1,2050,2,estove,2045,all-year,all-week,morning,0.69170000000
1,cook,R1,2050,4,estove,2040,all-year,all-week,morning,0.91480000000
1,cook,R1,2050,5,estove,2045,all-year,all-week,morning,0.69170000000
1,cook,R2,2045,0,estove,2035,all-year,all-week,morning,0.51320000000
1,cook,R2,2045,1,estove,2040,all-year,all-week,morning,0.91480000000
1,cook,R2,2045,3,estove,2035,all-year,all-week,morning,0.51320000000
1,cook,R2,2045,4,estove,2040,all-year,all-week,morning,0.91480000000
1,cook,R2,2050,1,estove,2040,all-year,all-week,morning,0.91480000000
1,cook,R2,2050,2,estove,2045,all-year,all-week,morning,0.69170000000
1,cook,R2,2050,4,estove,2040,all-year,all-week,morning,0.91480000000
1,cook,R2,2050,5,estove,2045,all-year,all-week,morning,0.69170000000
2,heat,R1,2045,6,heatpump,2035,all-year,all-week,mid-afternoon,0.34210000000
2,heat,R1,2045,7,heatpump,2040,all-year,all-week,mid-afternoon,0.60990000000
2,heat,R1,2045,9,heatpump,2035,all-year,all-week,mid-afternoon,0.34210000000
2,heat,R1,2045,10,heatpump,2040,all-year,all-week,mid-afternoon,0.60990000000
2,heat,R1,2050,7,heatpump,2040,all-year,all-week,mid-afternoon,0.60990000000
