timeslice,commodity,region,year,asset,technology,installed,month,day,hour,supply
0,heat,R1,2035,8,gasboiler,2025,all-year,all-week,night,0.04460000000
0,heat,R1,2035,9,gasboiler,2025,all-year,all-week,night,0.04460000000
0,heat,R1,2035,10,heatpump,2025,all-year,all-week,night,0.17850000000
0,heat,R1,2035,11,heatpump,2030,all-year,all-week,night,0.49090000000
0,heat,R1,2035,13,heatpump,2025,all-year,all-week,night,0.17850000000
0,heat,R1,2035,14,heatpump,2030,all-year,all-week,night,0.49090000000
0,heat,R1,2040,11,heatpump,2030,all-year,all-week,night,0.49090000000
0,heat,R1,2040,12,heatpump,2035,all-year,all-week,night,0.34210000000
0,heat,R1,2040,14,heatpump,2030,all-year,all-week,night,0.49090000000
0,heat,R1,2040,15,heatpump,2035,all-year,all-week,night,0.34210000000
0,heat,R2,2035,8,gasboiler,2025,all-year,all-week,night,0.04460000000
0,heat,R2,2035,9,gasboiler,2025,all-year,all-week,night,0.04460000000
0,heat,R2,2035,10,heatpump,2025,all-year,all-week,night,0.17850000000
0,heat,R2,2035,11,heatpump,2030,all-year,all-week,night,0.49090000000
0,heat,R2,2035,13,heatpump,2025,all-year,all-week,night,0.17850000000
0,heat,R2,2035,14,heatpump,2030,all-year,all-week,night,0.49090000000
0,heat,R2,2040,11,heatpump,2030,all-year,all-week,night,0.49090000000
0,heat,R2,2040,12,heatpump,2035,all-year,all-week,night,0.34210000000
0,heat,R2,2040,14,heatpump,2030,all-year,all-week,night,0.49090000000
0,heat,R2,2040,15,heatpump,2035,all-year,all-week,night,0.34210000000
0,CO2f,R1,2035,6,gas_stove,2025,all-year,all-week,night,2.23120000000
0,CO2f,R1,2035,7,gas_stove,2025,all-year,all-week,night,2.23120000000
0,CO2f,R1,2035,8,gasboiler,2025,all-year,all-week,night,2.88760000000
0,CO2f,R1,2035,9,gasboiler,2025,all-year,all-week,night,2.88760000000
0,CO2f,R2,2035,6,gas_stove,2025,all-year,all-week,night,2.23120000000
0,CO2f,R2,2035,7,gas_stove,2025,all-year,all-week,night,2.23120000000
0,CO2f,R2,2035,8,gasboiler,2025,all-year,all-week,night,2.88760000000
0,CO2f,R2,2035,9,gasboiler,2025,all-year,all-week,night,2.88760000000
0,cook,R1,2035,0,estove,2025,all-year,all-week,night,0.17850000000
0,cook,R1,2035,1,estove,2030,all-year,all-week,night,0.49090000000
0,cook,R1,2035,3,estove,2025,all-year,all-week,night,0.17850000000
0,cook,R1,2035,4,estove,2030,all-year,all-week,night,0.49090000000
0,cook,R1,2035,6,gas_stove,2025,all-year,all-week,night,0.04460000000
0,cook,R1,2035,7,gas_stove,2025,all-year,all-week,night,0.04460000000
0,cook,R1,2040,1,estove,2030,all-year,all-week,night,0.49090000000
0,cook,R1,2040,2,estove,2035,all-year,all-week,night,0.34210000000
0,cook,R1,2040,4,estove,2030,all-year,all-week,night,0.49090000000
0,cook,R1,2040,5,estove,2035,all-year,all-week,night,0.34210000000
0,cook,R2,2035,0,estove,2025,all-year,all-week,night,0.17850000000
0,cook,R2,2035,1,estove,2030,all-year,all-week,night,0.49090000000
0,cook,R2,2035,3,estove,2025,all-year,all-week,night,0.17850000000
0,cook,R2,2035,4,estove,2030,all-year,all-week,night,0.49090000000
0,cook,R2,2035,6,gas_stove,2025,all-year,all-week,night,0.04460000000
0,cook,R2,2035,7,gas_stove,2025,all-year,all-week,night,0.04460000000
