,asset,year,region,technology,installed,capacity
0,0,2030,R1,gasboiler,2020,2.64210000000
1,0,2034,R1,gasboiler,2020,2.64210000000
10,1,2030,R1,gasboiler,2025,7.87720000000
11,1,2034,R1,gasboiler,2025,7.87720000000
12,1,2035,R1,gasboiler,2025,7.87720000000
13,1,2039,R1,gasboiler,2025,7.87720000000
22,2,2035,R1,gasboiler,2030,1.58420000000
23,2,2039,R1,gasboiler,2030,1.58420000000
24,2,2040,R1,gasboiler,2030,1.58420000000
25,2,2044,R1,gasboiler,2030,1.58420000000
30,3,2030,R1,heatpump,2020,1.76140000000
31,3,2034,R1,heatpump,2020,1.76140000000
42,4,2035,R1,heatpump,2030,3.69650000000
43,4,2039,R1,heatpump,2030,3.69650000000
44,4,2040,R1,heatpump,2030,3.69650000000
45,4,2044,R1,heatpump,2030,3.69650000000
