,asset,year,region,installed,technology,capacity
32,3,2050,R1,2040,gasboiler,1.84740000000
33,3,2054,R1,2040,gasboiler,1.84740000000
42,4,2050,R1,2040,heatpump,4.31050000000
43,4,2054,R1,2040,heatpump,4.31050000000
52,5,2050,R1,2045,gasboiler,2.88950000000
53,5,2054,R1,2045,gasboiler,2.88950000000
54,5,2055,R1,2045,gasboiler,2.88950000000
55,5,2059,R1,2045,gasboiler,2.88950000000
62,6,2050,R1,2045,heatpump,6.74210000000
63,6,2054,R1,2045,heatpump,6.74210000000
64,6,2055,R1,2045,heatpump,6.74210000000
65,6,2059,R1,2045,heatpump,6.74210000000
74,7,2055,R1,2050,gasboiler,1.84740000000
75,7,2059,R1,2050,gasboiler,1.84740000000
76,7,2060,R1,2050,gasboiler,1.84740000000
77,7,2064,R1,2050,gasboiler,1.84740000000
84,8,2055,R1,2050,heatpump,4.31050000000
85,8,2059,R1,2050,heatpump,4.31050000000
86,8,2060,R1,2050,heatpump,4.31050000000
87,8,2064,R1,2050,heatpump,4.31050000000
