,asset,year,region,technology,installed,capacity
9,1,2035,R1,gasboiler,2025,7.87720000000
10,1,2039,R1,gasboiler,2025,7.87720000000
18,2,2035,R1,gasboiler,2030,1.58420000000
19,2,2039,R1,gasboiler,2030,1.58420000000
20,2,2040,R1,gasboiler,2030,1.58420000000
21,2,2044,R1,gasboiler,2030,1.58420000000
29,3,2040,R1,gasboiler,2035,4.44390000000
30,3,2044,R1,gasboiler,2035,4.44390000000
31,3,2045,R1,gasboiler,2035,4.44390000000
32,3,2049,R1,gasboiler,2035,4.44390000000
36,4,2035,R1,heatpump,2030,3.69650000000
37,4,2039,R1,heatpump,2030,3.69650000000
38,4,2040,R1,heatpump,2030,3.69650000000
39,4,2044,R1,heatpump,2030,3.69650000000
47,5,2040,R1,heatpump,2035,4.31050000000
48,5,2044,R1,heatpump,2035,4.31050000000
49,5,2045,R1,heatpump,2035,4.31050000000
50,5,2049,R1,heatpump,2035,4.31050000000
