commodity,year,asset,region,installed,technology,supply
heat,2050,1,R1,2040,heatpump,15.91690000000
heat,2050,3,R1,2045,heatpump,14.08310000000
heat,2055,3,R1,2045,heatpump,23.89320000000
heat,2055,5,R1,2050,heatpump,6.10680000000
