timeslice,commodity,year,asset,region,month,day,hour,technology,installed,supply
0,heat,2025,0,R1,all-year,all-week,night,gasboiler,2020,0.15500000000
0,heat,2025,1,R1,all-year,all-week,night,heatpump,2020,1.17830000000
0,heat,2030,1,R1,all-year,all-week,night,heatpump,2020,1.66670000000
0,CO2f,2025,0,R1,all-year,all-week,night,gasboiler,2020,10.03260000000
1,heat,2025,0,R1,all-year,all-week,morning,gasboiler,2020,0.23260000000
1,heat,2025,1,R1,all-year,all-week,morning,heatpump,2020,1.76740000000
1,heat,2030,1,R1,all-year,all-week,morning,heatpump,2020,2.50000000000
1,CO2f,2025,0,R1,all-year,all-week,morning,gasboiler,2020,15.04880000000
2,heat,2025,0,R1,all-year,all-week,afternoon,gasboiler,2020,0.15500000000
2,heat,2025,1,R1,all-year,all-week,afternoon,heatpump,2020,1.17830000000
2,heat,2030,1,R1,all-year,all-week,afternoon,heatpump,2020,1.66670000000
2,CO2f,2025,0,R1,all-year,all-week,afternoon,gasboiler,2020,10.03260000000
3,heat,2025,0,R1,all-year,all-week,early-peak,gasboiler,2020,0.23260000000
3,heat,2025,1,R1,all-year,all-week,early-peak,heatpump,2020,1.76740000000
3,heat,2030,1,R1,all-year,all-week,early-peak,heatpump,2020,2.50000000000
3,CO2f,2025,0,R1,all-year,all-week,early-peak,gasboiler,2020,15.04880000000
4,heat,2025,0,R1,all-year,all-week,late-peak,gasboiler,2020,0.46510000000
4,heat,2025,1,R1,all-year,all-week,late-peak,heatpump,2020,3.53490000000
4,heat,2030,1,R1,all-year,all-week,late-peak,heatpump,2020,5.00000000000
4,CO2f,2025,0,R1,all-year,all-week,late-peak,gasboiler,2020,30.09770000000
5,heat,2025,0,R1,all-year,all-week,evening,gasboiler,2020,0.31010000000
5,heat,2025,1,R1,all-year,all-week,evening,heatpump,2020,2.35660000000
5,heat,2030,1,R1,all-year,all-week,evening,heatpump,2020,3.33330000000
5,CO2f,2025,0,R1,all-year,all-week,evening,gasboiler,2020,20.06510000000
