commodity,asset,year,region,installed,technology,supply
heat,2,2026,R1,2020,gasboiler,5.00000000000
heat,3,2026,R1,2020,heatpump,30.40000000000
heat,3,2028,R1,2020,heatpump,31.20000000000
heat,3,2031,R1,2020,heatpump,32.40000000000
heat,7,2026,R1,2022,heatpump,5.60000000000
heat,7,2028,R1,2022,heatpump,5.60000000000
heat,7,2031,R1,2022,heatpump,5.60000000000
heat,11,2026,R1,2024,heatpump,7.60000000000
heat,11,2028,R1,2024,heatpump,7.60000000000
heat,11,2031,R1,2024,heatpump,7.60000000000
heat,15,2028,R1,2026,heatpump,1.60000000000
heat,15,2031,R1,2026,heatpump,1.60000000000
heat,18,2026,R2,2020,gasboiler,5.00000000000
heat,19,2026,R2,2020,heatpump,30.40000000000
heat,19,2028,R2,2020,heatpump,31.20000000000
heat,19,2031,R2,2020,heatpump,32.40000000000
heat,23,2026,R2,2022,heatpump,5.60000000000
heat,23,2028,R2,2022,heatpump,5.60000000000
heat,23,2031,R2,2022,heatpump,5.60000000000
heat,27,2026,R2,2024,heatpump,7.60000000000
heat,27,2028,R2,2024,heatpump,7.60000000000
heat,27,2031,R2,2024,heatpump,7.60000000000
heat,31,2028,R2,2026,heatpump,1.60000000000
heat,31,2031,R2,2026,heatpump,1.60000000000
CO2f,2,2026,R1,2020,gasboiler,323.55000000000
CO2f,18,2026,R2,2020,gasboiler,323.55000000000
cook,1,2026,R1,2020,gas_stove,18.90000000000
cook,1,2028,R1,2020,gas_stove,19.33330000000
cook,1,2031,R1,2020,gas_stove,19.33330000000
cook,5,2026,R1,2022,gas_stove,6.13330000000
cook,5,2028,R1,2022,gas_stove,6.13330000000
cook,5,2031,R1,2022,gas_stove,6.13330000000
cook,9,2026,R1,2024,gas_stove,8.13330000000
cook,9,2028,R1,2024,gas_stove,8.13330000000
cook,9,2031,R1,2024,gas_stove,8.13330000000
cook,13,2028,R1,2026,gas_stove,2.13330000000
cook,13,2031,R1,2026,gas_stove,2.13330000000
cook,17,2026,R2,2020,gas_stove,13.66670000000
cook,17,2028,R2,2020,gas_stove,8.66670000000
cook,17,2031,R2,2020,gas_stove,8.66670000000
cook,21,2026,R2,2022,gas_stove,5.06670000000
cook,21,2028,R2,2022,gas_stove,5.06670000000
cook,21,2031,R2,2022,gas_stove,5.06670000000
cook,25,2026,R2,2024,gas_stove,7.06670000000
cook,25,2028,R2,2024,gas_stove,7.06670000000
cook,25,2031,R2,2024,gas_stove,7.06670000000
cook,29,2028,R2,2026,gas_stove,1.06670000000
cook,29,2031,R2,2026,gas_stove,1.06670000000
