commodity,asset,year,region,installed,technology,supply
heat,2,2022,R1,2020,gasboiler,16.00000000000
heat,2,2024,R1,2020,gasboiler,12.00000000000
heat,3,2022,R1,2020,heatpump,28.80000000000
heat,3,2024,R1,2020,heatpump,29.60000000000
heat,3,2027,R1,2020,heatpump,30.80000000000
heat,7,2024,R1,2022,heatpump,5.60000000000
heat,7,2027,R1,2022,heatpump,5.60000000000
heat,10,2022,R2,2020,gasboiler,16.00000000000
heat,10,2024,R2,2020,gasboiler,12.00000000000
heat,11,2022,R2,2020,heatpump,28.80000000000
heat,11,2024,R2,2020,heatpump,29.60000000000
heat,11,2027,R2,2020,heatpump,30.80000000000
heat,15,2024,R2,2022,heatpump,5.60000000000
heat,15,2027,R2,2022,heatpump,5.60000000000
CO2f,2,2022,R1,2020,gasboiler,1035.36000000000
CO2f,2,2024,R1,2020,gasboiler,776.52000000000
CO2f,10,2022,R2,2020,gasboiler,1035.36000000000
CO2f,10,2024,R2,2020,gasboiler,776.52000000000
cook,1,2022,R1,2020,gas_stove,16.63330000000
cook,1,2024,R1,2020,gas_stove,17.76670000000
cook,1,2027,R1,2020,gas_stove,19.33330000000
cook,5,2024,R1,2022,gas_stove,6.13330000000
cook,5,2027,R1,2022,gas_stove,6.13330000000
cook,9,2022,R2,2020,gas_stove,13.53330000000
cook,9,2024,R2,2020,gas_stove,14.06670000000
cook,9,2027,R2,2020,gas_stove,8.66670000000
cook,13,2024,R2,2022,gas_stove,5.06670000000
cook,13,2027,R2,2022,gas_stove,5.06670000000
