commodity,asset,year,region,installed,technology,supply
heat,11,2034,R1,2024,heatpump,9.20000000000
heat,15,2034,R1,2026,heatpump,3.20000000000
heat,15,2036,R1,2026,heatpump,3.20000000000
heat,19,2034,R1,2028,heatpump,25.20000000000
heat,19,2036,R1,2028,heatpump,25.20000000000
heat,19,2039,R1,2028,heatpump,25.20000000000
heat,23,2034,R1,2030,heatpump,10.40000000000
heat,23,2036,R1,2030,heatpump,10.40000000000
heat,23,2039,R1,2030,heatpump,10.40000000000
heat,27,2034,R1,2032,heatpump,12.40000000000
heat,27,2036,R1,2032,heatpump,12.40000000000
heat,27,2039,R1,2032,heatpump,12.40000000000
heat,31,2036,R1,2034,heatpump,6.40000000000
heat,31,2039,R1,2034,heatpump,6.40000000000
heat,43,2034,R2,2024,heatpump,9.20000000000
heat,47,2034,R2,2026,heatpump,3.20000000000
heat,47,2036,R2,2026,heatpump,3.20000000000
heat,51,2034,R2,2028,heatpump,25.20000000000
heat,51,2036,R2,2028,heatpump,25.20000000000
heat,51,2039,R2,2028,heatpump,25.20000000000
heat,55,2034,R2,2030,heatpump,10.40000000000
heat,55,2036,R2,2030,heatpump,10.40000000000
heat,55,2039,R2,2030,heatpump,10.40000000000
heat,59,2034,R2,2032,heatpump,12.40000000000
heat,59,2036,R2,2032,heatpump,12.40000000000
heat,59,2039,R2,2032,heatpump,12.40000000000
heat,63,2036,R2,2034,heatpump,6.40000000000
heat,63,2039,R2,2034,heatpump,6.40000000000
cook,9,2034,R1,2024,gas_stove,8.13330000000
cook,13,2034,R1,2026,gas_stove,2.13330000000
cook,13,2036,R1,2026,gas_stove,2.13330000000
cook,17,2034,R1,2028,gas_stove,21.46670000000
cook,17,2036,R1,2028,gas_stove,21.46670000000
cook,17,2039,R1,2028,gas_stove,21.46670000000
cook,21,2034,R1,2030,gas_stove,8.26670000000
cook,21,2036,R1,2030,gas_stove,8.26670000000
cook,21,2039,R1,2030,gas_stove,8.26670000000
cook,25,2034,R1,2032,gas_stove,10.26670000000
cook,25,2036,R1,2032,gas_stove,10.26670000000
cook,25,2039,R1,2032,gas_stove,10.26670000000
cook,29,2036,R1,2034,gas_stove,4.26670000000
cook,29,2039,R1,2034,gas_stove,4.26670000000
cook,41,2034,R2,2024,gas_stove,7.06670000000
cook,45,2034,R2,2026,gas_stove,1.06670000000
cook,45,2036,R2,2026,gas_stove,1.06670000000
cook,49,2034,R2,2028,gas_stove,9.73330000000
cook,49,2036,R2,2028,gas_stove,9.73330000000
cook,49,2039,R2,2028,gas_stove,9.73330000000
cook,53,2034,R2,2030,gas_stove,6.13330000000
cook,53,2036,R2,2030,gas_stove,6.13330000000
cook,53,2039,R2,2030,gas_stove,6.13330000000
cook,57,2034,R2,2032,gas_stove,8.13330000000
cook,57,2036,R2,2032,gas_stove,8.13330000000
cook,57,2039,R2,2032,gas_stove,8.13330000000
cook,61,2036,R2,2034,gas_stove,2.13330000000
cook,61,2039,R2,2034,gas_stove,2.13330000000
