,asset,year,region,technology,installed,capacity
0,0,2025,R1,gasboiler,2020,7.00000000000
11,1,2030,R1,gasboiler,2025,2.59650000000
12,1,2034,R1,gasboiler,2025,2.59650000000
13,1,2035,R1,gasboiler,2025,2.59650000000
14,1,2039,R1,gasboiler,2025,2.59650000000
20,2,2025,R1,heatpump,2020,4.40350000000
21,2,2030,R1,heatpump,2020,4.40350000000
22,2,2034,R1,heatpump,2020,4.40350000000
31,3,2030,R1,heatpump,2025,5.28070000000
32,3,2034,R1,heatpump,2025,5.28070000000
33,3,2035,R1,heatpump,2025,5.28070000000
34,3,2039,R1,heatpump,2025,5.28070000000
