,asset,year,technology,region,installed,capacity
0,0,2040,gasboiler,R1,2030,600.00000000000
1,0,2044,gasboiler,R1,2030,600.00000000000
8,1,2045,gasboiler,R1,2040,600.00000000000
9,1,2050,gasboiler,R1,2040,600.00000000000
10,1,2054,gasboiler,R1,2040,600.00000000000
12,2,2040,gasboiler,R2,2030,600.00000000000
13,2,2044,gasboiler,R2,2030,600.00000000000
20,3,2045,gasboiler,R2,2040,600.00000000000
21,3,2050,gasboiler,R2,2040,600.00000000000
22,3,2054,gasboiler,R2,2040,600.00000000000
24,4,2040,heatpump,R1,2030,600.00000000000
25,4,2044,heatpump,R1,2030,600.00000000000
32,5,2045,heatpump,R1,2040,600.00000000000
33,5,2050,heatpump,R1,2040,600.00000000000
34,5,2054,heatpump,R1,2040,600.00000000000
36,6,2040,heatpump,R2,2030,600.00000000000
37,6,2044,heatpump,R2,2030,600.00000000000
44,7,2045,heatpump,R2,2040,600.00000000000
45,7,2050,heatpump,R2,2040,600.00000000000
46,7,2054,heatpump,R2,2040,600.00000000000
