,asset,year,region,installed,technology,capacity
19,2,2050,R1,2040,gasboiler,600.00000000000
20,2,2054,R1,2040,gasboiler,600.00000000000
27,3,2050,R1,2040,heatpump,600.00000000000
28,3,2054,R1,2040,heatpump,600.00000000000
37,4,2055,R1,2050,gasboiler,300.00000000000
38,4,2064,R1,2050,gasboiler,300.00000000000
45,5,2055,R1,2050,heatpump,300.00000000000
46,5,2064,R1,2050,heatpump,300.00000000000
67,8,2050,R2,2040,gasboiler,600.00000000000
68,8,2054,R2,2040,gasboiler,600.00000000000
75,9,2050,R2,2040,heatpump,600.00000000000
76,9,2054,R2,2040,heatpump,600.00000000000
85,10,2055,R2,2050,gasboiler,300.00000000000
86,10,2064,R2,2050,gasboiler,300.00000000000
93,11,2055,R2,2050,heatpump,300.00000000000
94,11,2064,R2,2050,heatpump,300.00000000000
