,asset,year,region,installed,technology,capacity
16,2,2035,R1,2030,gasboiler,600.00000000000
17,2,2040,R1,2030,gasboiler,600.00000000000
18,2,2044,R1,2030,gasboiler,600.00000000000
23,3,2035,R1,2030,heatpump,600.00000000000
24,3,2040,R1,2030,heatpump,600.00000000000
25,3,2044,R1,2030,heatpump,600.00000000000
44,6,2035,R2,2030,gasboiler,600.00000000000
45,6,2040,R2,2030,gasboiler,600.00000000000
46,6,2044,R2,2030,gasboiler,600.00000000000
51,7,2035,R2,2030,heatpump,600.00000000000
52,7,2040,R2,2030,heatpump,600.00000000000
53,7,2044,R2,2030,heatpump,600.00000000000
