,asset,year,region,installed,technology,capacity
1,0,2025,R1,2020,gasboiler,600.00000000000
2,0,2030,R1,2020,gasboiler,590.00000000000
3,0,2034,R1,2020,gasboiler,590.00000000000
9,1,2025,R1,2020,heatpump,600.00000000000
10,1,2030,R1,2020,heatpump,600.00000000000
11,1,2034,R1,2020,heatpump,600.00000000000
17,2,2025,R2,2020,gasboiler,600.00000000000
18,2,2030,R2,2020,gasboiler,590.00000000000
19,2,2034,R2,2020,gasboiler,590.00000000000
25,3,2025,R2,2020,heatpump,600.00000000000
26,3,2030,R2,2020,heatpump,600.00000000000
27,3,2034,R2,2020,heatpump,600.00000000000
