,asset,year,technology,region,installed,capacity
0,0,2030,gasboiler,R1,2020,590.00000000000
1,0,2034,gasboiler,R1,2020,590.00000000000
9,1,2035,gasboiler,R1,2030,600.00000000000
10,1,2040,gasboiler,R1,2030,600.00000000000
11,1,2044,gasboiler,R1,2030,600.00000000000
14,2,2030,gasboiler,R2,2020,590.00000000000
15,2,2034,gasboiler,R2,2020,590.00000000000
23,3,2035,gasboiler,R2,2030,600.00000000000
24,3,2040,gasboiler,R2,2030,600.00000000000
25,3,2044,gasboiler,R2,2030,600.00000000000
28,4,2030,heatpump,R1,2020,600.00000000000
29,4,2034,heatpump,R1,2020,600.00000000000
37,5,2035,heatpump,R1,2030,600.00000000000
38,5,2040,heatpump,R1,2030,600.00000000000
39,5,2044,heatpump,R1,2030,600.00000000000
42,6,2030,heatpump,R2,2020,600.00000000000
43,6,2034,heatpump,R2,2020,600.00000000000
51,7,2035,heatpump,R2,2030,600.00000000000
52,7,2040,heatpump,R2,2030,600.00000000000
53,7,2044,heatpump,R2,2030,600.00000000000
