,timeslice,region,installed,technology,year,agent,category,sector,fuel_consumption_costs
0,"('all-year', 'all-week', 'night')",R1,2020,heatpump,2020,A1,newcapa,residential,0.00000000000
1,"('all-year', 'all-week', 'night')",R1,2020,heatpump,2020,A1,newcapa,residential,0.00000000000
2,"('all-year', 'all-week', 'morning')",R1,2020,heatpump,2020,A1,newcapa,residential,0.00000000000
3,"('all-year', 'all-week', 'morning')",R1,2020,heatpump,2020,A1,newcapa,residential,0.00000000000
4,"('all-year', 'all-week', 'afternoon')",R1,2020,heatpump,2020,A1,newcapa,residential,0.00000000000
5,"('all-year', 'all-week', 'afternoon')",R1,2020,heatpump,2020,A1,newcapa,residential,0.00000000000
6,"('all-year', 'all-week', 'early-peak')",R1,2020,heatpump,2020,A1,newcapa,residential,0.00000000000
7,"('all-year', 'all-week', 'early-peak')",R1,2020,heatpump,2020,A1,newcapa,residential,0.00000000000
8,"('all-year', 'all-week', 'late-peak')",R1,2020,heatpump,2020,A1,newcapa,residential,0.00000000000
9,"('all-year', 'all-week', 'late-peak')",R1,2020,heatpump,2020,A1,newcapa,residential,0.00000000000
10,"('all-year', 'all-week', 'evening')",R1,2020,heatpump,2020,A1,newcapa,residential,0.00000000000
11,"('all-year', 'all-week', 'evening')",R1,2020,heatpump,2020,A1,newcapa,residential,0.00000000000
12,"('all-year', 'all-week', 'night')",R1,2020,gasboiler,2020,A1,retrofit,residential,0.00000000000
13,"('all-year', 'all-week', 'night')",R1,2020,gasboiler,2020,A1,retrofit,residential,2.69085949731
14,"('all-year', 'all-week', 'night')",R1,2020,heatpump,2020,A1,retrofit,residential,0.00000000000
15,"('all-year', 'all-week', 'night')",R1,2020,heatpump,2020,A1,retrofit,residential,0.00000000000
16,"('all-year', 'all-week', 'morning')",R1,2020,gasboiler,2020,A1,retrofit,residential,0.00000000000
17,"('all-year', 'all-week', 'morning')",R1,2020,gasboiler,2020,A1,retrofit,residential,4.03628924597
18,"('all-year', 'all-week', 'morning')",R1,2020,heatpump,2020,A1,retrofit,residential,0.00000000000
19,"('all-year', 'all-week', 'morning')",R1,2020,heatpump,2020,A1,retrofit,residential,0.00000000000
20,"('all-year', 'all-week', 'afternoon')",R1,2020,gasboiler,2020,A1,retrofit,residential,0.00000000000
21,"('all-year', 'all-week', 'afternoon')",R1,2020,gasboiler,2020,A1,retrofit,residential,2.69085949731
22,"('all-year', 'all-week', 'afternoon')",R1,2020,heatpump,2020,A1,retrofit,residential,0.00000000000
23,"('all-year', 'all-week', 'afternoon')",R1,2020,heatpump,2020,A1,retrofit,residential,0.00000000000
24,"('all-year', 'all-week', 'early-peak')",R1,2020,gasboiler,2020,A1,retrofit,residential,0.00000000000
25,"('all-year', 'all-week', 'early-peak')",R1,2020,gasboiler,2020,A1,retrofit,residential,4.03628924597
26,"('all-year', 'all-week', 'early-peak')",R1,2020,heatpump,2020,A1,retrofit,residential,0.00000000000
27,"('all-year', 'all-week', 'early-peak')",R1,2020,heatpump,2020,A1,retrofit,residential,0.00000000000
28,"('all-year', 'all-week', 'late-peak')",R1,2020,gasboiler,2020,A1,retrofit,residential,0.00000000000
29,"('all-year', 'all-week', 'late-peak')",R1,2020,gasboiler,2020,A1,retrofit,residential,8.07257849194
30,"('all-year', 'all-week', 'late-peak')",R1,2020,heatpump,2020,A1,retrofit,residential,0.00000000000
31,"('all-year', 'all-week', 'late-peak')",R1,2020,heatpump,2020,A1,retrofit,residential,0.00000000000
32,"('all-year', 'all-week', 'evening')",R1,2020,gasboiler,2020,A1,retrofit,residential,0.00000000000
33,"('all-year', 'all-week', 'evening')",R1,2020,gasboiler,2020,A1,retrofit,residential,5.38171899462
34,"('all-year', 'all-week', 'evening')",R1,2020,heatpump,2020,A1,retrofit,residential,0.00000000000
35,"('all-year', 'all-week', 'evening')",R1,2020,heatpump,2020,A1,retrofit,residential,0.00000000000
36,"('all-year', 'all-week', 'night')",R1,2020,heatpump,2020,A2,newcapa,residential,0.00000000000
37,"('all-year', 'all-week', 'night')",R1,2020,heatpump,2020,A2,newcapa,residential,0.00000000000
38,"('all-year', 'all-week', 'morning')",R1,2020,heatpump,2020,A2,newcapa,residential,0.00000000000
39,"('all-year', 'all-week', 'morning')",R1,2020,heatpump,2020,A2,newcapa,residential,0.00000000000
40,"('all-year', 'all-week', 'afternoon')",R1,2020,heatpump,2020,A2,newcapa,residential,0.00000000000
41,"('all-year', 'all-week', 'afternoon')",R1,2020,heatpump,2020,A2,newcapa,residential,0.00000000000
42,"('all-year', 'all-week', 'early-peak')",R1,2020,heatpump,2020,A2,newcapa,residential,0.00000000000
43,"('all-year', 'all-week', 'early-peak')",R1,2020,heatpump,2020,A2,newcapa,residential,0.00000000000
44,"('all-year', 'all-week', 'late-peak')",R1,2020,heatpump,2020,A2,newcapa,residential,0.00000000000
45,"('all-year', 'all-week', 'late-peak')",R1,2020,heatpump,2020,A2,newcapa,residential,0.00000000000
46,"('all-year', 'all-week', 'evening')",R1,2020,heatpump,2020,A2,newcapa,residential,0.00000000000
