,timeslice,region,technology,year,agent,category,sector,EAC
0,"('all-year', 'all-week', 'night')",R1,gasboiler,2020,A1,retrofit,residential,10.12882871328
1,"('all-year', 'all-week', 'night')",R1,heatpump,2020,A1,retrofit,residential,11.42455425981
2,"('all-year', 'all-week', 'morning')",R1,gasboiler,2020,A1,retrofit,residential,15.70351616341
3,"('all-year', 'all-week', 'morning')",R1,heatpump,2020,A1,retrofit,residential,16.69799241396
4,"('all-year', 'all-week', 'afternoon')",R1,gasboiler,2020,A1,retrofit,residential,10.12882871328
5,"('all-year', 'all-week', 'afternoon')",R1,heatpump,2020,A1,retrofit,residential,11.42455425981
6,"('all-year', 'all-week', 'early-peak')",R1,gasboiler,2020,A1,retrofit,residential,15.70351616341
7,"('all-year', 'all-week', 'early-peak')",R1,heatpump,2020,A1,retrofit,residential,16.69799241396
8,"('all-year', 'all-week', 'late-peak')",R1,gasboiler,2020,A1,retrofit,residential,39.61412145201
9,"('all-year', 'all-week', 'late-peak')",R1,heatpump,2020,A1,retrofit,residential,30.78547458112
10,"('all-year', 'all-week', 'evening')",R1,gasboiler,2020,A1,retrofit,residential,22.19010240523
11,"('all-year', 'all-week', 'evening')",R1,heatpump,2020,A1,retrofit,residential,21.68137387403
12,"('all-year', 'all-week', 'night')",R1,gasboiler,2020,A2,retrofit,residential,4.34092659141
13,"('all-year', 'all-week', 'night')",R1,heatpump,2020,A2,retrofit,residential,4.89623753992
14,"('all-year', 'all-week', 'morning')",R1,gasboiler,2020,A2,retrofit,residential,6.73007835575
15,"('all-year', 'all-week', 'morning')",R1,heatpump,2020,A2,retrofit,residential,7.15628246313
16,"('all-year', 'all-week', 'afternoon')",R1,gasboiler,2020,A2,retrofit,residential,4.34092659141
17,"('all-year', 'all-week', 'afternoon')",R1,heatpump,2020,A2,retrofit,residential,4.89623753992
18,"('all-year', 'all-week', 'early-peak')",R1,gasboiler,2020,A2,retrofit,residential,6.73007835575
19,"('all-year', 'all-week', 'early-peak')",R1,heatpump,2020,A2,retrofit,residential,7.15628246313
