,asset,year,region,installed,technology,capacity
1,0,2035,R1,2020,gassupply1,104.05330000000
2,0,2040,R1,2020,gassupply1,104.05330000000
3,0,2045,R1,2020,gassupply1,104.05330000000
4,0,2050,R1,2020,gassupply1,104.05330000000
5,0,2059,R1,2020,gassupply1,104.05330000000
10,1,2035,R1,2030,gassupply1,48.40530000000
11,1,2040,R1,2030,gassupply1,48.40530000000
12,1,2045,R1,2030,gassupply1,48.40530000000
13,1,2050,R1,2030,gassupply1,48.40530000000
14,1,2059,R1,2030,gassupply1,48.40530000000
15,1,2060,R1,2030,gassupply1,48.40530000000
16,1,2069,R1,2030,gassupply1,48.40530000000
19,2,2035,R2,2020,gassupply1,104.05330000000
20,2,2040,R2,2020,gassupply1,104.05330000000
21,2,2045,R2,2020,gassupply1,104.05330000000
22,2,2050,R2,2020,gassupply1,104.05330000000
23,2,2059,R2,2020,gassupply1,104.05330000000
28,3,2035,R2,2030,gassupply1,48.40530000000
29,3,2040,R2,2030,gassupply1,48.40530000000
30,3,2045,R2,2030,gassupply1,48.40530000000
31,3,2050,R2,2030,gassupply1,48.40530000000
32,3,2059,R2,2030,gassupply1,48.40530000000
33,3,2060,R2,2030,gassupply1,48.40530000000
34,3,2069,R2,2030,gassupply1,48.40530000000
