,asset,year,technology,region,installed,capacity
0,0,2030,gassupply1,R1,2020,119.05330000000
1,0,2035,gassupply1,R1,2020,104.05330000000
2,0,2040,gassupply1,R1,2020,104.05330000000
3,0,2045,gassupply1,R1,2020,104.05330000000
4,0,2050,gassupply1,R1,2020,104.05330000000
5,0,2059,gassupply1,R1,2020,104.05330000000
10,1,2035,gassupply1,R1,2030,48.40530000000
11,1,2040,gassupply1,R1,2030,48.40530000000
12,1,2045,gassupply1,R1,2030,48.40530000000
13,1,2050,gassupply1,R1,2030,48.40530000000
14,1,2059,gassupply1,R1,2030,48.40530000000
15,1,2060,gassupply1,R1,2030,48.40530000000
16,1,2069,gassupply1,R1,2030,48.40530000000
18,2,2030,gassupply1,R2,2020,119.05330000000
19,2,2035,gassupply1,R2,2020,104.05330000000
20,2,2040,gassupply1,R2,2020,104.05330000000
21,2,2045,gassupply1,R2,2020,104.05330000000
22,2,2050,gassupply1,R2,2020,104.05330000000
23,2,2059,gassupply1,R2,2020,104.05330000000
28,3,2035,gassupply1,R2,2030,48.40530000000
29,3,2040,gassupply1,R2,2030,48.40530000000
30,3,2045,gassupply1,R2,2030,48.40530000000
31,3,2050,gassupply1,R2,2030,48.40530000000
32,3,2059,gassupply1,R2,2030,48.40530000000
33,3,2060,gassupply1,R2,2030,48.40530000000
34,3,2069,gassupply1,R2,2030,48.40530000000
