,asset,year,technology,region,installed,capacity
0,0,2020,gassupply1,R1,2020,30.00000000000
1,0,2025,gassupply1,R1,2020,134.05330000000
2,0,2030,gassupply1,R1,2020,119.05330000000
3,0,2035,gassupply1,R1,2020,104.05330000000
4,0,2040,gassupply1,R1,2020,104.05330000000
5,0,2045,gassupply1,R1,2020,104.05330000000
6,0,2050,gassupply1,R1,2020,104.05330000000
7,0,2059,gassupply1,R1,2020,104.05330000000
9,1,2020,gassupply1,R2,2020,30.00000000000
10,1,2025,gassupply1,R2,2020,134.05330000000
11,1,2030,gassupply1,R2,2020,119.05330000000
12,1,2035,gassupply1,R2,2020,104.05330000000
13,1,2040,gassupply1,R2,2020,104.05330000000
14,1,2045,gassupply1,R2,2020,104.05330000000
15,1,2050,gassupply1,R2,2020,104.05330000000
16,1,2059,gassupply1,R2,2020,104.05330000000
