timeslice,commodity,region,supply,units_prices,year
"('winter', 'all-week', 'all-day')",ammonia,R1,14.58600000000,MUS$2010/Mt,2010
"('winter', 'all-week', 'all-day')",CO2f,R1,53092.27940000000,MUS$2010/kt,2010
"('summer', 'all-week', 'all-day')",ammonia,R1,15.02800000000,MUS$2010/Mt,2010
"('summer', 'all-week', 'all-day')",CO2f,R1,54701.13630000000,MUS$2010/kt,2010
"('spring-autumn', 'all-week', 'all-day')",ammonia,R1,14.58600000000,MUS$2010/Mt,2010
"('spring-autumn', 'all-week', 'all-day')",CO2f,R1,53092.27940000000,MUS$2010/kt,2010
"('winter', 'all-week', 'all-day')",ammonia,R1,14.92000000000,MUS$2010/Mt,2015
"('winter', 'all-week', 'all-day')",CO2f,R1,55113.51750000000,MUS$2010/kt,2015
"('summer', 'all-week', 'all-day')",ammonia,R1,15.37220000000,MUS$2010/Mt,2015
"('summer', 'all-week', 'all-day')",CO2f,R1,56783.62400000000,MUS$2010/kt,2015
"('spring-autumn', 'all-week', 'all-day')",ammonia,R1,14.92000000000,MUS$2010/Mt,2015
"('spring-autumn', 'all-week', 'all-day')",CO2f,R1,55113.51750000000,MUS$2010/kt,2015
"('winter', 'all-week', 'all-day')",ammonia,R1,14.92000000000,MUS$2010/Mt,2020
"('winter', 'all-week', 'all-day')",CO2f,R1,56295.53450000000,MUS$2010/kt,2020
"('summer', 'all-week', 'all-day')",ammonia,R1,15.37220000000,MUS$2010/Mt,2020
"('summer', 'all-week', 'all-day')",CO2f,R1,58001.45970000000,MUS$2010/kt,2020
"('spring-autumn', 'all-week', 'all-day')",ammonia,R1,14.92000000000,MUS$2010/Mt,2020
"('spring-autumn', 'all-week', 'all-day')",CO2f,R1,56295.53450000000,MUS$2010/kt,2020
"('winter', 'all-week', 'all-day')",ammonia,R1,14.93090000000,MUS$2010/Mt,2025
"('winter', 'all-week', 'all-day')",CO2f,R1,57445.60090000000,MUS$2010/kt,2025
"('summer', 'all-week', 'all-day')",ammonia,R1,15.38340000000,MUS$2010/Mt,2025
"('summer', 'all-week', 'all-day')",CO2f,R1,59186.37670000000,MUS$2010/kt,2025
"('spring-autumn', 'all-week', 'all-day')",ammonia,R1,14.93090000000,MUS$2010/Mt,2025
"('spring-autumn', 'all-week', 'all-day')",CO2f,R1,57445.60090000000,MUS$2010/kt,2025
"('winter', 'all-week', 'all-day')",ammonia,R1,14.94180000000,MUS$2010/Mt,2030
"('winter', 'all-week', 'all-day')",CO2f,R1,58518.66680000000,MUS$2010/kt,2030
"('summer', 'all-week', 'all-day')",ammonia,R1,15.39460000000,MUS$2010/Mt,2030
"('summer', 'all-week', 'all-day')",CO2f,R1,60291.95970000000,MUS$2010/kt,2030
"('spring-autumn', 'all-week', 'all-day')",ammonia,R1,14.94180000000,MUS$2010/Mt,2030
"('spring-autumn', 'all-week', 'all-day')",CO2f,R1,58518.66680000000,MUS$2010/kt,2030
"('winter', 'all-week', 'all-day')",ammonia,R1,14.72400000000,MUS$2010/Mt,2035
"('winter', 'all-week', 'all-day')",CO2f,R1,58985.15190000000,MUS$2010/kt,2035
"('summer', 'all-week', 'all-day')",ammonia,R1,15.17020000000,MUS$2010/Mt,2035
"('summer', 'all-week', 'all-day')",CO2f,R1,60772.58080000000,MUS$2010/kt,2035
"('spring-autumn', 'all-week', 'all-day')",ammonia,R1,14.72400000000,MUS$2010/Mt,2035
"('spring-autumn', 'all-week', 'all-day')",CO2f,R1,58985.15190000000,MUS$2010/kt,2035
"('winter', 'all-week', 'all-day')",ammonia,R1,14.50610000000,MUS$2010/Mt,2040
"('winter', 'all-week', 'all-day')",CO2f,R1,58680.98930000000,MUS$2010/kt,2040
"('summer', 'all-week', 'all-day')",ammonia,R1,14.94570000000,MUS$2010/Mt,2040
"('summer', 'all-week', 'all-day')",CO2f,R1,60459.20110000000,MUS$2010/kt,2040
"('spring-autumn', 'all-week', 'all-day')",ammonia,R1,14.50610000000,MUS$2010/Mt,2040
"('spring-autumn', 'all-week', 'all-day')",CO2f,R1,58680.98930000000,MUS$2010/kt,2040
"('winter', 'all-week', 'all-day')",ammonia,R1,14.09730000000,MUS$2010/Mt,2045
"('winter', 'all-week', 'all-day')",CO2f,R1,56747.97610000000,MUS$2010/kt,2045
"('summer', 'all-week', 'all-day')",ammonia,R1,14.52450000000,MUS$2010/Mt,2045
"('summer', 'all-week', 'all-day')",CO2f,R1,58467.61180000000,MUS$2010/kt,2045
"('spring-autumn', 'all-week', 'all-day')",ammonia,R1,14.09730000000,MUS$2010/Mt,2045
"('spring-autumn', 'all-week', 'all-day')",CO2f,R1,56747.97610000000,MUS$2010/kt,2045
"('winter', 'all-week', 'all-day')",ammonia,R1,13.68850000000,MUS$2010/Mt,2050
"('winter', 'all-week', 'all-day')",CO2f,R1,54828.11030000000,MUS$2010/kt,2050
"('summer', 'all-week', 'all-day')",ammonia,R1,14.10330000000,MUS$2010/Mt,2050
"('summer', 'all-week', 'all-day')",CO2f,R1,56489.56820000000,MUS$2010/kt,2050
"('spring-autumn', 'all-week', 'all-day')",ammonia,R1,13.68850000000,MUS$2010/Mt,2050
"('spring-autumn', 'all-week', 'all-day')",CO2f,R1,54828.11030000000,MUS$2010/kt,2050
