commodity,asset,year,region,technology,installed,supply
heat,15,2028,R1,heatpump,2020,20.93330000000
heat,15,2030,R1,heatpump,2020,22.00000000000
heat,16,2028,R1,heatpump,2022,7.20000000000
heat,16,2030,R1,heatpump,2022,7.20000000000
heat,16,2033,R1,heatpump,2022,7.20000000000
heat,17,2028,R1,heatpump,2024,9.20000000000
heat,17,2030,R1,heatpump,2024,9.20000000000
heat,17,2033,R1,heatpump,2024,9.20000000000
heat,18,2028,R1,heatpump,2026,3.20000000000
heat,18,2030,R1,heatpump,2026,3.20000000000
heat,18,2033,R1,heatpump,2026,3.20000000000
heat,19,2030,R1,heatpump,2028,22.66670000000
heat,19,2033,R1,heatpump,2028,22.00000000000
heat,35,2028,R2,heatpump,2020,20.93330000000
heat,35,2030,R2,heatpump,2020,22.00000000000
heat,36,2028,R2,heatpump,2022,7.20000000000
heat,36,2030,R2,heatpump,2022,7.20000000000
heat,36,2033,R2,heatpump,2022,7.20000000000
heat,37,2028,R2,heatpump,2024,9.20000000000
heat,37,2030,R2,heatpump,2024,9.20000000000
heat,37,2033,R2,heatpump,2024,9.20000000000
heat,38,2028,R2,heatpump,2026,3.20000000000
heat,38,2030,R2,heatpump,2026,3.20000000000
heat,38,2033,R2,heatpump,2026,3.20000000000
heat,39,2030,R2,heatpump,2028,22.66670000000
heat,39,2033,R2,heatpump,2028,22.00000000000
cook,5,2028,R1,gas_stove,2020,19.33330000000
cook,5,2030,R1,gas_stove,2020,19.33330000000
cook,6,2028,R1,gas_stove,2022,6.13330000000
cook,6,2030,R1,gas_stove,2022,6.13330000000
cook,6,2033,R1,gas_stove,2022,6.13330000000
cook,7,2028,R1,gas_stove,2024,8.13330000000
cook,7,2030,R1,gas_stove,2024,8.13330000000
cook,7,2033,R1,gas_stove,2024,8.13330000000
cook,8,2028,R1,gas_stove,2026,2.13330000000
cook,8,2030,R1,gas_stove,2026,2.13330000000
cook,8,2033,R1,gas_stove,2026,2.13330000000
cook,9,2030,R1,gas_stove,2028,21.16670000000
cook,9,2033,R1,gas_stove,2028,19.33330000000
cook,25,2028,R2,gas_stove,2020,8.66670000000
cook,25,2030,R2,gas_stove,2020,8.66670000000
cook,26,2028,R2,gas_stove,2022,5.06670000000
cook,26,2030,R2,gas_stove,2022,5.06670000000
cook,26,2033,R2,gas_stove,2022,5.06670000000
cook,27,2028,R2,gas_stove,2024,7.06670000000
cook,27,2030,R2,gas_stove,2024,7.06670000000
cook,27,2033,R2,gas_stove,2024,7.06670000000
cook,28,2028,R2,gas_stove,2026,1.06670000000
cook,28,2030,R2,gas_stove,2026,1.06670000000
cook,28,2033,R2,gas_stove,2026,1.06670000000
cook,29,2030,R2,gas_stove,2028,9.73330000000
cook,29,2033,R2,gas_stove,2028,8.66670000000
