timeslice,commodity,region,year,asset,technology,installed,month,day,hour,supply
1,cook,R1,2025,2,electric_stove,2020,all-year,all-week,morning,0.51790000000
1,cook,R1,2025,4,gas_stove,2020,all-year,all-week,morning,0.14880000000
1,cook,R1,2025,6,gas_stove,2020,all-year,all-week,morning,0.14880000000
1,cook,R1,2030,0,electric_stove,2020,all-year,all-week,morning,0.51790000000
1,cook,R1,2030,1,electric_stove,2025,all-year,all-week,morning,0.25240000000
1,cook,R1,2030,2,electric_stove,2020,all-year,all-week,morning,0.51790000000
1,cook,R1,2030,3,electric_stove,2025,all-year,all-week,morning,0.25240000000
1,cook,R1,2030,5,gas_stove,2025,all-year,all-week,morning,0.06310000000
1,cook,R1,2030,7,gas_stove,2025,all-year,all-week,morning,0.06310000000
1,cook,R2,2025,0,electric_stove,2020,all-year,all-week,morning,0.51790000000
1,cook,R2,2025,2,electric_stove,2020,all-year,all-week,morning,0.51790000000
1,cook,R2,2025,4,gas_stove,2020,all-year,all-week,morning,0.14880000000
1,cook,R2,2025,6,gas_stove,2020,all-year,all-week,morning,0.14880000000
1,cook,R2,2030,0,electric_stove,2020,all-year,all-week,morning,0.51790000000
1,cook,R2,2030,1,electric_stove,2025,all-year,all-week,morning,0.25240000000
1,cook,R2,2030,2,electric_stove,2020,all-year,all-week,morning,0.51790000000
1,cook,R2,2030,3,electric_stove,2025,all-year,all-week,morning,0.25240000000
1,cook,R2,2030,5,gas_stove,2025,all-year,all-week,morning,0.06310000000
1,cook,R2,2030,7,gas_stove,2025,all-year,all-week,morning,0.06310000000
2,heat,R1,2025,8,gasboiler,2020,all-year,all-week,mid-afternoon,0.10420000000
2,heat,R1,2025,10,gasboiler,2020,all-year,all-week,mid-afternoon,0.10420000000
2,heat,R1,2025,12,heatpump,2020,all-year,all-week,mid-afternoon,0.36250000000
2,heat,R1,2025,14,heatpump,2020,all-year,all-week,mid-afternoon,0.36250000000
2,heat,R1,2030,9,gasboiler,2025,all-year,all-week,mid-afternoon,0.04420000000
2,heat,R1,2030,11,gasboiler,2025,all-year,all-week,mid-afternoon,0.04420000000
2,heat,R1,2030,12,heatpump,2020,all-year,all-week,mid-afternoon,0.36250000000
2,heat,R1,2030,13,heatpump,2025,all-year,all-week,mid-afternoon,0.17670000000
2,heat,R1,2030,14,heatpump,2020,all-year,all-week,mid-afternoon,0.36250000000
2,heat,R1,2030,15,heatpump,2025,all-year,all-week,mid-afternoon,0.17670000000
2,heat,R2,2025,8,gasboiler,2020,all-year,all-week,mid-afternoon,0.10420000000
2,heat,R2,2025,10,gasboiler,2020,all-year,all-week,mid-afternoon,0.10420000000
2,heat,R2,2025,12,heatpump,2020,all-year,all-week,mid-afternoon,0.36250000000
2,heat,R2,2025,14,heatpump,2020,all-year,all-week,mid-afternoon,0.36250000000
2,heat,R2,2030,9,gasboiler,2025,all-year,all-week,mid-afternoon,0.04420000000
2,heat,R2,2030,11,gasboiler,2025,all-year,all-week,mid-afternoon,0.04420000000
2,heat,R2,2030,12,heatpump,2020,all-year,all-week,mid-afternoon,0.36250000000
2,heat,R2,2030,13,heatpump,2025,all-year,all-week,mid-afternoon,0.17670000000
2,heat,R2,2030,14,heatpump,2020,all-year,all-week,mid-afternoon,0.36250000000
2,heat,R2,2030,15,heatpump,2025,all-year,all-week,mid-afternoon,0.17670000000
2,CO2f,R1,2025,4,gas_stove,2020,all-year,all-week,mid-afternoon,5.20830000000
2,CO2f,R1,2025,6,gas_stove,2020,all-year,all-week,mid-afternoon,5.20830000000
2,CO2f,R1,2025,8,gasboiler,2020,all-year,all-week,mid-afternoon,6.74060000000
2,CO2f,R1,2025,10,gasboiler,2020,all-year,all-week,mid-afternoon,6.74060000000
2,CO2f,R1,2030,5,gas_stove,2025,all-year,all-week,mid-afternoon,2.20830000000
2,CO2f,R1,2030,7,gas_stove,2025,all-year,all-week,mid-afternoon,2.20830000000
2,CO2f,R1,2030,9,gasboiler,2025,all-year,all-week,mid-afternoon,2.85800000000
2,CO2f,R1,2030,11,gasboiler,2025,all-year,all-week,mid-afternoon,2.85800000000
2,CO2f,R2,2025,4,gas_stove,2020,all-year,all-week,mid-afternoon,5.20830000000
2,CO2f,R2,2025,6,gas_stove,2020,all-year,all-week,mid-afternoon,5.20830000000
2,CO2f,R2,2025,8,gasboiler,2020,all-year,all-week,mid-afternoon,6.74060000000
2,CO2f,R2,2025,10,gasboiler,2020,all-year,all-week,mid-afternoon,6.74060000000
2,CO2f,R2,2030,5,gas_stove,2025,all-year,all-week,mid-afternoon,2.20830000000
2,CO2f,R2,2030,7,gas_stove,2025,all-year,all-week,mid-afternoon,2.20830000000
2,CO2f,R2,2030,9,gasboiler,2025,all-year,all-week,mid-afternoon,2.85800000000
2,CO2f,R2,2030,11,gasboiler,2025,all-year,all-week,mid-afternoon,2.85800000000
2,cook,R1,2025,0,electric_stove,2020,all-year,all-week,mid-afternoon,0.36250000000
2,cook,R1,2025,2,electric_stove,2020,all-year,all-week,mid-afternoon,0.36250000000
2,cook,R1,2025,4,gas_stove,2020,all-year,all-week,mid-afternoon,0.10420000000
2,cook,R1,2025,6,gas_stove,2020,all-year,all-week,mid-afternoon,0.10420000000
2,cook,R1,2030,0,electric_stove,2020,all-year,all-week,mid-afternoon,0.36250000000
2,cook,R1,2030,1,electric_stove,2025,all-year,all-week,mid-afternoon,0.17670000000
2,cook,R1,2030,2,electric_stove,2020,all-year,all-week,mid-afternoon,0.36250000000
2,cook,R1,2030,3,electric_stove,2025,all-year,all-week,mid-afternoon,0.17670000000
2,cook,R1,2030,5,gas_stove,2025,all-year,all-week,mid-afternoon,0.04420000000
2,cook,R1,2030,7,gas_stove,2025,all-year,all-week,mid-afternoon,0.04420000000
2,cook,R2,2025,0,electric_stove,2020,all-year,all-week,mid-afternoon,0.36250000000
2,cook,R2,2025,2,electric_stove,2020,all-year,all-week,mid-afternoon,0.36250000000
2,cook,R2,2025,4,gas_stove,2020,all-year,all-week,mid-afternoon,0.10420000000
2,cook,R2,2025,6,gas_stove,2020,all-year,all-week,mid-afternoon,0.10420000000
2,cook,R2,2030,0,electric_stove,2020,all-year,all-week,mid-afternoon,0.36250000000
2,cook,R2,2030,1,electric_stove,2025,all-year,all-week,mid-afternoon,0.17670000000
2,cook,R2,2030,2,electric_stove,2020,all-year,all-week,mid-afternoon,0.36250000000
2,cook,R2,2030,3,electric_stove,2025,all-year,all-week,mid-afternoon,0.17670000000
2,cook,R2,2030,5,gas_stove,2025,all-year,all-week,mid-afternoon,0.04420000000
2,cook,R2,2030,7,gas_stove,2025,all-year,all-week,mid-afternoon,0.04420000000
3,heat,R1,2025,8,gasboiler,2020,all-year,all-week,early-peak,0.14880000000
3,heat,R1,2025,10,gasboiler,2020,all-year,all-week,early-peak,0.14880000000
3,heat,R1,2025,12,heatpump,2020,all-year,all-week,early-peak,0.51790000000
3,heat,R1,2025,14,heatpump,2020,all-year,all-week,early-peak,0.51790000000
3,heat,R1,2030,9,gasboiler,2025,all-year,all-week,early-peak,0.06310000000
3,heat,R1,2030,11,gasboiler,2025,all-year,all-week,early-peak,0.06310000000
3,heat,R1,2030,12,heatpump,2020,all-year,all-week,early-peak,0.51790000000
3,heat,R1,2030,13,heatpump,2025,all-year,all-week,early-peak,0.25240000000
3,heat,R1,2030,14,heatpump,2020,all-year,all-week,early-peak,0.51790000000
3,heat,R1,2030,15,heatpump,2025,all-year,all-week,early-peak,0.25240000000
3,heat,R2,2025,8,gasboiler,2020,all-year,all-week,early-peak,0.14880000000
3,heat,R2,2025,10,gasboiler,2020,all-year,all-week,early-peak,0.14880000000
3,heat,R2,2025,12,heatpump,2020,all-year,all-week,early-peak,0.51790000000
3,heat,R2,2025,14,heatpump,2020,all-year,all-week,early-peak,0.51790000000
3,heat,R2,2030,9,gasboiler,2025,all-year,all-week,early-peak,0.06310000000
3,heat,R2,2030,11,gasboiler,2025,all-year,all-week,early-peak,0.06310000000
3,heat,R2,2030,12,heatpump,2020,all-year,all-week,early-peak,0.51790000000
3,heat,R2,2030,13,heatpump,2025,all-year,all-week,early-peak,0.25240000000
3,heat,R2,2030,14,heatpump,2020,all-year,all-week,early-peak,0.51790000000
3,heat,R2,2030,15,heatpump,2025,all-year,all-week,early-peak,0.25240000000
3,CO2f,R1,2025,4,gas_stove,2020,all-year,all-week,early-peak,7.44050000000
3,CO2f,R1,2025,6,gas_stove,2020,all-year,all-week,early-peak,7.44050000000
3,CO2f,R1,2025,8,gasboiler,2020,all-year,all-week,early-peak,9.62950000000
3,CO2f,R1,2025,10,gasboiler,2020,all-year,all-week,early-peak,9.62950000000
3,CO2f,R1,2030,5,gas_stove,2025,all-year,all-week,early-peak,3.15480000000
3,CO2f,R1,2030,7,gas_stove,2025,all-year,all-week,early-peak,3.15480000000
3,CO2f,R1,2030,9,gasboiler,2025,all-year,all-week,early-peak,4.08290000000
3,CO2f,R1,2030,11,gasboiler,2025,all-year,all-week,early-peak,4.08290000000
3,CO2f,R2,2025,4,gas_stove,2020,all-year,all-week,early-peak,7.44050000000
3,CO2f,R2,2025,6,gas_stove,2020,all-year,all-week,early-peak,7.44050000000
3,CO2f,R2,2025,8,gasboiler,2020,all-year,all-week,early-peak,9.62950000000
3,CO2f,R2,2025,10,gasboiler,2020,all-year,all-week,early-peak,9.62950000000
3,CO2f,R2,2030,5,gas_stove,2025,all-year,all-week,early-peak,3.15480000000
3,CO2f,R2,2030,7,gas_stove,2025,all-year,all-week,early-peak,3.15480000000
3,CO2f,R2,2030,9,gasboiler,2025,all-year,all-week,early-peak,4.08290000000
3,CO2f,R2,2030,11,gasboiler,2025,all-year,all-week,early-peak,4.08290000000
3,cook,R1,2025,0,electric_stove,2020,all-year,all-week,early-peak,0.51790000000
3,cook,R1,2025,2,electric_stove,2020,all-year,all-week,early-peak,0.51790000000
3,cook,R1,2025,4,gas_stove,2020,all-year,all-week,early-peak,0.14880000000
3,cook,R1,2025,6,gas_stove,2020,all-year,all-week,early-peak,0.14880000000
3,cook,R1,2030,0,electric_stove,2020,all-year,all-week,early-peak,0.51790000000
3,cook,R1,2030,1,electric_stove,2025,all-year,all-week,early-peak,0.25240000000
3,cook,R1,2030,2,electric_stove,2020,all-year,all-week,early-peak,0.51790000000
3,cook,R1,2030,3,electric_stove,2025,all-year,all-week,early-peak,0.25240000000
3,cook,R1,2030,5,gas_stove,2025,all-year,all-week,early-peak,0.06310000000
3,cook,R1,2030,7,gas_stove,2025,all-year,all-week,early-peak,0.06310000000
3,cook,R2,2025,0,electric_stove,2020,all-year,all-week,early-peak,0.51790000000
3,cook,R2,2025,2,electric_stove,2020,all-year,all-week,early-peak,0.51790000000
3,cook,R2,2025,4,gas_stove,2020,all-year,all-week,early-peak,0.14880000000
3,cook,R2,2025,6,gas_stove,2020,all-year,all-week,early-peak,0.14880000000
3,cook,R2,2030,0,electric_stove,2020,all-year,all-week,early-peak,0.51790000000
3,cook,R2,2030,1,electric_stove,2025,all-year,all-week,early-peak,0.25240000000
3,cook,R2,2030,2,electric_stove,2020,all-year,all-week,early-peak,0.51790000000
3,cook,R2,2030,3,electric_stove,2025,all-year,all-week,early-peak,0.25240000000
3,cook,R2,2030,5,gas_stove,2025,all-year,all-week,early-peak,0.06310000000
3,cook,R2,2030,7,gas_stove,2025,all-year,all-week,early-peak,0.06310000000
4,heat,R1,2025,8,gasboiler,2020,all-year,all-week,late-peak,0.31250000000
4,heat,R1,2025,10,gasboiler,2020,all-year,all-week,late-peak,0.31250000000
4,heat,R1,2025,12,heatpump,2020,all-year,all-week,late-peak,1.08750000000
4,heat,R1,2025,14,heatpump,2020,all-year,all-week,late-peak,1.08750000000
4,heat,R1,2030,9,gasboiler,2025,all-year,all-week,late-peak,0.13250000000
4,heat,R1,2030,11,gasboiler,2025,all-year,all-week,late-peak,0.13250000000
4,heat,R1,2030,12,heatpump,2020,all-year,all-week,late-peak,1.08750000000
4,heat,R1,2030,13,heatpump,2025,all-year,all-week,late-peak,0.53000000000
4,heat,R1,2030,14,heatpump,2020,all-year,all-week,late-peak,1.08750000000
4,heat,R1,2030,15,heatpump,2025,all-year,all-week,late-peak,0.53000000000
4,heat,R2,2025,8,gasboiler,2020,all-year,all-week,late-peak,0.31250000000
4,heat,R2,2025,10,gasboiler,2020,all-year,all-week,late-peak,0.31250000000
4,heat,R2,2025,12,heatpump,2020,all-year,all-week,late-peak,1.08750000000
4,heat,R2,2025,14,heatpump,2020,all-year,all-week,late-peak,1.08750000000
4,heat,R2,2030,9,gasboiler,2025,all-year,all-week,late-peak,0.13250000000
4,heat,R2,2030,11,gasboiler,2025,all-year,all-week,late-peak,0.13250000000
4,heat,R2,2030,12,heatpump,2020,all-year,all-week,late-peak,1.08750000000
4,heat,R2,2030,13,heatpump,2025,all-year,all-week,late-peak,0.53000000000
4,heat,R2,2030,14,heatpump,2020,all-year,all-week,late-peak,1.08750000000
4,heat,R2,2030,15,heatpump,2025,all-year,all-week,late-peak,0.53000000000
4,CO2f,R1,2025,4,gas_stove,2020,all-year,all-week,late-peak,15.62500000000
4,CO2f,R1,2025,6,gas_stove,2020,all-year,all-week,late-peak,15.62500000000
4,CO2f,R1,2025,8,gasboiler,2020,all-year,all-week,late-peak,20.22190000000
4,CO2f,R1,2025,10,gasboiler,2020,all-year,all-week,late-peak,20.22190000000
4,CO2f,R1,2030,5,gas_stove,2025,all-year,all-week,late-peak,6.62500000000
4,CO2f,R1,2030,7,gas_stove,2025,all-year,all-week,late-peak,6.62500000000
4,CO2f,R1,2030,9,gasboiler,2025,all-year,all-week,late-peak,8.57410000000
4,CO2f,R1,2030,11,gasboiler,2025,all-year,all-week,late-peak,8.57410000000
4,CO2f,R2,2025,4,gas_stove,2020,all-year,all-week,late-peak,15.62500000000
4,CO2f,R2,2025,6,gas_stove,2020,all-year,all-week,late-peak,15.62500000000
4,CO2f,R2,2025,8,gasboiler,2020,all-year,all-week,late-peak,20.22190000000
4,CO2f,R2,2025,10,gasboiler,2020,all-year,all-week,late-peak,20.22190000000
4,CO2f,R2,2030,5,gas_stove,2025,all-year,all-week,late-peak,6.62500000000
4,CO2f,R2,2030,7,gas_stove,2025,all-year,all-week,late-peak,6.62500000000
4,CO2f,R2,2030,9,gasboiler,2025,all-year,all-week,late-peak,8.57410000000
4,CO2f,R2,2030,11,gasboiler,2025,all-year,all-week,late-peak,8.57410000000
4,cook,R1,2025,0,electric_stove,2020,all-year,all-week,late-peak,1.08750000000
4,cook,R1,2025,2,electric_stove,2020,all-year,all-week,late-peak,1.08750000000
4,cook,R1,2025,4,gas_stove,2020,all-year,all-week,late-peak,0.31250000000
4,cook,R1,2025,6,gas_stove,2020,all-year,all-week,late-peak,0.31250000000
4,cook,R1,2030,0,electric_stove,2020,all-year,all-week,late-peak,1.08750000000
4,cook,R1,2030,1,electric_stove,2025,all-year,all-week,late-peak,0.53000000000
4,cook,R1,2030,2,electric_stove,2020,all-year,all-week,late-peak,1.08750000000
4,cook,R1,2030,3,electric_stove,2025,all-year,all-week,late-peak,0.53000000000
4,cook,R1,2030,5,gas_stove,2025,all-year,all-week,late-peak,0.13250000000
4,cook,R1,2030,7,gas_stove,2025,all-year,all-week,late-peak,0.13250000000
4,cook,R2,2025,0,electric_stove,2020,all-year,all-week,late-peak,1.08750000000
4,cook,R2,2025,2,electric_stove,2020,all-year,all-week,late-peak,1.08750000000
4,cook,R2,2025,4,gas_stove,2020,all-year,all-week,late-peak,0.31250000000
4,cook,R2,2025,6,gas_stove,2020,all-year,all-week,late-peak,0.31250000000
4,cook,R2,2030,0,electric_stove,2020,all-year,all-week,late-peak,1.08750000000
4,cook,R2,2030,1,electric_stove,2025,all-year,all-week,late-peak,0.53000000000
4,cook,R2,2030,2,electric_stove,2020,all-year,all-week,late-peak,1.08750000000
4,cook,R2,2030,3,electric_stove,2025,all-year,all-week,late-peak,0.53000000000
4,cook,R2,2030,5,gas_stove,2025,all-year,all-week,late-peak,0.13250000000
4,cook,R2,2030,7,gas_stove,2025,all-year,all-week,late-peak,0.13250000000
5,heat,R1,2025,8,gasboiler,2020,all-year,all-week,evening,0.20830000000
5,heat,R1,2025,10,gasboiler,2020,all-year,all-week,evening,0.20830000000
5,heat,R1,2025,12,heatpump,2020,all-year,all-week,evening,0.72500000000
5,heat,R1,2025,14,heatpump,2020,all-year,all-week,evening,0.72500000000
5,heat,R1,2030,9,gasboiler,2025,all-year,all-week,evening,0.08830000000
5,heat,R1,2030,11,gasboiler,2025,all-year,all-week,evening,0.08830000000
5,heat,R1,2030,12,heatpump,2020,all-year,all-week,evening,0.72500000000
5,heat,R1,2030,13,heatpump,2025,all-year,all-week,evening,0.35330000000
5,heat,R1,2030,14,heatpump,2020,all-year,all-week,evening,0.72500000000
5,heat,R1,2030,15,heatpump,2025,all-year,all-week,evening,0.35330000000
5,heat,R2,2025,8,gasboiler,2020,all-year,all-week,evening,0.20830000000
5,heat,R2,2025,10,gasboiler,2020,all-year,all-week,evening,0.20830000000
5,heat,R2,2025,12,heatpump,2020,all-year,all-week,evening,0.72500000000
5,heat,R2,2025,14,heatpump,2020,all-year,all-week,evening,0.72500000000
5,heat,R2,2030,9,gasboiler,2025,all-year,all-week,evening,0.08830000000
5,heat,R2,2030,11,gasboiler,2025,all-year,all-week,evening,0.08830000000
5,heat,R2,2030,12,heatpump,2020,all-year,all-week,evening,0.72500000000
5,heat,R2,2030,13,heatpump,2025,all-year,all-week,evening,0.35330000000
5,heat,R2,2030,14,heatpump,2020,all-year,all-week,evening,0.72500000000
5,heat,R2,2030,15,heatpump,2025,all-year,all-week,evening,0.35330000000
5,CO2f,R1,2025,4,gas_stove,2020,all-year,all-week,evening,10.41670000000
5,CO2f,R1,2025,6,gas_stove,2020,all-year,all-week,evening,10.41670000000
5,CO2f,R1,2025,8,gasboiler,2020,all-year,all-week,evening,13.48120000000
5,CO2f,R1,2025,10,gasboiler,2020,all-year,all-week,evening,13.48120000000
5,CO2f,R1,2030,5,gas_stove,2025,all-year,all-week,evening,4.41670000000
5,CO2f,R1,2030,7,gas_stove,2025,all-year,all-week,evening,4.41670000000
5,CO2f,R1,2030,9,gasboiler,2025,all-year,all-week,evening,5.71610000000
5,CO2f,R1,2030,11,gasboiler,2025,all-year,all-week,evening,5.71610000000
5,CO2f,R2,2025,4,gas_stove,2020,all-year,all-week,evening,10.41670000000
5,CO2f,R2,2025,6,gas_stove,2020,all-year,all-week,evening,10.41670000000
5,CO2f,R2,2025,8,gasboiler,2020,all-year,all-week,evening,13.48120000000
5,CO2f,R2,2025,10,gasboiler,2020,all-year,all-week,evening,13.48120000000
5,CO2f,R2,2030,5,gas_stove,2025,all-year,all-week,evening,4.41670000000
5,CO2f,R2,2030,7,gas_stove,2025,all-year,all-week,evening,4.41670000000
5,CO2f,R2,2030,9,gasboiler,2025,all-year,all-week,evening,5.71610000000
5,CO2f,R2,2030,11,gasboiler,2025,all-year,all-week,evening,5.71610000000
5,cook,R1,2025,0,electric_stove,2020,all-year,all-week,evening,0.72500000000
5,cook,R1,2025,2,electric_stove,2020,all-year,all-week,evening,0.72500000000
5,cook,R1,2025,4,gas_stove,2020,all-year,all-week,evening,0.20830000000
5,cook,R1,2025,6,gas_stove,2020,all-year,all-week,evening,0.20830000000
5,cook,R1,2030,0,electric_stove,2020,all-year,all-week,evening,0.72500000000
5,cook,R1,2030,1,electric_stove,2025,all-year,all-week,evening,0.35330000000
5,cook,R1,2030,2,electric_stove,2020,all-year,all-week,evening,0.72500000000
5,cook,R1,2030,3,electric_stove,2025,all-year,all-week,evening,0.35330000000
5,cook,R1,2030,5,gas_stove,2025,all-year,all-week,evening,0.08830000000
5,cook,R1,2030,7,gas_stove,2025,all-year,all-week,evening,0.08830000000
5,cook,R2,2025,0,electric_stove,2020,all-year,all-week,evening,0.72500000000
5,cook,R2,2025,2,electric_stove,2020,all-year,all-week,evening,0.72500000000
5,cook,R2,2025,4,gas_stove,2020,all-year,all-week,evening,0.20830000000
5,cook,R2,2025,6,gas_stove,2020,all-year,all-week,evening,0.20830000000
5,cook,R2,2030,0,electric_stove,2020,all-year,all-week,evening,0.72500000000
5,cook,R2,2030,1,electric_stove,2025,all-year,all-week,evening,0.35330000000
5,cook,R2,2030,2,electric_stove,2020,all-year,all-week,evening,0.72500000000
5,cook,R2,2030,3,electric_stove,2025,all-year,all-week,evening,0.35330000000
