timeslice,commodity,region,prices
"('all-year', 'all-week', 'night')",electricity,USA,0.07020000000
"('all-year', 'all-week', 'night')",gas,USA,7.15275000000
"('all-year', 'all-week', 'night')",heat,USA,100.00000000000
"('all-year', 'all-week', 'night')",CO2f,USA,0.08314119000
"('all-year', 'all-week', 'morning')",electricity,USA,0.07020000000
"('all-year', 'all-week', 'morning')",gas,USA,7.15275000000
"('all-year', 'all-week', 'morning')",heat,USA,100.00000000000
"('all-year', 'all-week', 'morning')",CO2f,USA,0.08314119000
"('all-year', 'all-week', 'afternoon')",electricity,USA,0.07020000000
"('all-year', 'all-week', 'afternoon')",gas,USA,7.15275000000
"('all-year', 'all-week', 'afternoon')",heat,USA,100.00000000000
"('all-year', 'all-week', 'afternoon')",CO2f,USA,0.08314119000
"('all-year', 'all-week', 'early-peak')",electricity,USA,0.07020000000
"('all-year', 'all-week', 'early-peak')",gas,USA,7.15275000000
"('all-year', 'all-week', 'early-peak')",heat,USA,100.00000000000
"('all-year', 'all-week', 'early-peak')",CO2f,USA,0.08314119000
"('all-year', 'all-week', 'late-peak')",electricity,USA,0.07020000000
"('all-year', 'all-week', 'late-peak')",gas,USA,7.15275000000
"('all-year', 'all-week', 'late-peak')",heat,USA,100.00000000000
"('all-year', 'all-week', 'late-peak')",CO2f,USA,0.08314119000
"('all-year', 'all-week', 'evening')",electricity,USA,0.07020000000
"('all-year', 'all-week', 'evening')",gas,USA,7.15275000000
"('all-year', 'all-week', 'evening')",heat,USA,100.00000000000
"('all-year', 'all-week', 'evening')",CO2f,USA,0.08314119000
"('all-year', 'all-week', 'night')",electricity,USA,0.07896666700
"('all-year', 'all-week', 'night')",gas,USA,8.10645000000
"('all-year', 'all-week', 'night')",heat,USA,100.00000000000
"('all-year', 'all-week', 'night')",CO2f,USA,0.12006979500
"('all-year', 'all-week', 'morning')",electricity,USA,0.07896666700
"('all-year', 'all-week', 'morning')",gas,USA,8.10645000000
"('all-year', 'all-week', 'morning')",heat,USA,100.00000000000
"('all-year', 'all-week', 'morning')",CO2f,USA,0.12006979500
"('all-year', 'all-week', 'afternoon')",electricity,USA,0.07896666700
"('all-year', 'all-week', 'afternoon')",gas,USA,8.10645000000
"('all-year', 'all-week', 'afternoon')",heat,USA,100.00000000000
"('all-year', 'all-week', 'afternoon')",CO2f,USA,0.12006979500
"('all-year', 'all-week', 'early-peak')",electricity,USA,0.07896666700
"('all-year', 'all-week', 'early-peak')",gas,USA,8.10645000000
"('all-year', 'all-week', 'early-peak')",heat,USA,100.00000000000
"('all-year', 'all-week', 'early-peak')",CO2f,USA,0.12006979500
"('all-year', 'all-week', 'late-peak')",electricity,USA,0.07896666700
"('all-year', 'all-week', 'late-peak')",gas,USA,8.10645000000
"('all-year', 'all-week', 'late-peak')",heat,USA,100.00000000000
"('all-year', 'all-week', 'late-peak')",CO2f,USA,0.12006979500
"('all-year', 'all-week', 'evening')",electricity,USA,0.07896666700
"('all-year', 'all-week', 'evening')",gas,USA,8.10645000000
"('all-year', 'all-week', 'evening')",heat,USA,100.00000000000
"('all-year', 'all-week', 'evening')",CO2f,USA,0.12006979500
"('all-year', 'all-week', 'night')",electricity,USA,0.09543333300
"('all-year', 'all-week', 'night')",gas,USA,9.06015000000
"('all-year', 'all-week', 'night')",heat,USA,100.00000000000
"('all-year', 'all-week', 'night')",CO2f,USA,0.15699839900
"('all-year', 'all-week', 'morning')",electricity,USA,0.09543333300
"('all-year', 'all-week', 'morning')",gas,USA,9.06015000000
"('all-year', 'all-week', 'morning')",heat,USA,100.00000000000
"('all-year', 'all-week', 'morning')",CO2f,USA,0.15699839900
"('all-year', 'all-week', 'afternoon')",electricity,USA,0.09543333300
"('all-year', 'all-week', 'afternoon')",gas,USA,9.06015000000
"('all-year', 'all-week', 'afternoon')",heat,USA,100.00000000000
"('all-year', 'all-week', 'afternoon')",CO2f,USA,0.15699839900
"('all-year', 'all-week', 'early-peak')",electricity,USA,0.09543333300
"('all-year', 'all-week', 'early-peak')",gas,USA,9.06015000000
"('all-year', 'all-week', 'early-peak')",heat,USA,100.00000000000
"('all-year', 'all-week', 'early-peak')",CO2f,USA,0.15699839900
"('all-year', 'all-week', 'late-peak')",electricity,USA,0.09543333300
"('all-year', 'all-week', 'late-peak')",gas,USA,9.06015000000
"('all-year', 'all-week', 'late-peak')",heat,USA,100.00000000000
"('all-year', 'all-week', 'late-peak')",CO2f,USA,0.15699839900
