technology,region,agent,type,sector,capacity,year
gasboiler,USA,A1,retrofit,residential,10.00000000000,2020
gasCCGT,USA,A1,retrofit,power,1.00000000000,2020
gassupply1,USA,A1,retrofit,gas,11.62790698000,2020
gasboiler,USA,A1,retrofit,residential,5.00000000000,2025
heatpump,USA,A1,retrofit,residential,19.00000000000,2025
gasCCGT,USA,A1,retrofit,power,1.00000000000,2025
windturbine,USA,A1,retrofit,power,16.75136798906,2025
gassupply1,USA,A1,retrofit,gas,469.42661508148,2025
heatpump,USA,A1,retrofit,residential,30.00000000000,2030
windturbine,USA,A1,retrofit,power,30.00215998272,2030
gassupply1,USA,A1,retrofit,gas,457.79870810148,2030
heatpump,USA,A1,retrofit,residential,36.00000000000,2035
windturbine,USA,A1,retrofit,power,36.00259197926,2035
gassupply1,USA,A1,retrofit,gas,457.79870810148,2035
heatpump,USA,A1,retrofit,residential,42.00000000000,2040
windturbine,USA,A1,retrofit,power,42.00302397581,2040
gassupply1,USA,A1,retrofit,gas,457.79870810148,2040
heatpump,USA,A1,retrofit,residential,48.00000000000,2045
windturbine,USA,A1,retrofit,power,48.00345597235,2045
gassupply1,USA,A1,retrofit,gas,457.79870810148,2045
heatpump,USA,A1,retrofit,residential,54.00000000000,2050
windturbine,USA,A1,retrofit,power,54.00388796890,2050
gassupply1,USA,A1,retrofit,gas,457.79870810148,2050
