timeslice,commodity,year,asset,region,month,day,hour,technology,installed,supply
0,heat,2020,0,R1,all-year,all-week,night,gasboiler,2020,1.00000000000
0,heat,2025,0,R1,all-year,all-week,night,gasboiler,2020,0.69440000000
0,heat,2025,1,R1,all-year,all-week,night,heatpump,2020,0.63890000000
0,CO2f,2020,0,R1,all-year,all-week,night,gasboiler,2020,64.71000000000
0,CO2f,2025,0,R1,all-year,all-week,night,gasboiler,2020,44.93750000000
1,heat,2020,0,R1,all-year,all-week,morning,gasboiler,2020,1.50000000000
1,heat,2025,0,R1,all-year,all-week,morning,gasboiler,2020,1.04170000000
1,heat,2025,1,R1,all-year,all-week,morning,heatpump,2020,0.95830000000
1,CO2f,2020,0,R1,all-year,all-week,morning,gasboiler,2020,97.06500000000
1,CO2f,2025,0,R1,all-year,all-week,morning,gasboiler,2020,67.40620000000
2,heat,2020,0,R1,all-year,all-week,afternoon,gasboiler,2020,1.00000000000
2,heat,2025,0,R1,all-year,all-week,afternoon,gasboiler,2020,0.69440000000
2,heat,2025,1,R1,all-year,all-week,afternoon,heatpump,2020,0.63890000000
2,CO2f,2020,0,R1,all-year,all-week,afternoon,gasboiler,2020,64.71000000000
2,CO2f,2025,0,R1,all-year,all-week,afternoon,gasboiler,2020,44.93750000000
3,heat,2020,0,R1,all-year,all-week,early-peak,gasboiler,2020,1.50000000000
3,heat,2025,0,R1,all-year,all-week,early-peak,gasboiler,2020,1.04170000000
3,heat,2025,1,R1,all-year,all-week,early-peak,heatpump,2020,0.95830000000
3,CO2f,2020,0,R1,all-year,all-week,early-peak,gasboiler,2020,97.06500000000
3,CO2f,2025,0,R1,all-year,all-week,early-peak,gasboiler,2020,67.40620000000
4,heat,2020,0,R1,all-year,all-week,late-peak,gasboiler,2020,3.00000000000
4,heat,2025,0,R1,all-year,all-week,late-peak,gasboiler,2020,2.08330000000
4,heat,2025,1,R1,all-year,all-week,late-peak,heatpump,2020,1.91670000000
4,CO2f,2020,0,R1,all-year,all-week,late-peak,gasboiler,2020,194.13000000000
4,CO2f,2025,0,R1,all-year,all-week,late-peak,gasboiler,2020,134.81250000000
5,heat,2020,0,R1,all-year,all-week,evening,gasboiler,2020,2.00000000000
5,heat,2025,0,R1,all-year,all-week,evening,gasboiler,2020,1.38890000000
5,heat,2025,1,R1,all-year,all-week,evening,heatpump,2020,1.27780000000
5,CO2f,2020,0,R1,all-year,all-week,evening,gasboiler,2020,129.42000000000
5,CO2f,2025,0,R1,all-year,all-week,evening,gasboiler,2020,89.87500000000
