,asset,year,technology,region,installed,capacity
0,0,2035,gasboiler,R1,2025,2.20000000000
1,0,2039,gasboiler,R1,2025,2.20000000000
7,1,2035,gasboiler,R2,2025,2.20000000000
8,1,2039,gasboiler,R2,2025,2.20000000000
14,2,2035,heatpump,R1,2025,8.80000000000
15,2,2039,heatpump,R1,2025,8.80000000000
21,3,2035,heatpump,R1,2030,25.00000000000
22,3,2039,heatpump,R1,2030,25.00000000000
23,3,2040,heatpump,R1,2030,25.00000000000
24,3,2044,heatpump,R1,2030,25.00000000000
30,4,2040,heatpump,R1,2035,17.00000000000
31,4,2044,heatpump,R1,2035,17.00000000000
32,4,2045,heatpump,R1,2035,17.00000000000
33,4,2049,heatpump,R1,2035,17.00000000000
35,5,2035,heatpump,R2,2025,8.80000000000
36,5,2039,heatpump,R2,2025,8.80000000000
42,6,2035,heatpump,R2,2030,25.00000000000
43,6,2039,heatpump,R2,2030,25.00000000000
44,6,2040,heatpump,R2,2030,25.00000000000
45,6,2044,heatpump,R2,2030,25.00000000000
51,7,2040,heatpump,R2,2035,17.00000000000
52,7,2044,heatpump,R2,2035,17.00000000000
53,7,2045,heatpump,R2,2035,17.00000000000
54,7,2049,heatpump,R2,2035,17.00000000000
