region,timeslice,commodity,year,month,day,hour,supply
R1,0,heat,2025,all-year,all-week,night,0.95200000000
R1,0,heat,2030,all-year,all-week,night,1.19000000000
R1,0,CO2f,2025,all-year,all-week,night,23.88770000000
R1,0,CO2f,2030,all-year,all-week,night,9.46400000000
R1,0,cook,2025,all-year,all-week,night,0.88070000000
R1,0,cook,2030,all-year,all-week,night,1.04730000000
R1,1,heat,2025,all-year,all-week,morning,1.42800000000
R1,1,heat,2030,all-year,all-week,morning,1.78500000000
R1,1,CO2f,2025,all-year,all-week,morning,35.82960000000
R1,1,CO2f,2030,all-year,all-week,morning,14.19480000000
R1,1,cook,2025,all-year,all-week,morning,1.32080000000
R1,1,cook,2030,all-year,all-week,morning,1.57070000000
R1,2,heat,2025,all-year,all-week,mid-afternoon,0.95200000000
R1,2,heat,2030,all-year,all-week,mid-afternoon,1.19000000000
R1,2,CO2f,2025,all-year,all-week,mid-afternoon,23.88770000000
R1,2,CO2f,2030,all-year,all-week,mid-afternoon,9.46400000000
R1,2,cook,2025,all-year,all-week,mid-afternoon,0.88070000000
R1,2,cook,2030,all-year,all-week,mid-afternoon,1.04730000000
R1,3,heat,2025,all-year,all-week,early-peak,1.42800000000
R1,3,heat,2030,all-year,all-week,early-peak,1.78500000000
R1,3,CO2f,2025,all-year,all-week,early-peak,35.82960000000
R1,3,CO2f,2030,all-year,all-week,early-peak,14.19480000000
R1,3,cook,2025,all-year,all-week,early-peak,1.32080000000
R1,3,cook,2030,all-year,all-week,early-peak,1.57070000000
R1,4,heat,2025,all-year,all-week,late-peak,2.85730000000
R1,4,heat,2030,all-year,all-week,late-peak,3.57170000000
R1,4,CO2f,2025,all-year,all-week,late-peak,71.69380000000
R1,4,CO2f,2030,all-year,all-week,late-peak,28.40370000000
R1,4,cook,2025,all-year,all-week,late-peak,2.64300000000
R1,4,cook,2030,all-year,all-week,late-peak,3.14300000000
R1,5,heat,2025,all-year,all-week,evening,1.90530000000
R1,5,heat,2030,all-year,all-week,evening,2.38170000000
R1,5,CO2f,2025,all-year,all-week,evening,47.80800000000
R1,5,CO2f,2030,all-year,all-week,evening,18.94080000000
R1,5,cook,2025,all-year,all-week,evening,1.76250000000
R1,5,cook,2030,all-year,all-week,evening,2.09600000000
R1,6,heat,2025,all-year,all-week,early-morning,1.90530000000
R1,6,heat,2030,all-year,all-week,early-morning,2.38170000000
R1,6,CO2f,2025,all-year,all-week,early-morning,47.80800000000
R1,6,CO2f,2030,all-year,all-week,early-morning,18.94080000000
R1,6,cook,2025,all-year,all-week,early-morning,1.76250000000
R1,6,cook,2030,all-year,all-week,early-morning,2.09600000000
R1,7,heat,2025,all-year,all-week,late-afternoon,1.90530000000
R1,7,heat,2030,all-year,all-week,late-afternoon,2.38170000000
R1,7,CO2f,2025,all-year,all-week,late-afternoon,47.80800000000
R1,7,CO2f,2030,all-year,all-week,late-afternoon,18.94080000000
R1,7,cook,2025,all-year,all-week,late-afternoon,1.76250000000
R1,7,cook,2030,all-year,all-week,late-afternoon,2.09600000000
R2,0,heat,2025,all-year,all-week,night,0.95200000000
R2,0,heat,2030,all-year,all-week,night,1.19000000000
R2,0,CO2f,2025,all-year,all-week,night,23.88770000000
R2,0,CO2f,2030,all-year,all-week,night,9.46400000000
R2,0,cook,2025,all-year,all-week,night,0.88070000000
R2,0,cook,2030,all-year,all-week,night,1.04730000000
R2,1,heat,2025,all-year,all-week,morning,1.42800000000
R2,1,heat,2030,all-year,all-week,morning,1.78500000000
R2,1,CO2f,2025,all-year,all-week,morning,35.82960000000
R2,1,CO2f,2030,all-year,all-week,morning,14.19480000000
R2,1,cook,2025,all-year,all-week,morning,1.32080000000
R2,1,cook,2030,all-year,all-week,morning,1.57070000000
R2,2,heat,2025,all-year,all-week,mid-afternoon,0.95200000000
R2,2,heat,2030,all-year,all-week,mid-afternoon,1.19000000000
R2,2,CO2f,2025,all-year,all-week,mid-afternoon,23.88770000000
R2,2,CO2f,2030,all-year,all-week,mid-afternoon,9.46400000000
R2,2,cook,2025,all-year,all-week,mid-afternoon,0.88070000000
R2,2,cook,2030,all-year,all-week,mid-afternoon,1.04730000000
R2,3,heat,2025,all-year,all-week,early-peak,1.42800000000
R2,3,heat,2030,all-year,all-week,early-peak,1.78500000000
R2,3,CO2f,2025,all-year,all-week,early-peak,35.82960000000
R2,3,CO2f,2030,all-year,all-week,early-peak,14.19480000000
R2,3,cook,2025,all-year,all-week,early-peak,1.32080000000
R2,3,cook,2030,all-year,all-week,early-peak,1.57070000000
R2,4,heat,2025,all-year,all-week,late-peak,2.85730000000
R2,4,heat,2030,all-year,all-week,late-peak,3.57170000000
R2,4,CO2f,2025,all-year,all-week,late-peak,71.69380000000
R2,4,CO2f,2030,all-year,all-week,late-peak,28.40370000000
R2,4,cook,2025,all-year,all-week,late-peak,2.64300000000
R2,4,cook,2030,all-year,all-week,late-peak,3.14300000000
R2,5,heat,2025,all-year,all-week,evening,1.90530000000
