,asset,year,region,technology,installed,capacity
0,0,2025,R1,gasCCGT,2020,1.85930000000
1,0,2030,R1,gasCCGT,2020,1.35930000000
2,0,2035,R1,gasCCGT,2020,1.35930000000
3,0,2040,R1,gasCCGT,2020,1.35930000000
4,0,2045,R1,gasCCGT,2020,1.35930000000
5,0,2050,R1,gasCCGT,2020,1.35930000000
6,0,2059,R1,gasCCGT,2020,1.35930000000
12,1,2030,R1,gasCCGT,2025,2.72960000000
13,1,2035,R1,gasCCGT,2025,2.72960000000
14,1,2040,R1,gasCCGT,2025,2.72960000000
15,1,2045,R1,gasCCGT,2025,2.72960000000
16,1,2050,R1,gasCCGT,2025,2.72960000000
17,1,2059,R1,gasCCGT,2025,2.72960000000
18,1,2060,R1,gasCCGT,2025,2.72960000000
19,1,2064,R1,gasCCGT,2025,2.72960000000
