,asset,year,region,installed,technology,capacity
0,0,2020,R1,2020,gasCCGT,1
1,0,2025,R1,2020,gasCCGT,1
9,1,2025,R1,2020,solarPV,5.6087
10,1,2030,R1,2020,solarPV,5.6087
11,1,2035,R1,2020,solarPV,5.6087
12,1,2040,R1,2020,solarPV,5.6087
13,1,2045,R1,2020,solarPV,5.6087
14,1,2049,R1,2020,solarPV,5.6087
17,2,2025,R1,2020,windturbine,10
18,2,2030,R1,2020,windturbine,10
19,2,2035,R1,2020,windturbine,10
20,2,2040,R1,2020,windturbine,10
21,2,2045,R1,2020,windturbine,10
22,2,2049,R1,2020,windturbine,10
24,3,2020,R2,2020,gasCCGT,1
25,3,2025,R2,2020,gasCCGT,1
33,4,2025,R2,2020,solarPV,5.6087
34,4,2030,R2,2020,solarPV,5.6087
35,4,2035,R2,2020,solarPV,5.6087
36,4,2040,R2,2020,solarPV,5.6087
37,4,2045,R2,2020,solarPV,5.6087
38,4,2049,R2,2020,solarPV,5.6087
41,5,2025,R2,2020,windturbine,10
42,5,2030,R2,2020,windturbine,10
43,5,2035,R2,2020,windturbine,10
44,5,2040,R2,2020,windturbine,10
45,5,2045,R2,2020,windturbine,10
46,5,2049,R2,2020,windturbine,10
