,asset,year,region,installed,technology,capacity
14,1,2045,R1,2030,gassupply1,7.46760000000
15,1,2050,R1,2030,gassupply1,7.46760000000
16,1,2069,R1,2030,gassupply1,7.46760000000
25,2,2045,R1,2035,gassupply1,0.23590000000
26,2,2050,R1,2035,gassupply1,0.23590000000
27,2,2069,R1,2035,gassupply1,0.23590000000
28,2,2070,R1,2035,gassupply1,0.23590000000
29,2,2074,R1,2035,gassupply1,0.23590000000
37,3,2050,R1,2045,gassupply1,0.43650000000
38,3,2069,R1,2045,gassupply1,0.43650000000
39,3,2070,R1,2045,gassupply1,0.43650000000
40,3,2074,R1,2045,gassupply1,0.43650000000
41,3,2075,R1,2045,gassupply1,0.43650000000
42,3,2084,R1,2045,gassupply1,0.43650000000
