,dst_region,year,asset,region,technology,installed,capacity
0,R1,2045,0,R1,solarPV,2030,23.25000000000
2,R1,2045,2,R1,windturbine,2020,25.50000000000
3,R1,2045,3,R1,windturbine,2025,23.25000000000
5,R1,2045,5,R1,windturbine,2040,24.00000000000
7,R1,2049,0,R1,solarPV,2030,23.25000000000
9,R1,2049,2,R1,windturbine,2020,25.50000000000
10,R1,2049,3,R1,windturbine,2025,23.25000000000
12,R1,2049,5,R1,windturbine,2040,24.00000000000
14,R1,2050,0,R1,solarPV,2030,23.25000000000
17,R1,2050,3,R1,windturbine,2025,23.25000000000
19,R1,2050,5,R1,windturbine,2040,24.00000000000
21,R1,2054,0,R1,solarPV,2030,23.25000000000
24,R1,2054,3,R1,windturbine,2025,23.25000000000
26,R1,2054,5,R1,windturbine,2040,24.00000000000
28,R1,2055,0,R1,solarPV,2030,23.25000000000
33,R1,2055,5,R1,windturbine,2040,24.00000000000
35,R1,2059,0,R1,solarPV,2030,23.25000000000
40,R1,2059,5,R1,windturbine,2040,24.00000000000
47,R1,2060,5,R1,windturbine,2040,24.00000000000
54,R1,2064,5,R1,windturbine,2040,24.00000000000
61,R1,2065,5,R1,windturbine,2040,24.00000000000
68,R1,2069,5,R1,windturbine,2040,24.00000000000
92,R2,2045,1,R1,solarPV,2035,42.00000000000
95,R2,2045,4,R1,windturbine,2035,42.00000000000
99,R2,2049,1,R1,solarPV,2035,42.00000000000
102,R2,2049,4,R1,windturbine,2035,42.00000000000
106,R2,2050,1,R1,solarPV,2035,42.00000000000
109,R2,2050,4,R1,windturbine,2035,42.00000000000
113,R2,2054,1,R1,solarPV,2035,42.00000000000
116,R2,2054,4,R1,windturbine,2035,42.00000000000
120,R2,2055,1,R1,solarPV,2035,42.00000000000
123,R2,2055,4,R1,windturbine,2035,42.00000000000
127,R2,2059,1,R1,solarPV,2035,42.00000000000
130,R2,2059,4,R1,windturbine,2035,42.00000000000
134,R2,2060,1,R1,solarPV,2035,42.00000000000
137,R2,2060,4,R1,windturbine,2035,42.00000000000
141,R2,2064,1,R1,solarPV,2035,42.00000000000
144,R2,2064,4,R1,windturbine,2035,42.00000000000
