,dst_region,year,asset,region,technology,installed,capacity
0,R1,2035,0,R1,solarPV,2030,23.25000000000
2,R1,2035,2,R1,windturbine,2020,25.50000000000
3,R1,2035,3,R1,windturbine,2025,23.25000000000
5,R1,2040,0,R1,solarPV,2030,23.25000000000
7,R1,2040,2,R1,windturbine,2020,25.50000000000
8,R1,2040,3,R1,windturbine,2025,23.25000000000
10,R1,2045,0,R1,solarPV,2030,23.25000000000
12,R1,2045,2,R1,windturbine,2020,25.50000000000
13,R1,2045,3,R1,windturbine,2025,23.25000000000
15,R1,2049,0,R1,solarPV,2030,23.25000000000
17,R1,2049,2,R1,windturbine,2020,25.50000000000
18,R1,2049,3,R1,windturbine,2025,23.25000000000
20,R1,2050,0,R1,solarPV,2030,23.25000000000
23,R1,2050,3,R1,windturbine,2025,23.25000000000
25,R1,2054,0,R1,solarPV,2030,23.25000000000
28,R1,2054,3,R1,windturbine,2025,23.25000000000
30,R1,2055,0,R1,solarPV,2030,23.25000000000
35,R1,2059,0,R1,solarPV,2030,23.25000000000
61,R2,2040,1,R1,solarPV,2035,42.00000000000
64,R2,2040,4,R1,windturbine,2035,42.00000000000
66,R2,2045,1,R1,solarPV,2035,42.00000000000
69,R2,2045,4,R1,windturbine,2035,42.00000000000
71,R2,2049,1,R1,solarPV,2035,42.00000000000
74,R2,2049,4,R1,windturbine,2035,42.00000000000
76,R2,2050,1,R1,solarPV,2035,42.00000000000
79,R2,2050,4,R1,windturbine,2035,42.00000000000
81,R2,2054,1,R1,solarPV,2035,42.00000000000
84,R2,2054,4,R1,windturbine,2035,42.00000000000
86,R2,2055,1,R1,solarPV,2035,42.00000000000
89,R2,2055,4,R1,windturbine,2035,42.00000000000
91,R2,2059,1,R1,solarPV,2035,42.00000000000
94,R2,2059,4,R1,windturbine,2035,42.00000000000
96,R2,2060,1,R1,solarPV,2035,42.00000000000
99,R2,2060,4,R1,windturbine,2035,42.00000000000
101,R2,2064,1,R1,solarPV,2035,42.00000000000
104,R2,2064,4,R1,windturbine,2035,42.00000000000
