,asset,year,dst_region,region,technology,installed,capacity
1,0,2040,R2,R1,windturbine,2035,84.00000000000
3,0,2045,R2,R1,windturbine,2035,84.00000000000
5,0,2049,R2,R1,windturbine,2035,84.00000000000
7,0,2050,R2,R1,windturbine,2035,84.00000000000
9,0,2054,R2,R1,windturbine,2035,84.00000000000
11,0,2055,R2,R1,windturbine,2035,84.00000000000
13,0,2059,R2,R1,windturbine,2035,84.00000000000
15,0,2060,R2,R1,windturbine,2035,84.00000000000
17,0,2064,R2,R1,windturbine,2035,84.00000000000
48,2,2040,R1,R2,solarPV,2025,48.75000000000
50,2,2045,R1,R2,solarPV,2025,48.75000000000
52,2,2049,R1,R2,solarPV,2025,48.75000000000
54,2,2050,R1,R2,solarPV,2025,48.75000000000
56,2,2054,R1,R2,solarPV,2025,48.75000000000
74,3,2045,R1,R2,windturbine,2040,47.25000000000
76,3,2049,R1,R2,windturbine,2040,47.25000000000
78,3,2050,R1,R2,windturbine,2040,47.25000000000
80,3,2054,R1,R2,windturbine,2040,47.25000000000
82,3,2055,R1,R2,windturbine,2040,47.25000000000
84,3,2059,R1,R2,windturbine,2040,47.25000000000
86,3,2060,R1,R2,windturbine,2040,47.25000000000
88,3,2064,R1,R2,windturbine,2040,47.25000000000
90,3,2065,R1,R2,windturbine,2040,47.25000000000
92,3,2069,R1,R2,windturbine,2040,47.25000000000
