commodity,day,hour,month,region,supply,timeslice,units_prices,year
gas,all-week,evening,all-year,r1,5.8714,5,MUS$2010/PJ,2030
heat,all-week,evening,all-year,r1,3.3333,5,MUS$2010/PJ,2030
CO2f,all-week,evening,all-year,r1,278.0247,5,MUS$2010/kt,2030
cook,all-week,evening,all-year,r1,3.3333,5,MUS$2010/PJ,2030
electricity,all-week,night,all-year,r1,0.8000,0,MUS$2010/PJ,2035
gas,all-week,night,all-year,r1,2.3200,0,MUS$2010/PJ,2035
heat,all-week,night,all-year,r1,2.0000,0,MUS$2010/PJ,2035
CO2f,all-week,night,all-year,r1,100.0000,0,MUS$2010/kt,2035
cook,all-week,night,all-year,r1,2.0000,0,MUS$2010/PJ,2035
electricity,all-week,morning,all-year,r1,1.2000,1,MUS$2010/PJ,2035
gas,all-week,morning,all-year,r1,3.4800,1,MUS$2010/PJ,2035
heat,all-week,morning,all-year,r1,3.0000,1,MUS$2010/PJ,2035
CO2f,all-week,morning,all-year,r1,150.0000,1,MUS$2010/kt,2035
cook,all-week,morning,all-year,r1,3.0000,1,MUS$2010/PJ,2035
electricity,all-week,afternoon,all-year,r1,0.8000,2,MUS$2010/PJ,2035
gas,all-week,afternoon,all-year,r1,2.3200,2,MUS$2010/PJ,2035
heat,all-week,afternoon,all-year,r1,2.0000,2,MUS$2010/PJ,2035
CO2f,all-week,afternoon,all-year,r1,100.0000,2,MUS$2010/kt,2035
cook,all-week,afternoon,all-year,r1,2.0000,2,MUS$2010/PJ,2035
electricity,all-week,early-peak,all-year,r1,1.2000,3,MUS$2010/PJ,2035
gas,all-week,early-peak,all-year,r1,3.4800,3,MUS$2010/PJ,2035
heat,all-week,early-peak,all-year,r1,3.0000,3,MUS$2010/PJ,2035
CO2f,all-week,early-peak,all-year,r1,150.0000,3,MUS$2010/kt,2035
cook,all-week,early-peak,all-year,r1,3.0000,3,MUS$2010/PJ,2035
electricity,all-week,late-peak,all-year,r1,2.4000,4,MUS$2010/PJ,2035
gas,all-week,late-peak,all-year,r1,8.1847,4,MUS$2010/PJ,2035
heat,all-week,late-peak,all-year,r1,6.0000,4,MUS$2010/PJ,2035
CO2f,all-week,late-peak,all-year,r1,367.2247,4,MUS$2010/kt,2035
cook,all-week,late-peak,all-year,r1,6.0000,4,MUS$2010/PJ,2035
electricity,all-week,evening,all-year,r1,1.6000,5,MUS$2010/PJ,2035
gas,all-week,evening,all-year,r1,4.6400,5,MUS$2010/PJ,2035
heat,all-week,evening,all-year,r1,4.0000,5,MUS$2010/PJ,2035
CO2f,all-week,evening,all-year,r1,200.0000,5,MUS$2010/kt,2035
cook,all-week,evening,all-year,r1,4.0000,5,MUS$2010/PJ,2035
electricity,all-week,night,all-year,r1,0.9333,0,MUS$2010/PJ,2040
gas,all-week,night,all-year,r1,2.7067,0,MUS$2010/PJ,2040
heat,all-week,night,all-year,r1,2.3333,0,MUS$2010/PJ,2040
CO2f,all-week,night,all-year,r1,116.6667,0,MUS$2010/kt,2040
cook,all-week,night,all-year,r1,2.3333,0,MUS$2010/PJ,2040
electricity,all-week,morning,all-year,r1,1.4000,1,MUS$2010/PJ,2040
gas,all-week,morning,all-year,r1,4.0600,1,MUS$2010/PJ,2040
heat,all-week,morning,all-year,r1,3.5000,1,MUS$2010/PJ,2040
CO2f,all-week,morning,all-year,r1,175.0000,1,MUS$2010/kt,2040
cook,all-week,morning,all-year,r1,3.5000,1,MUS$2010/PJ,2040
electricity,all-week,afternoon,all-year,r1,0.9333,2,MUS$2010/PJ,2040
gas,all-week,afternoon,all-year,r1,2.7067,2,MUS$2010/PJ,2040
heat,all-week,afternoon,all-year,r1,2.3333,2,MUS$2010/PJ,2040
CO2f,all-week,afternoon,all-year,r1,116.6667,2,MUS$2010/kt,2040
cook,all-week,afternoon,all-year,r1,2.3333,2,MUS$2010/PJ,2040
electricity,all-week,early-peak,all-year,r1,1.4000,3,MUS$2010/PJ,2040
gas,all-week,early-peak,all-year,r1,4.0600,3,MUS$2010/PJ,2040
heat,all-week,early-peak,all-year,r1,3.5000,3,MUS$2010/PJ,2040
CO2f,all-week,early-peak,all-year,r1,175.0000,3,MUS$2010/kt,2040
cook,all-week,early-peak,all-year,r1,3.5000,3,MUS$2010/PJ,2040
electricity,all-week,late-peak,all-year,r1,2.8000,4,MUS$2010/PJ,2040
gas,all-week,late-peak,all-year,r1,9.3447,4,MUS$2010/PJ,2040
heat,all-week,late-peak,all-year,r1,7.0000,4,MUS$2010/PJ,2040
CO2f,all-week,late-peak,all-year,r1,417.2247,4,MUS$2010/kt,2040
cook,all-week,late-peak,all-year,r1,7.0000,4,MUS$2010/PJ,2040
electricity,all-week,evening,all-year,r1,1.8667,5,MUS$2010/PJ,2040
gas,all-week,evening,all-year,r1,5.4133,5,MUS$2010/PJ,2040
heat,all-week,evening,all-year,r1,4.6667,5,MUS$2010/PJ,2040
CO2f,all-week,evening,all-year,r1,233.3333,5,MUS$2010/kt,2040
cook,all-week,evening,all-year,r1,4.6667,5,MUS$2010/PJ,2040
electricity,all-week,night,all-year,r1,1.0667,0,MUS$2010/PJ,2045
gas,all-week,night,all-year,r1,3.0933,0,MUS$2010/PJ,2045
heat,all-week,night,all-year,r1,2.6667,0,MUS$2010/PJ,2045
CO2f,all-week,night,all-year,r1,133.3333,0,MUS$2010/kt,2045
cook,all-week,night,all-year,r1,2.6667,0,MUS$2010/PJ,2045
electricity,all-week,morning,all-year,r1,1.6000,1,MUS$2010/PJ,2045
gas,all-week,morning,all-year,r1,4.6400,1,MUS$2010/PJ,2045
heat,all-week,morning,all-year,r1,4.0000,1,MUS$2010/PJ,2045
CO2f,all-week,morning,all-year,r1,200.0000,1,MUS$2010/kt,2045
cook,all-week,morning,all-year,r1,4.0000,1,MUS$2010/PJ,2045
electricity,all-week,afternoon,all-year,r1,1.0667,2,MUS$2010/PJ,2045
gas,all-week,afternoon,all-year,r1,3.0933,2,MUS$2010/PJ,2045
heat,all-week,afternoon,all-year,r1,2.6667,2,MUS$2010/PJ,2045
CO2f,all-week,afternoon,all-year,r1,133.3333,2,MUS$2010/kt,2045
cook,all-week,afternoon,all-year,r1,2.6667,2,MUS$2010/PJ,2045
electricity,all-week,early-peak,all-year,r1,1.6000,3,MUS$2010/PJ,2045
gas,all-week,early-peak,all-year,r1,4.6400,3,MUS$2010/PJ,2045
heat,all-week,early-peak,all-year,r1,4.0000,3,MUS$2010/PJ,2045
CO2f,all-week,early-peak,all-year,r1,200.0000,3,MUS$2010/kt,2045
cook,all-week,early-peak,all-year,r1,4.0000,3,MUS$2010/PJ,2045
electricity,all-week,late-peak,all-year,r1,3.2000,4,MUS$2010/PJ,2045
gas,all-week,late-peak,all-year,r1,10.5047,4,MUS$2010/PJ,2045
heat,all-week,late-peak,all-year,r1,8.0000,4,MUS$2010/PJ,2045
CO2f,all-week,late-peak,all-year,r1,467.2247,4,MUS$2010/kt,2045
cook,all-week,late-peak,all-year,r1,8.0000,4,MUS$2010/PJ,2045
electricity,all-week,evening,all-year,r1,2.1333,5,MUS$2010/PJ,2045
gas,all-week,evening,all-year,r1,6.1867,5,MUS$2010/PJ,2045
heat,all-week,evening,all-year,r1,5.3333,5,MUS$2010/PJ,2045
CO2f,all-week,evening,all-year,r1,266.6667,5,MUS$2010/kt,2045
cook,all-week,evening,all-year,r1,5.3333,5,MUS$2010/PJ,2045
electricity,all-week,night,all-year,r1,1.2000,0,MUS$2010/PJ,2050
gas,all-week,night,all-year,r1,3.4800,0,MUS$2010/PJ,2050
heat,all-week,night,all-year,r1,3.0000,0,MUS$2010/PJ,2050
CO2f,all-week,night,all-year,r1,150.0000,0,MUS$2010/kt,2050
cook,all-week,night,all-year,r1,3.0000,0,MUS$2010/PJ,2050
electricity,all-week,morning,all-year,r1,1.8000,1,MUS$2010/PJ,2050
gas,all-week,morning,all-year,r1,5.2200,1,MUS$2010/PJ,2050
heat,all-week,morning,all-year,r1,4.5000,1,MUS$2010/PJ,2050
CO2f,all-week,morning,all-year,r1,225.0000,1,MUS$2010/kt,2050
cook,all-week,morning,all-year,r1,4.5000,1,MUS$2010/PJ,2050
electricity,all-week,afternoon,all-year,r1,1.2000,2,MUS$2010/PJ,2050
gas,all-week,afternoon,all-year,r1,3.4800,2,MUS$2010/PJ,2050
heat,all-week,afternoon,all-year,r1,3.0000,2,MUS$2010/PJ,2050
CO2f,all-week,afternoon,all-year,r1,150.0000,2,MUS$2010/kt,2050
cook,all-week,afternoon,all-year,r1,3.0000,2,MUS$2010/PJ,2050
electricity,all-week,early-peak,all-year,r1,1.8000,3,MUS$2010/PJ,2050
gas,all-week,early-peak,all-year,r1,5.2200,3,MUS$2010/PJ,2050
heat,all-week,early-peak,all-year,r1,4.5000,3,MUS$2010/PJ,2050
CO2f,all-week,early-peak,all-year,r1,225.0000,3,MUS$2010/kt,2050
cook,all-week,early-peak,all-year,r1,4.5000,3,MUS$2010/PJ,2050
electricity,all-week,late-peak,all-year,r1,3.6000,4,MUS$2010/PJ,2050
gas,all-week,late-peak,all-year,r1,11.6647,4,MUS$2010/PJ,2050
heat,all-week,late-peak,all-year,r1,9.0000,4,MUS$2010/PJ,2050
CO2f,all-week,late-peak,all-year,r1,517.2247,4,MUS$2010/kt,2050
cook,all-week,late-peak,all-year,r1,9.0000,4,MUS$2010/PJ,2050
electricity,all-week,evening,all-year,r1,2.4000,5,MUS$2010/PJ,2050
gas,all-week,evening,all-year,r1,6.9600,5,MUS$2010/PJ,2050
heat,all-week,evening,all-year,r1,6.0000,5,MUS$2010/PJ,2050
CO2f,all-week,evening,all-year,r1,300.0000,5,MUS$2010/kt,2050
cook,all-week,evening,all-year,r1,6.0000,5,MUS$2010/PJ,2050
