,asset,year,region,technology,installed,capacity
8,1,2045,R1,gasboiler,2035,6.12810000000
9,1,2049,R1,gasboiler,2035,6.12810000000
18,2,2050,R1,gasboiler,2045,1.81750000000
19,2,2054,R1,gasboiler,2045,1.81750000000
20,2,2055,R1,gasboiler,2045,1.81750000000
21,2,2059,R1,gasboiler,2045,1.81750000000
24,3,2045,R1,heatpump,2035,2.62630000000
25,3,2049,R1,heatpump,2035,2.62630000000
32,4,2045,R1,heatpump,2040,6.15790000000
33,4,2049,R1,heatpump,2040,6.15790000000
34,4,2050,R1,heatpump,2040,6.15790000000
35,4,2054,R1,heatpump,2040,6.15790000000
42,5,2050,R1,heatpump,2045,7.81400000000
43,5,2054,R1,heatpump,2045,7.81400000000
44,5,2055,R1,heatpump,2045,7.81400000000
45,5,2059,R1,heatpump,2045,7.81400000000
