,asset,year,region,technology,installed,capacity
9,1,2035,R1,gasboiler,2025,6.29300000000
10,1,2039,R1,gasboiler,2025,6.29300000000
20,2,2040,R1,gasboiler,2035,6.12810000000
21,2,2044,R1,gasboiler,2035,6.12810000000
22,2,2045,R1,gasboiler,2035,6.12810000000
23,2,2049,R1,gasboiler,2035,6.12810000000
27,3,2035,R1,heatpump,2025,1.58420000000
28,3,2039,R1,heatpump,2025,1.58420000000
36,4,2035,R1,heatpump,2030,5.28070000000
37,4,2039,R1,heatpump,2030,5.28070000000
38,4,2040,R1,heatpump,2030,5.28070000000
39,4,2044,R1,heatpump,2030,5.28070000000
47,5,2040,R1,heatpump,2035,2.62630000000
48,5,2044,R1,heatpump,2035,2.62630000000
49,5,2045,R1,heatpump,2035,2.62630000000
50,5,2049,R1,heatpump,2035,2.62630000000
