,asset,year,region,technology,installed,capacity
9,1,2040,R1,gasboiler,2035,6.12810000000
10,1,2044,R1,gasboiler,2035,6.12810000000
11,1,2045,R1,gasboiler,2035,6.12810000000
12,1,2049,R1,gasboiler,2035,6.12810000000
18,2,2040,R1,heatpump,2030,5.28070000000
19,2,2044,R1,heatpump,2030,5.28070000000
27,3,2040,R1,heatpump,2035,2.62630000000
28,3,2044,R1,heatpump,2035,2.62630000000
29,3,2045,R1,heatpump,2035,2.62630000000
30,3,2049,R1,heatpump,2035,2.62630000000
38,4,2045,R1,heatpump,2040,6.15790000000
39,4,2049,R1,heatpump,2040,6.15790000000
40,4,2050,R1,heatpump,2040,6.15790000000
41,4,2054,R1,heatpump,2040,6.15790000000
