,asset,year,region,installed,technology,capacity
32,3,2050,R1,2040,heatpump,6.15790000000
33,3,2054,R1,2040,heatpump,6.15790000000
42,4,2050,R1,2045,gasboiler,1.81750000000
43,4,2054,R1,2045,gasboiler,1.81750000000
44,4,2055,R1,2045,gasboiler,1.81750000000
45,4,2059,R1,2045,gasboiler,1.81750000000
52,5,2050,R1,2045,heatpump,7.81400000000
53,5,2054,R1,2045,heatpump,7.81400000000
54,5,2055,R1,2045,heatpump,7.81400000000
55,5,2059,R1,2045,heatpump,7.81400000000
64,6,2055,R1,2050,heatpump,6.15790000000
65,6,2059,R1,2050,heatpump,6.15790000000
66,6,2060,R1,2050,heatpump,6.15790000000
67,6,2064,R1,2050,heatpump,6.15790000000
