,timeslice,commodity,region,installed,technology,year,agent,category,sector,consumption
0,"('all-year', 'all-week', 'night')",gas,R1,2020.00000000000,gasboiler,2020.00000000000,A1,retrofit,residential,0.81200000000
1,"('all-year', 'all-week', 'morning')",gas,R1,2020.00000000000,gasboiler,2020.00000000000,A1,retrofit,residential,1.21800000000
2,"('all-year', 'all-week', 'afternoon')",gas,R1,2020.00000000000,gasboiler,2020.00000000000,A1,retrofit,residential,0.81200000000
3,"('all-year', 'all-week', 'early-peak')",gas,R1,2020.00000000000,gasboiler,2020.00000000000,A1,retrofit,residential,1.21800000000
4,"('all-year', 'all-week', 'late-peak')",gas,R1,2020.00000000000,gasboiler,2020.00000000000,A1,retrofit,residential,2.43600000000
5,"('all-year', 'all-week', 'evening')",gas,R1,2020.00000000000,gasboiler,2020.00000000000,A1,retrofit,residential,1.62400000000
6,"('all-year', 'all-week', 'night')",gas,R1,2020.00000000000,gasboiler,2020.00000000000,A2,retrofit,residential,0.34800000000
7,"('all-year', 'all-week', 'morning')",gas,R1,2020.00000000000,gasboiler,2020.00000000000,A2,retrofit,residential,0.52200000000
8,"('all-year', 'all-week', 'afternoon')",gas,R1,2020.00000000000,gasboiler,2020.00000000000,A2,retrofit,residential,0.34800000000
9,"('all-year', 'all-week', 'early-peak')",gas,R1,2020.00000000000,gasboiler,2020.00000000000,A2,retrofit,residential,0.52200000000
10,"('all-year', 'all-week', 'late-peak')",gas,R1,2020.00000000000,gasboiler,2020.00000000000,A2,retrofit,residential,1.04400000000
11,"('all-year', 'all-week', 'evening')",gas,R1,2020.00000000000,gasboiler,2020.00000000000,A2,retrofit,residential,0.69600000000
12,"('all-year', 'all-week', 'night')",gas,R1,2020.00000000000,gasboiler,2025.00000000000,A1,retrofit,residential,0.87966666667
13,"('all-year', 'all-week', 'morning')",gas,R1,2020.00000000000,gasboiler,2025.00000000000,A1,retrofit,residential,1.31950000000
14,"('all-year', 'all-week', 'afternoon')",gas,R1,2020.00000000000,gasboiler,2025.00000000000,A1,retrofit,residential,0.87966666667
15,"('all-year', 'all-week', 'early-peak')",gas,R1,2020.00000000000,gasboiler,2025.00000000000,A1,retrofit,residential,1.31950000000
16,"('all-year', 'all-week', 'late-peak')",gas,R1,2020.00000000000,gasboiler,2025.00000000000,A1,retrofit,residential,2.63900000000
17,"('all-year', 'all-week', 'evening')",gas,R1,2020.00000000000,gasboiler,2025.00000000000,A1,retrofit,residential,1.75933333333
18,"('all-year', 'all-week', 'night')",gas,R1,2020.00000000000,gasboiler,2025.00000000000,A2,retrofit,residential,0.23142000000
19,"('all-year', 'all-week', 'night')",electricity,R1,2020.00000000000,heatpump,2025.00000000000,A2,retrofit,residential,0.05020000000
20,"('all-year', 'all-week', 'morning')",gas,R1,2020.00000000000,gasboiler,2025.00000000000,A2,retrofit,residential,0.34713000000
21,"('all-year', 'all-week', 'morning')",electricity,R1,2020.00000000000,heatpump,2025.00000000000,A2,retrofit,residential,0.07530000000
22,"('all-year', 'all-week', 'afternoon')",gas,R1,2020.00000000000,gasboiler,2025.00000000000,A2,retrofit,residential,0.23142000000
23,"('all-year', 'all-week', 'afternoon')",electricity,R1,2020.00000000000,heatpump,2025.00000000000,A2,retrofit,residential,0.05020000000
24,"('all-year', 'all-week', 'early-peak')",gas,R1,2020.00000000000,gasboiler,2025.00000000000,A2,retrofit,residential,0.34713000000
