commodity,year,asset,region,installed,technology,supply
CO2f,2045,6,R1,2025,procammonia_1,29540.22720000000
CO2f,2045,8,R1,2030,procammonia_1,63270.20020000000
CO2f,2045,10,R1,2035,procammonia_1,55237.19030000000
CO2f,2045,12,R1,2040,procammonia_1,23915.94640000000
CO2f,2050,8,R1,2030,procammonia_1,63270.20020000000
CO2f,2050,10,R1,2035,procammonia_1,55237.19030000000
CO2f,2050,12,R1,2040,procammonia_1,23915.94640000000
CO2f,2050,14,R1,2045,procammonia_1,23722.45200000000
CO2f,2050,15,R1,2045,procammonia_2,0.00010000000
ammonia,2045,6,R1,2025,procammonia_1,7.25520000000
ammonia,2045,8,R1,2030,procammonia_1,15.66320000000
ammonia,2045,10,R1,2035,procammonia_1,13.78430000000
ammonia,2045,12,R1,2040,procammonia_1,6.01640000000
ammonia,2050,8,R1,2030,procammonia_1,15.66320000000
ammonia,2050,10,R1,2035,procammonia_1,13.78430000000
ammonia,2050,12,R1,2040,procammonia_1,6.01640000000
ammonia,2050,14,R1,2045,procammonia_1,6.01640000000
