,agent,capacity,dst_region,installed,region,sector,technology,type,year
0,A1,10.00000000000,R1,2020,R1,residential,gasboiler,newcapa,2020
0,A1,1.00000000000,R1,2020,R1,power,gasCCGT,newcapa,2020
0,A1,15.00000000000,R1,2020,R1,gas,gassupply1,newcapa,2020
1,A1,5.00000000000,R1,2020,R1,residential,gasboiler,newcapa,2025
11,A1,19.00000000000,R1,2020,R1,residential,heatpump,newcapa,2025
2,A1,1.00000000000,R1,2020,R1,power,gasCCGT,newcapa,2025
26,A1,10.00000000000,R1,2020,R1,power,solarPV,newcapa,2025
49,A1,6.00000000000,R1,2020,R1,power,windturbine,newcapa,2025
1,A1,15.00000000000,R1,2020,R1,gas,gassupply1,newcapa,2025
16,A1,19.00000000000,R1,2020,R1,residential,heatpump,newcapa,2030
17,A1,10.00000000000,R1,2025,R1,residential,heatpump,newcapa,2030
5,A1,2.00000000000,R1,2025,R1,power,gasCCGT,newcapa,2030
34,A1,10.00000000000,R1,2020,R1,power,solarPV,newcapa,2030
35,A1,9.00000000000,R1,2025,R1,power,solarPV,newcapa,2030
72,A1,6.00000000000,R1,2020,R1,power,windturbine,newcapa,2030
4,A1,7.50000000000,R1,2020,R1,gas,gassupply1,newcapa,2030
28,A1,10.00000000000,R1,2025,R1,residential,heatpump,newcapa,2035
29,A1,26.00000000000,R1,2030,R1,residential,heatpump,newcapa,2035
7,A1,2.00000000000,R1,2025,R1,power,gasCCGT,newcapa,2035
40,A1,10.00000000000,R1,2020,R1,power,solarPV,newcapa,2035
41,A1,9.00000000000,R1,2025,R1,power,solarPV,newcapa,2035
42,A1,6.00000000000,R1,2030,R1,power,solarPV,newcapa,2035
87,A1,6.00000000000,R1,2020,R1,power,windturbine,newcapa,2035
7,A1,3.38700000000,R1,2030,R1,gas,gassupply1,newcapa,2035
45,A1,26.00000000000,R1,2030,R1,residential,heatpump,newcapa,2040
46,A1,16.00000000000,R1,2035,R1,residential,heatpump,newcapa,2040
9,A1,2.00000000000,R1,2025,R1,power,gasCCGT,newcapa,2040
52,A1,10.00000000000,R1,2020,R1,power,solarPV,newcapa,2040
53,A1,9.00000000000,R1,2025,R1,power,solarPV,newcapa,2040
54,A1,6.00000000000,R1,2030,R1,power,solarPV,newcapa,2040
55,A1,6.00000000000,R1,2035,R1,power,solarPV,newcapa,2040
116,A1,6.00000000000,R1,2020,R1,power,windturbine,newcapa,2040
9,A1,3.38700000000,R1,2030,R1,gas,gassupply1,newcapa,2040
66,A1,16.00000000000,R1,2035,R1,residential,heatpump,newcapa,2045
67,A1,32.00000000000,R1,2040,R1,residential,heatpump,newcapa,2045
16,A1,2.00000000000,R1,2025,R1,power,gasCCGT,newcapa,2045
90,A1,10.00000000000,R1,2020,R1,power,solarPV,newcapa,2045
91,A1,9.00000000000,R1,2025,R1,power,solarPV,newcapa,2045
92,A1,6.00000000000,R1,2030,R1,power,solarPV,newcapa,2045
93,A1,6.00000000000,R1,2035,R1,power,solarPV,newcapa,2045
94,A1,6.00000000000,R1,2040,R1,power,solarPV,newcapa,2045
190,A1,6.00000000000,R1,2020,R1,power,windturbine,newcapa,2045
16,A1,3.38700000000,R1,2030,R1,gas,gassupply1,newcapa,2045
91,A1,32.00000000000,R1,2040,R1,residential,heatpump,newcapa,2050
92,A1,22.00000000000,R1,2045,R1,residential,heatpump,newcapa,2050
22,A1,2.00000000000,R1,2025,R1,power,gasCCGT,newcapa,2050
23,A1,1.00000000000,R1,2045,R1,power,gasCCGT,newcapa,2050
116,A1,9.00000000000,R1,2025,R1,power,solarPV,newcapa,2050
117,A1,6.00000000000,R1,2030,R1,power,solarPV,newcapa,2050
118,A1,6.00000000000,R1,2035,R1,power,solarPV,newcapa,2050
119,A1,6.00000000000,R1,2040,R1,power,solarPV,newcapa,2050
120,A1,10.00000000000,R1,2045,R1,power,solarPV,newcapa,2050
235,A1,10.00000000000,R1,2045,R1,power,windturbine,newcapa,2050
19,A1,3.38700000000,R1,2030,R1,gas,gassupply1,newcapa,2050
20,A1,1.64630000000,R1,2045,R1,gas,gassupply1,newcapa,2050
