,agent,asset,category,comm_usage,commodity,dst_region,index,installed,region,sector,supply,technology,timeslice,units_prices,year
0,A1,0.00000000000,retrofit,CommodityUsage.ENERGY|PRODUCT,heat,R1,8,2020.00000000000,R1,residential,0.20735981308,gasboiler,"('all-year', 'all-week', 'night')",MUS$2010/PJ,2025.00000000000
1,A1,1.00000000000,retrofit,CommodityUsage.ENERGY|PRODUCT,heat,R1,9,2020.00000000000,R1,residential,0.72510760494,heatpump,"('all-year', 'all-week', 'night')",MUS$2010/PJ,2025.00000000000
2,A1,0.00000000000,retrofit,CommodityUsage.ENVIRONMENTAL|PRODUCT,CO2f,R1,12,2020.00000000000,R1,residential,13.41825350467,gasboiler,"('all-year', 'all-week', 'night')",MUS$2010/kt,2025.00000000000
3,A1,0.00000000000,retrofit,CommodityUsage.ENERGY|PRODUCT,heat,R1,24,2020.00000000000,R1,residential,0.31250000000,gasboiler,"('all-year', 'all-week', 'morning')",MUS$2010/PJ,2025.00000000000
4,A1,1.00000000000,retrofit,CommodityUsage.ENERGY|PRODUCT,heat,R1,25,2020.00000000000,R1,residential,1.09276779900,heatpump,"('all-year', 'all-week', 'morning')",MUS$2010/PJ,2025.00000000000
5,A1,0.00000000000,retrofit,CommodityUsage.ENVIRONMENTAL|PRODUCT,CO2f,R1,28,2020.00000000000,R1,residential,20.22187500000,gasboiler,"('all-year', 'all-week', 'morning')",MUS$2010/kt,2025.00000000000
6,A1,0.00000000000,retrofit,CommodityUsage.ENERGY|PRODUCT,heat,R1,40,2020.00000000000,R1,residential,0.20735981308,gasboiler,"('all-year', 'all-week', 'mid-afternoon')",MUS$2010/PJ,2025.00000000000
7,A1,1.00000000000,retrofit,CommodityUsage.ENERGY|PRODUCT,heat,R1,41,2020.00000000000,R1,residential,0.72510760494,heatpump,"('all-year', 'all-week', 'mid-afternoon')",MUS$2010/PJ,2025.00000000000
8,A1,0.00000000000,retrofit,CommodityUsage.ENVIRONMENTAL|PRODUCT,CO2f,R1,44,2020.00000000000,R1,residential,13.41825350467,gasboiler,"('all-year', 'all-week', 'mid-afternoon')",MUS$2010/kt,2025.00000000000
9,A1,0.00000000000,retrofit,CommodityUsage.ENERGY|PRODUCT,heat,R1,56,2020.00000000000,R1,residential,0.31250000000,gasboiler,"('all-year', 'all-week', 'early-peak')",MUS$2010/PJ,2025.00000000000
10,A1,1.00000000000,retrofit,CommodityUsage.ENERGY|PRODUCT,heat,R1,57,2020.00000000000,R1,residential,1.09276779900,heatpump,"('all-year', 'all-week', 'early-peak')",MUS$2010/PJ,2025.00000000000
11,A1,0.00000000000,retrofit,CommodityUsage.ENVIRONMENTAL|PRODUCT,CO2f,R1,60,2020.00000000000,R1,residential,20.22187500000,gasboiler,"('all-year', 'all-week', 'early-peak')",MUS$2010/kt,2025.00000000000
12,A1,0.00000000000,retrofit,CommodityUsage.ENERGY|PRODUCT,heat,R1,72,2020.00000000000,R1,residential,0.62500000000,gasboiler,"('all-year', 'all-week', 'late-peak')",MUS$2010/PJ,2025.00000000000
13,A1,1.00000000000,retrofit,CommodityUsage.ENERGY|PRODUCT,heat,R1,73,2020.00000000000,R1,residential,2.18553559799,heatpump,"('all-year', 'all-week', 'late-peak')",MUS$2010/PJ,2025.00000000000
14,A1,0.00000000000,retrofit,CommodityUsage.ENVIRONMENTAL|PRODUCT,CO2f,R1,76,2020.00000000000,R1,residential,40.44375000000,gasboiler,"('all-year', 'all-week', 'late-peak')",MUS$2010/kt,2025.00000000000
15,A1,0.00000000000,retrofit,CommodityUsage.ENERGY|PRODUCT,heat,R1,88,2020.00000000000,R1,residential,0.41764018692,gasboiler,"('all-year', 'all-week', 'evening')",MUS$2010/PJ,2025.00000000000
16,A1,1.00000000000,retrofit,CommodityUsage.ENERGY|PRODUCT,heat,R1,89,2020.00000000000,R1,residential,1.46042799305,heatpump,"('all-year', 'all-week', 'evening')",MUS$2010/PJ,2025.00000000000
17,A1,0.00000000000,retrofit,CommodityUsage.ENVIRONMENTAL|PRODUCT,CO2f,R1,92,2020.00000000000,R1,residential,27.02549649533,gasboiler,"('all-year', 'all-week', 'evening')",MUS$2010/kt,2025.00000000000
18,A1,0.00000000000,retrofit,CommodityUsage.ENERGY|PRODUCT,heat,R1,104,2020.00000000000,R1,residential,0.41764018692,gasboiler,"('all-year', 'all-week', 'early-morning')",MUS$2010/PJ,2025.00000000000
19,A1,1.00000000000,retrofit,CommodityUsage.ENERGY|PRODUCT,heat,R1,105,2020.00000000000,R1,residential,1.46042799305,heatpump,"('all-year', 'all-week', 'early-morning')",MUS$2010/PJ,2025.00000000000
20,A1,0.00000000000,retrofit,CommodityUsage.ENVIRONMENTAL|PRODUCT,CO2f,R1,108,2020.00000000000,R1,residential,27.02549649533,gasboiler,"('all-year', 'all-week', 'early-morning')",MUS$2010/kt,2025.00000000000
21,A1,0.00000000000,retrofit,CommodityUsage.ENERGY|PRODUCT,heat,R1,120,2020.00000000000,R1,residential,0.41764018692,gasboiler,"('all-year', 'all-week', 'late-afternoon')",MUS$2010/PJ,2025.00000000000
