region,month,day,hour,technology,installed,supply
R1,all-year,all-week,night,gasboiler,2020,0.29140000000
R1,all-year,all-week,night,heatpump,2020,0.64110000000
R1,all-year,all-week,night,heatpump,2020,0.62700000000
R1,all-year,all-week,night,heatpump,2025,0.34200000000
R1,all-year,all-week,night,gasboiler,2020,18.85620000000
R1,all-year,all-week,morning,gasboiler,2020,0.43910000000
R1,all-year,all-week,morning,heatpump,2020,0.96610000000
R1,all-year,all-week,morning,heatpump,2020,0.94490000000
R1,all-year,all-week,morning,heatpump,2025,0.51540000000
R1,all-year,all-week,morning,gasboiler,2020,28.41710000000
R1,all-year,all-week,afternoon,gasboiler,2020,0.29140000000
R1,all-year,all-week,afternoon,heatpump,2020,0.64110000000
R1,all-year,all-week,afternoon,heatpump,2020,0.62700000000
R1,all-year,all-week,afternoon,heatpump,2025,0.34200000000
R1,all-year,all-week,afternoon,gasboiler,2020,18.85620000000
R1,all-year,all-week,early-peak,gasboiler,2020,0.43910000000
R1,all-year,all-week,early-peak,heatpump,2020,0.96610000000
R1,all-year,all-week,early-peak,heatpump,2020,0.94490000000
R1,all-year,all-week,early-peak,heatpump,2025,0.51540000000
R1,all-year,all-week,early-peak,gasboiler,2020,28.41710000000
R1,all-year,all-week,late-peak,gasboiler,2020,0.87830000000
R1,all-year,all-week,late-peak,heatpump,2020,1.93220000000
R1,all-year,all-week,late-peak,heatpump,2020,1.88980000000
R1,all-year,all-week,late-peak,heatpump,2025,1.03080000000
R1,all-year,all-week,late-peak,gasboiler,2020,56.83430000000
R1,all-year,all-week,evening,gasboiler,2020,0.58690000000
R1,all-year,all-week,evening,heatpump,2020,1.29120000000
R1,all-year,all-week,evening,heatpump,2020,1.26280000000
R1,all-year,all-week,evening,heatpump,2025,0.68880000000
R1,all-year,all-week,evening,gasboiler,2020,37.97810000000
