timeslice,commodity,year,asset,region,month,day,hour,technology,installed,supply
0,heat,2020,0,R1,all-year,all-week,night,gasboiler,2020,0.89580000000
0,heat,2025,0,R1,all-year,all-week,night,gasboiler,2020,0.29140000000
0,heat,2025,1,R1,all-year,all-week,night,heatpump,2020,0.64110000000
0,CO2f,2020,0,R1,all-year,all-week,night,gasboiler,2020,57.96670000000
0,CO2f,2025,0,R1,all-year,all-week,night,gasboiler,2020,18.85620000000
1,heat,2020,0,R1,all-year,all-week,morning,gasboiler,2020,1.35000000000
1,heat,2025,0,R1,all-year,all-week,morning,gasboiler,2020,0.43910000000
1,heat,2025,1,R1,all-year,all-week,morning,heatpump,2020,0.96610000000
1,CO2f,2020,0,R1,all-year,all-week,morning,gasboiler,2020,87.35830000000
1,CO2f,2025,0,R1,all-year,all-week,morning,gasboiler,2020,28.41710000000
2,heat,2020,0,R1,all-year,all-week,afternoon,gasboiler,2020,0.89580000000
2,heat,2025,0,R1,all-year,all-week,afternoon,gasboiler,2020,0.29140000000
2,heat,2025,1,R1,all-year,all-week,afternoon,heatpump,2020,0.64110000000
2,CO2f,2020,0,R1,all-year,all-week,afternoon,gasboiler,2020,57.96670000000
2,CO2f,2025,0,R1,all-year,all-week,afternoon,gasboiler,2020,18.85620000000
3,heat,2020,0,R1,all-year,all-week,early-peak,gasboiler,2020,1.35000000000
3,heat,2025,0,R1,all-year,all-week,early-peak,gasboiler,2020,0.43910000000
3,heat,2025,1,R1,all-year,all-week,early-peak,heatpump,2020,0.96610000000
3,CO2f,2020,0,R1,all-year,all-week,early-peak,gasboiler,2020,87.35830000000
3,CO2f,2025,0,R1,all-year,all-week,early-peak,gasboiler,2020,28.41710000000
4,heat,2020,0,R1,all-year,all-week,late-peak,gasboiler,2020,2.70000000000
4,heat,2025,0,R1,all-year,all-week,late-peak,gasboiler,2020,0.87830000000
4,heat,2025,1,R1,all-year,all-week,late-peak,heatpump,2020,1.93220000000
4,CO2f,2020,0,R1,all-year,all-week,late-peak,gasboiler,2020,174.71660000000
4,CO2f,2025,0,R1,all-year,all-week,late-peak,gasboiler,2020,56.83430000000
5,heat,2020,0,R1,all-year,all-week,evening,gasboiler,2020,1.80420000000
5,heat,2025,0,R1,all-year,all-week,evening,gasboiler,2020,0.58690000000
5,heat,2025,1,R1,all-year,all-week,evening,heatpump,2020,1.29120000000
5,CO2f,2020,0,R1,all-year,all-week,evening,gasboiler,2020,116.74990000000
5,CO2f,2025,0,R1,all-year,all-week,evening,gasboiler,2020,37.97810000000
