region,month,day,hour,technology,installed,supply
R1,all-year,all-week,night,heatpump,2025,0.33210000000
R1,all-year,all-week,night,heatpump,2030,0.66420000000
R1,all-year,all-week,night,heatpump,2030,0.68230000000
R1,all-year,all-week,night,heatpump,2035,0.34120000000
R1,all-year,all-week,morning,heatpump,2025,0.50050000000
R1,all-year,all-week,morning,heatpump,2030,1.00100000000
R1,all-year,all-week,morning,heatpump,2030,1.02830000000
R1,all-year,all-week,morning,heatpump,2035,0.51420000000
R1,all-year,all-week,afternoon,heatpump,2025,0.33210000000
R1,all-year,all-week,afternoon,heatpump,2030,0.66420000000
R1,all-year,all-week,afternoon,heatpump,2030,0.68230000000
R1,all-year,all-week,afternoon,heatpump,2035,0.34120000000
R1,all-year,all-week,early-peak,heatpump,2025,0.50050000000
R1,all-year,all-week,early-peak,heatpump,2030,1.00100000000
R1,all-year,all-week,early-peak,heatpump,2030,1.02830000000
R1,all-year,all-week,early-peak,heatpump,2035,0.51420000000
R1,all-year,all-week,late-peak,heatpump,2025,1.00100000000
R1,all-year,all-week,late-peak,heatpump,2030,2.00190000000
R1,all-year,all-week,late-peak,heatpump,2030,2.05660000000
R1,all-year,all-week,late-peak,heatpump,2035,1.02830000000
R1,all-year,all-week,evening,heatpump,2025,0.66890000000
R1,all-year,all-week,evening,heatpump,2030,1.33780000000
R1,all-year,all-week,evening,heatpump,2030,1.37430000000
R1,all-year,all-week,evening,heatpump,2035,0.68710000000
