,asset,year,region,technology,installed,capacity
0,0,2025,R1,gasCCGT,2020,2.00000000000
12,1,2030,R1,gasCCGT,2025,8.00000000000
13,1,2035,R1,gasCCGT,2025,8.00000000000
14,1,2040,R1,gasCCGT,2025,8.00000000000
15,1,2045,R1,gasCCGT,2025,8.00000000000
16,1,2049,R1,gasCCGT,2025,8.00000000000
17,1,2050,R1,gasCCGT,2025,8.00000000000
18,1,2054,R1,gasCCGT,2025,8.00000000000
19,1,2055,R1,gasCCGT,2025,8.00000000000
20,1,2064,R1,gasCCGT,2025,8.00000000000
23,2,2030,R1,solarPV,2025,18.85190000000
24,2,2035,R1,solarPV,2025,18.85190000000
25,2,2040,R1,solarPV,2025,18.85190000000
26,2,2045,R1,solarPV,2025,18.85190000000
27,2,2049,R1,solarPV,2025,18.85190000000
28,2,2050,R1,solarPV,2025,18.85190000000
29,2,2054,R1,solarPV,2025,18.85190000000
33,3,2025,R1,windturbine,2020,21.57410000000
34,3,2030,R1,windturbine,2020,21.57410000000
35,3,2035,R1,windturbine,2020,21.57410000000
36,3,2040,R1,windturbine,2020,21.57410000000
37,3,2045,R1,windturbine,2020,21.57410000000
38,3,2049,R1,windturbine,2020,21.57410000000
